number	name	logTPM
ENSG00000198938	MT-CO3	10.496835787461
ENSG00000198712	MT-CO2	10.4702825718953
ENSG00000198899	MT-ATP6	10.4541724604143
ENSG00000198886	MT-ND4	10.4360583223705
ENSG00000198804	MT-CO1	10.3825663713212
ENSG00000210082	MT-RNR2	10.0274709627854
ENSG00000198727	MT-CYB	10.0139843215083
ENSG00000198763	MT-ND2	9.98044891306759
ENSG00000198888	MT-ND1	9.96496671579245
ENSG00000228253	MT-ATP8	9.92768867094163
ENSG00000198840	MT-ND3	9.68262564765721
ENSG00000212907	MT-ND4L	9.64443213841736
ENSG00000244734	HBB	9.4671132355002
ENSG00000198695	MT-ND6	8.88093483941982
ENSG00000198786	MT-ND5	8.76850800769957
ENSG00000211459	MT-RNR1	8.69398820946627
ENSG00000087086	FTL	8.58689249060995
ENSG00000188536	HBA2	8.30008095685079
ENSG00000075624	ACTB	8.27512430385339
ENSG00000248527	MTATP6P1	8.21459201411371
ENSG00000163220	S100A9	8.13590825316418
ENSG00000231500	RPS18	7.93783440538339
ENSG00000175084	DES	7.83301697755854
ENSG00000142541	RPL13A	7.81268292408328
ENSG00000112306	RPS12	7.734829435631
ENSG00000142534	RPS11	7.65386628913139
ENSG00000156508	EEF1A1	7.61573213121693
ENSG00000275896	PRSS2	7.5765410067647
ENSG00000137818	RPLP1	7.56411673219562
ENSG00000211592	IGKC	7.56333711680881
ENSG00000147403	RPL10	7.55245776038067
ENSG00000034510	TMSB10	7.52058198879639
ENSG00000143632	ACTA1	7.52023995193138
ENSG00000186395	KRT10	7.49294856466336
ENSG00000234745	HLA-B	7.42277845924567
ENSG00000167996	FTH1	7.41216065933335
ENSG00000184009	ACTG1	7.39490824182935
ENSG00000205542	TMSB4X	7.39314236267253
ENSG00000204983	PRSS1	7.3592706862998
ENSG00000111640	GAPDH	7.32872851360502
ENSG00000105193	RPS16	7.30482361170111
ENSG00000108298	RPL19	7.30434985122744
ENSG00000100316	RPL3	7.25767868176963
ENSG00000177954	RPS27	7.25114436270061
ENSG00000118181	RPS25	7.25097924668058
ENSG00000163682	RPL9	7.22342288571942
ENSG00000104879	CKM	7.20990721431579
ENSG00000161016	RPL8	7.20756518124954
ENSG00000254772	EEF1G	7.19110938638793
ENSG00000101335	MYL9	7.18208394448505
ENSG00000166710	B2M	7.17507268511922
ENSG00000115386	REG1A	7.17219220412701
ENSG00000089157	RPLP0	7.16813143193922
ENSG00000149591	TAGLN	7.15059557014729
ENSG00000167658	EEF2	7.14275508928818
ENSG00000122406	RPL5	7.14247568469878
ENSG00000211445	GPX3	7.12571714261872
ENSG00000171401	KRT13	7.12074481325299
ENSG00000140988	RPS2	7.10786014445429
ENSG00000259384	GH1	7.10360204072698
ENSG00000197956	S100A6	7.08736844016459
ENSG00000167768	KRT1	7.08031970238956
ENSG00000189058	APOD	7.06874938550088
ENSG00000177600	RPLP2	7.0686323683748
ENSG00000106211	HSPB1	7.04726426412041
ENSG00000137154	RPS6	7.01641407649185
ENSG00000172179	PRL	7.01152706220581
ENSG00000133392	MYH11	6.98741278194265
ENSG00000265972	TXNIP	6.98476135320627
ENSG00000111341	MGP	6.96958846702998
ENSG00000107796	ACTA2	6.95890948316251
ENSG00000136942	RPL35	6.95751329256472
ENSG00000115414	FN1	6.95554112205463
ENSG00000110700	RPS13	6.95483444586689
ENSG00000111245	MYL2	6.95024287802651
ENSG00000142089	IFITM3	6.94999427641841
ENSG00000148303	RPL7A	6.94171363709109
ENSG00000143947	RPS27A	6.92952057597171
ENSG00000265681	RPL17	6.8995363355046
ENSG00000198467	TPM2	6.85880517274818
ENSG00000096088	PGC	6.85816805000331
ENSG00000204525	HLA-C	6.85713457096973
ENSG00000196924	FLNA	6.85657293740948
ENSG00000091704	CPA1	6.85463530906074
ENSG00000145425	RPS3A	6.84623750643868
ENSG00000100097	LGALS1	6.79436994194204
ENSG00000174444	RPL4	6.79316088633577
ENSG00000211895	IGHA1	6.78620978922119
ENSG00000137392	CLPS	6.77358021710271
ENSG00000197746	PSAP	6.77262719093804
ENSG00000206503	HLA-A	6.75799947572914
ENSG00000026025	VIM	6.75644256941418
ENSG00000211597	IGKJ1	6.7441305406464
ENSG00000114391	RPL24	6.74186896837196
ENSG00000225630	MTND2P28	6.73800906578271
ENSG00000206172	HBA1	6.73349845573393
ENSG00000143546	S100A8	6.71071971303166
ENSG00000120129	DUSP1	6.70970379210885
ENSG00000170323	FABP4	6.70453640732895
ENSG00000175206	NPPA	6.70180848882522
ENSG00000198755	RPL10A	6.69879925815219
ENSG00000163191	S100A11	6.69789552006939
ENSG00000122026	RPL21	6.69460118561906
ENSG00000223609	HBD	6.68881902386026
ENSG00000182333	LIPF	6.67327169483937
ENSG00000171863	RPS7	6.6682722498972
ENSG00000170477	KRT4	6.66171279921787
ENSG00000142937	RPS8	6.66118320871803
ENSG00000163453	IGFBP7	6.65718575876813
ENSG00000148180	GSN	6.64707435820093
ENSG00000096384	HSP90AB1	6.63348780146362
ENSG00000019582	CD74	6.62119352596184
ENSG00000109475	RPL34	6.61767033624538
ENSG00000211596	IGKJ2	6.61306643777007
ENSG00000168028	RPSA	6.61247168890139
ENSG00000204592	HLA-E	6.60412055299841
ENSG00000186081	KRT5	6.60107700548043
ENSG00000125148	MT2A	6.5970678286599
ENSG00000113140	SPARC	6.59168816821425
ENSG00000186847	KRT14	6.58570288410699
ENSG00000128016	ZFP36	6.57731194722402
ENSG00000152583	SPARCL1	6.57337188849523
ENSG00000131469	RPL27	6.55920226111318
ENSG00000074800	ENO1	6.55498909467527
ENSG00000175535	PNLIP	6.5491385231444
ENSG00000143878	RHOB	6.54864495087317
ENSG00000104904	OAZ1	6.54340584134616
ENSG00000115138	POMC	6.53724461238867
ENSG00000141753	IGFBP4	6.52308726675186
ENSG00000133112	TPT1	6.50983247478052
ENSG00000198034	RPS4X	6.50457142921495
ENSG00000162244	RPL29	6.50374162196087
ENSG00000063177	RPL18	6.49354055872588
ENSG00000149925	ALDOA	6.48691646106598
ENSG00000142676	RPL11	6.47864519510028
ENSG00000163017	ACTG2	6.46167250164615
ENSG00000159176	CSRP1	6.46088965890003
ENSG00000143933	CALM2	6.44055015460246
ENSG00000198125	MB	6.44046931627727
ENSG00000182492	BGN	6.43746096776606
ENSG00000211594	IGKJ4	6.41071892934373
ENSG00000124614	RPS10	6.4105105392378
ENSG00000185201	IFITM2	6.4000074448701
ENSG00000172809	RPL38	6.39247212725399
ENSG00000142173	COL6A2	6.38131817414368
ENSG00000089009	RPL6	6.37660944684285
ENSG00000147604	RPL7	6.3627919274163
ENSG00000115268	RPS15	6.34854879660462
ENSG00000107317	PTGDS	6.33139380248967
ENSG00000120885	CLU	6.32516330997142
ENSG00000117984	CTSD	6.32197980057948
ENSG00000233927	RPS28	6.32153438596733
ENSG00000164587	RPS14	6.31471790019646
ENSG00000142156	COL6A1	6.31034230962733
ENSG00000145741	BTF3	6.29606086774394
ENSG00000167526	RPL13	6.29009311366626
ENSG00000187514	PTMA	6.28964573713961
ENSG00000229117	RPL41	6.28537079917303
ENSG00000187193	MT1X	6.28483481734688
ENSG00000163209	SPRR3	6.28246152783679
ENSG00000110955	ATP5B	6.27257508040734
ENSG00000089220	PEBP1	6.26369126636937
ENSG00000084207	GSTP1	6.26047177996834
ENSG00000142789	CELA3A	6.26026031286849
ENSG00000171223	JUNB	6.25145415622365
ENSG00000197958	RPL12	6.23395853393003
ENSG00000182774	RPS17	6.23057861680307
ENSG00000065978	YBX1	6.22237600979131
ENSG00000083845	RPS5	6.21872740558817
ENSG00000161970	RPL26	6.21498105146258
ENSG00000173432	SAA1	6.19355160775538
ENSG00000092841	MYL6	6.1812980644061
ENSG00000197766	CFD	6.18076001237373
ENSG00000114942	EEF1B2	6.17676236901691
ENSG00000123349	PFDN5	6.16812358403046
ENSG00000109846	CRYAB	6.16330406493804
ENSG00000080824	HSP90AA1	6.16208070059239
ENSG00000175899	A2M	6.15985084400184
ENSG00000100234	TIMP3	6.15894832808147
ENSG00000008988	RPS20	6.15837056978959
ENSG00000144713	RPL32	6.1536578581817
ENSG00000130255	RPL36	6.14580517109477
ENSG00000173812	EIF1	6.14216269450217
ENSG00000172023	REG1B	6.13244686142408
ENSG00000166165	CKB	6.13240567169428
ENSG00000159403	C1R	6.13228700972225
ENSG00000132475	H3F3B	6.1262149189554
ENSG00000179218	CALR	6.11706821673183
ENSG00000125868	DSTN	6.11475402784213
ENSG00000122304	PRM2	6.11364429287833
ENSG00000114854	TNNC1	6.10774975886056
ENSG00000164692	COL1A2	6.10648576757536
ENSG00000169100	SLC25A6	6.1055196615221
ENSG00000067560	RHOA	6.09708213630164
ENSG00000149131	SERPING1	6.09149606939428
ENSG00000176340	COX8A	6.09068943330987
ENSG00000171858	RPS21	6.08692631260544
ENSG00000168928	CTRB2	6.08299129814155
ENSG00000102265	TIMP1	6.08289308006137
ENSG00000204287	HLA-DRA	6.07254431841859
ENSG00000175646	PRM1	6.06976716322249
ENSG00000172867	KRT2	6.06898621006424
ENSG00000169714	CNBP	6.06571709234896
ENSG00000109971	HSPA8	6.04539969336974
ENSG00000130203	APOE	6.03948698659074
ENSG00000156976	EIF4A2	6.0381457983056
ENSG00000166598	HSP90B1	6.03732687781113
ENSG00000108518	PFN1	6.03554580538252
ENSG00000205420	KRT6A	6.0315434929859
ENSG00000135404	CD63	6.02807688396537
ENSG00000149806	FAU	6.01727783969314
ENSG00000168653	NDUFS5	6.01645493934456
ENSG00000122566	HNRNPA2B1	6.00635332218738
ENSG00000204628	RACK1	6.00421756692335
ENSG00000150991	UBC	6.00404612739799
ENSG00000142871	CYR61	6.00358920400038
ENSG00000172270	BSG	6.0023680158059
ENSG00000067225	PKM	5.9966609691293
ENSG00000128272	ATF4	5.98831367839252
ENSG00000170345	FOS	5.98629741584938
ENSG00000105373	GLTSCR2	5.97475495148736
ENSG00000182899	RPL35A	5.97099366158817
ENSG00000105640	RPL18A	5.9702305837668
ENSG00000163631	ALB	5.96988802082271
ENSG00000159335	PTMS	5.96151845758801
ENSG00000135821	GLUL	5.9472136018553
ENSG00000072778	ACADVL	5.93699042263223
ENSG00000110651	CD81	5.93670210751549
ENSG00000115461	IGFBP5	5.93260459143995
ENSG00000138326	RPS24	5.93017285675546
ENSG00000118523	CTGF	5.92623764312558
ENSG00000125534	PPDPF	5.92180330999083
ENSG00000022267	FHL1	5.91798660315975
ENSG00000188508	KRTDAP	5.91014737922607
ENSG00000124107	SLPI	5.90512782312742
ENSG00000164111	ANXA5	5.90360149920274
ENSG00000106153	CHCHD2	5.90290844945334
ENSG00000130066	SAT1	5.90197662456811
ENSG00000130176	CNN1	5.90191785018729
ENSG00000101470	TNNC2	5.88791891973561
ENSG00000070756	PABPC1	5.8837308790829
ENSG00000168925	CTRB1	5.88112098547607
ENSG00000177469	PTRF	5.87893844304456
ENSG00000166794	PPIB	5.87563362775164
ENSG00000149273	RPS3	5.87211135530671
ENSG00000170890	PLA2G1B	5.86857678016765
ENSG00000165502	RPL36AL	5.86776737178115
ENSG00000125691	RPL23	5.86413457351195
ENSG00000092054	MYH7	5.85757421596126
ENSG00000166482	MFAP4	5.84026303473496
ENSG00000108654	DDX5	5.84017776765657
ENSG00000100201	DDX17	5.83901482896632
ENSG00000105372	RPS19	5.83881180111309
ENSG00000004799	PDK4	5.8363184245937
ENSG00000111716	LDHB	5.8341255357609
ENSG00000196154	S100A4	5.83199160100537
ENSG00000171195	MUC7	5.82836090836171
ENSG00000085063	CD59	5.82752372325084
ENSG00000108821	COL1A1	5.82734693273657
ENSG00000211890	IGHA2	5.82686759597882
ENSG00000241343	RPL36A	5.82677147749853
ENSG00000104964	AES	5.81747381332407
ENSG00000100345	MYH9	5.81000955422506
ENSG00000170889	RPS9	5.80543274814178
ENSG00000167815	PRDX2	5.80520398308822
ENSG00000105701	FKBP8	5.80399618993952
ENSG00000090382	LYZ	5.79043330480171
ENSG00000111669	TPI1	5.7855130991773
ENSG00000126432	PRDX5	5.78062583132531
ENSG00000174748	RPL15	5.77740427288778
ENSG00000158710	TAGLN2	5.77055424704898
ENSG00000181163	NPM1	5.76757178390752
ENSG00000240583	AQP1	5.76292930413501
ENSG00000251562	MALAT1	5.7627347643803
ENSG00000117450	PRDX1	5.7570861240229
ENSG00000118680	MYL12B	5.75279542019176
ENSG00000178372	CALML5	5.7516730626049
ENSG00000068697	LAPTM4A	5.75015867386205
ENSG00000111775	COX6A1	5.74614951552638
ENSG00000153002	CPB1	5.7452519082607
ENSG00000156482	RPL30	5.74388933024529
ENSG00000131095	GFAP	5.74283109844731
ENSG00000211593	IGKJ5	5.7411731920192
ENSG00000134333	LDHA	5.74059098975793
ENSG00000165507	C10orf10	5.73795464056259
ENSG00000170296	GABARAP	5.73718983466591
ENSG00000185624	P4HB	5.72731590355428
ENSG00000168542	COL3A1	5.7271312663269
ENSG00000101439	CST3	5.71743336238623
ENSG00000243678	NME2	5.71630381418034
ENSG00000122786	CALD1	5.70976527428122
ENSG00000196126	HLA-DRB1	5.70726144957437
ENSG00000125356	NDUFA1	5.70188138141087
ENSG00000060138	YBX3	5.70177853092168
ENSG00000162734	PEA15	5.70050409305026
ENSG00000198258	UBL5	5.69170638360775
ENSG00000143536	CRNN	5.68307239485331
ENSG00000159377	PSMB4	5.67766665653682
ENSG00000160014	CALM3	5.6773788489057
ENSG00000135486	HNRNPA1	5.67300436896534
ENSG00000130522	JUND	5.67200752065817
ENSG00000167468	GPX4	5.67118900484814
ENSG00000161960	EIF4A1	5.66757681073412
ENSG00000122862	SRGN	5.66563288979893
ENSG00000035862	TIMP2	5.66441439126297
ENSG00000042832	TG	5.66324659183324
ENSG00000170315	UBB	5.66108292106055
ENSG00000108953	YWHAE	5.6531537925927
ENSG00000104852	SNRNP70	5.65308530067645
ENSG00000109099	PMP22	5.64769687018607
ENSG00000106624	AEBP1	5.64455067770694
ENSG00000134590	FAM127A	5.63678729463375
ENSG00000120738	EGR1	5.63532675753513
ENSG00000179010	MRFAP1	5.63468307173393
ENSG00000196616	ADH1B	5.63451244587571
ENSG00000188229	TUBB4B	5.63182106927727
ENSG00000140416	TPM1	5.63069936591915
ENSG00000168209	DDIT4	5.63039784758252
ENSG00000198668	CALM1	5.62975670841379
ENSG00000160213	CSTB	5.62916278665993
ENSG00000197756	RPL37A	5.62826116582756
ENSG00000198242	RPL23A	5.62764426860542
ENSG00000183087	GAS6	5.62576703552827
ENSG00000170835	CEL	5.62489391608315
ENSG00000197728	RPS26	5.62348924126996
ENSG00000175793	SFN	5.61773200420646
ENSG00000182196	ARL6IP4	5.60894453252664
ENSG00000167978	SRRM2	5.59183258495195
ENSG00000123416	TUBA1B	5.58564216025888
ENSG00000099860	GADD45B	5.58311171800861
ENSG00000163431	LMOD1	5.58090666539914
ENSG00000211595	IGKJ3	5.57633845409356
ENSG00000185883	ATP6V0C	5.57602169310608
ENSG00000165119	HNRNPK	5.5755779460164
ENSG00000110321	EIF4G2	5.57415296842374
ENSG00000135046	ANXA1	5.57398913204644
ENSG00000157514	TSC22D3	5.57114513253064
ENSG00000182718	ANXA2	5.56891750716011
ENSG00000044574	HSPA5	5.56812687965678
ENSG00000142192	APP	5.56613543119926
ENSG00000009307	CSDE1	5.56473761783212
ENSG00000087460	GNAS	5.56267043921886
ENSG00000143761	ARF1	5.56252233857606
ENSG00000167615	LENG8	5.56249729500825
ENSG00000107223	EDF1	5.56048663961673
ENSG00000225972	MTND1P23	5.55944837972057
ENSG00000177606	JUN	5.55941328529125
ENSG00000169347	GP2	5.55552303765731
ENSG00000164733	CTSB	5.55232463858213
ENSG00000100650	SRSF5	5.5512660040349
ENSG00000167779	IGFBP6	5.54602465014564
ENSG00000197747	S100A10	5.54444880368755
ENSG00000167460	TPM4	5.53834491402941
ENSG00000005022	SLC25A5	5.53440818254844
ENSG00000196683	TOMM7	5.53225287127359
ENSG00000196230	TUBB	5.53145542007289
ENSG00000131981	LGALS3	5.53122322851666
ENSG00000182326	C1S	5.53104342014353
ENSG00000169564	PCBP1	5.53012852724489
ENSG00000124942	AHNAK	5.5262254586481
ENSG00000189001	SBSN	5.52373650450367
ENSG00000197971	MBP	5.52355367762984
ENSG00000185650	ZFP36L1	5.52125660551382
ENSG00000178980	SELENOW	5.51475264722749
ENSG00000240342	RPS2P5	5.51156317269416
ENSG00000084234	APLP2	5.5102221082319
ENSG00000198959	TGM2	5.50670697770311
ENSG00000232112	TMA7	5.50277191720561
ENSG00000130402	ACTN4	5.50233642330895
ENSG00000105048	TNNT1	5.5004658313043
ENSG00000211675	IGLC1	5.49935140296864
ENSG00000099795	NDUFB7	5.49858827944877
ENSG00000178719	GRINA	5.49424165803844
ENSG00000101608	MYL12A	5.48918910177678
ENSG00000173660	UQCRH	5.48513115900052
ENSG00000221983	UBA52	5.4827104748941
ENSG00000187479	C11orf96	5.48155712905248
ENSG00000135940	COX5B	5.47849877874556
ENSG00000159840	ZYX	5.47762153121567
ENSG00000167863	ATP5H	5.46654367956948
ENSG00000233276	GPX1	5.46023906619909
ENSG00000254999	BRK1	5.45897510683852
ENSG00000213719	CLIC1	5.4581825490353
ENSG00000117592	PRDX6	5.45785615454058
ENSG00000109610	SOD3	5.45642909852838
ENSG00000087245	MMP2	5.45254071101461
ENSG00000196262	PPIA	5.45013462049151
ENSG00000101210	EEF1A2	5.44983010048447
ENSG00000106366	SERPINE1	5.44971387394033
ENSG00000112378	PERP	5.44947484103122
ENSG00000143384	MCL1	5.44849608092208
ENSG00000125730	C3	5.4478936046888
ENSG00000185885	IFITM1	5.43849768361509
ENSG00000075785	RAB7A	5.43662188408651
ENSG00000105404	RABAC1	5.43429168924114
ENSG00000188257	PLA2G2A	5.43273511066126
ENSG00000004776	HSPB6	5.42764738188595
ENSG00000109472	CPE	5.42450004167001
ENSG00000172757	CFL1	5.42288325468746
ENSG00000167552	TUBA1A	5.4199350822131
ENSG00000123560	PLP1	5.41830699171318
ENSG00000245532	NEAT1	5.41773734633771
ENSG00000204435	CSNK2B	5.41081436255385
ENSG00000173641	HSPB7	5.4068938395037
ENSG00000123144	C19orf43	5.40432225275149
ENSG00000177666	PNPLA2	5.40412970928008
ENSG00000103363	ELOB	5.40334585972505
ENSG00000139644	TMBIM6	5.40138911682157
ENSG00000186468	RPS23	5.39814621591945
ENSG00000158887	MPZ	5.39432577566195
ENSG00000129538	RNASE1	5.39345022133842
ENSG00000189334	S100A14	5.39115479511771
ENSG00000118816	CCNI	5.39079275744956
ENSG00000214736	TOMM6	5.3899856855798
ENSG00000100906	NFKBIA	5.38823295277771
ENSG00000140519	RHCG	5.38495844856737
ENSG00000104419	NDRG1	5.38453751893819
ENSG00000143248	RGS5	5.38447379694442
ENSG00000011465	DCN	5.37593891407052
ENSG00000148175	STOM	5.37463240205895
ENSG00000126267	COX6B1	5.37283869585794
ENSG00000161203	AP2M1	5.36979499075501
ENSG00000071082	RPL31	5.36788070473884
ENSG00000211899	IGHM	5.3678495555385
ENSG00000123358	NR4A1	5.36756299445529
ENSG00000152518	ZFP36L2	5.36655855075146
ENSG00000106631	MYL7	5.36510288433027
ENSG00000111897	SERINC1	5.36157773132014
ENSG00000159388	BTG2	5.35909328703135
ENSG00000130811	EIF3G	5.35876182292978
ENSG00000076706	MCAM	5.3582448552457
ENSG00000129562	DAD1	5.35627943695718
ENSG00000173991	TCAP	5.35594622409893
ENSG00000162078	ZG16B	5.35461856555563
ENSG00000132507	EIF5A	5.3539723559647
ENSG00000140319	SRP14	5.3528470388847
ENSG00000136238	RAC1	5.35221902582834
ENSG00000158516	CPA2	5.35154071998727
ENSG00000100243	CYB5R3	5.35084410834981
ENSG00000165795	NDRG2	5.34921425809675
ENSG00000100300	TSPO	5.34891682418507
ENSG00000219200	RNASEK	5.34839421139151
ENSG00000166681	BEX3	5.34591082429234
ENSG00000132386	SERPINF1	5.34504632693128
ENSG00000185896	LAMP1	5.34477910396339
ENSG00000221869	CEBPD	5.34378339652413
ENSG00000126247	CAPNS1	5.3400310303463
ENSG00000134107	BHLHE40	5.33961181380308
ENSG00000164032	H2AFZ	5.33727898902046
ENSG00000141522	ARHGDIA	5.32594696944405
ENSG00000106682	EIF4H	5.32495839626684
ENSG00000257017	HP	5.32392923511863
ENSG00000101160	CTSZ	5.32315751572622
ENSG00000172354	GNB2	5.32235921707457
ENSG00000102007	PLP2	5.32129377391537
ENSG00000126458	RRAS	5.3168053265475
ENSG00000133872	SARAF	5.316286968157
ENSG00000198832	SELENOM	5.31066458867321
ENSG00000166033	HTRA1	5.30578408692562
ENSG00000169474	SPRR1A	5.30276522381308
ENSG00000131143	COX4I1	5.30260685831425
ENSG00000188783	PRELP	5.30101537169032
ENSG00000184205	TSPYL2	5.29714860144763
ENSG00000145824	CXCL14	5.29476547288803
ENSG00000169020	ATP5I	5.29464682040789
ENSG00000127184	COX7C	5.29421186656168
ENSG00000163399	ATP1A1	5.29325756695351
ENSG00000111676	ATN1	5.28555394810906
ENSG00000137312	FLOT1	5.28070928848406
ENSG00000203782	LOR	5.2765618092875
ENSG00000165678	GHITM	5.27541985507768
ENSG00000219073	CELA3B	5.2752189775453
ENSG00000188643	S100A16	5.27462975637895
ENSG00000140545	MFGE8	5.27434333978995
ENSG00000126524	SBDS	5.27325048249836
ENSG00000137409	MTCH1	5.26353193204096
ENSG00000160307	S100B	5.2634590318226
ENSG00000136810	TXN	5.2615207462502
ENSG00000137076	TLN1	5.26130937202163
ENSG00000137801	THBS1	5.2607347077453
ENSG00000079308	TNS1	5.26021447785709
