number	name	logTPM
ENSG00000198938	MT-CO3	10.4854523243123
ENSG00000198899	MT-ATP6	10.4662319959667
ENSG00000198886	MT-ND4	10.4123873779896
ENSG00000198712	MT-CO2	10.3196387711275
ENSG00000198763	MT-ND2	10.2189007553652
ENSG00000198888	MT-ND1	10.181133698109
ENSG00000198727	MT-CYB	10.1176756749684
ENSG00000198804	MT-CO1	10.039780209345
ENSG00000228253	MT-ATP8	10.0279643035819
ENSG00000198840	MT-ND3	9.91587393723614
ENSG00000212907	MT-ND4L	9.65700405225932
ENSG00000210082	MT-RNR2	9.37780522718902
ENSG00000087086	FTL	9.20472505091209
ENSG00000170323	FABP4	8.96649032956667
ENSG00000198695	MT-ND6	8.67667430477873
ENSG00000198786	MT-ND5	8.59775436438802
ENSG00000211445	GPX3	8.29882974642159
ENSG00000075624	ACTB	8.20267254847235
ENSG00000248527	MTATP6P1	8.18837859986231
ENSG00000231500	RPS18	8.14842116721324
ENSG00000034510	TMSB10	8.02000477725742
ENSG00000142541	RPL13A	7.99191681310942
ENSG00000112306	RPS12	7.98734105638161
ENSG00000205542	TMSB4X	7.96033966086416
ENSG00000156508	EEF1A1	7.94234600440003
ENSG00000142534	RPS11	7.87734931078665
ENSG00000147403	RPL10	7.86367939798545
ENSG00000211459	MT-RNR1	7.80890164629933
ENSG00000167996	FTH1	7.80505072442594
ENSG00000265972	TXNIP	7.71353519393485
ENSG00000234745	HLA-B	7.71138244429165
ENSG00000189058	APOD	7.66262403711548
ENSG00000166710	B2M	7.65157599428698
ENSG00000177600	RPLP2	7.62605700302582
ENSG00000148180	GSN	7.62376059787221
ENSG00000184009	ACTG1	7.59858182926198
ENSG00000137818	RPLP1	7.56540196779747
ENSG00000197766	CFD	7.55865273551224
ENSG00000108298	RPL19	7.53819570430515
ENSG00000105193	RPS16	7.52427171987215
ENSG00000163682	RPL9	7.51436917779247
ENSG00000118181	RPS25	7.50631423307187
ENSG00000177954	RPS27	7.49708901215478
ENSG00000197956	S100A6	7.46126155485178
ENSG00000100316	RPL3	7.43498681659804
ENSG00000142089	IFITM3	7.43307544772351
ENSG00000089157	RPLP0	7.41451734264507
ENSG00000128016	ZFP36	7.39895303587551
ENSG00000026025	VIM	7.39005540064089
ENSG00000122406	RPL5	7.37880005064606
ENSG00000100097	LGALS1	7.36023996143659
ENSG00000161016	RPL8	7.34931393169386
ENSG00000137154	RPS6	7.29711824078922
ENSG00000254772	EEF1G	7.28860914784135
ENSG00000120129	DUSP1	7.28269821522085
ENSG00000167658	EEF2	7.28038585742309
ENSG00000140988	RPS2	7.2670284731504
ENSG00000125148	MT2A	7.25512579814408
ENSG00000113140	SPARC	7.24191754141029
ENSG00000100234	TIMP3	7.23886963126546
ENSG00000110700	RPS13	7.22667232842658
ENSG00000141753	IGFBP4	7.21304567663682
ENSG00000019582	CD74	7.18885643892421
ENSG00000173432	SAA1	7.18584637131582
ENSG00000196616	ADH1B	7.1702786038911
ENSG00000136942	RPL35	7.14079297800093
ENSG00000204592	HLA-E	7.13571029389704
ENSG00000143947	RPS27A	7.10182114654466
ENSG00000148303	RPL7A	7.09933143027194
ENSG00000123689	G0S2	7.08376823330924
ENSG00000265681	RPL17	7.08263225080277
ENSG00000145425	RPS3A	7.07391024458596
ENSG00000225630	MTND2P28	7.02215061919896
ENSG00000197746	PSAP	7.01102891020829
ENSG00000204525	HLA-C	7.00309422702562
ENSG00000152583	SPARCL1	7.00102971334449
ENSG00000174444	RPL4	6.96623047592866
ENSG00000177666	PNPLA2	6.95745086386065
ENSG00000206503	HLA-A	6.94704451234408
ENSG00000114391	RPL24	6.93464222580024
ENSG00000143878	RHOB	6.93242528472431
ENSG00000142937	RPS8	6.92715760892359
ENSG00000099194	SCD	6.91366496275345
ENSG00000109475	RPL34	6.91240963099724
ENSG00000171863	RPS7	6.89206286198094
ENSG00000163453	IGFBP7	6.88706767651331
ENSG00000133112	TPT1	6.88168090342119
ENSG00000165507	C10orf10	6.87410623684036
ENSG00000149131	SERPING1	6.87145636733629
ENSG00000198755	RPL10A	6.87002822820823
ENSG00000142871	CYR61	6.86306039896017
ENSG00000122026	RPL21	6.85355758837036
ENSG00000142676	RPL11	6.82711123575662
ENSG00000187288	CIDEC	6.82407538166599
ENSG00000142173	COL6A2	6.80353521759847
ENSG00000111341	MGP	6.80003273007537
ENSG00000167676	PLIN4	6.79833451171755
ENSG00000162244	RPL29	6.79035197923563
ENSG00000131469	RPL27	6.78556737452075
ENSG00000159403	C1R	6.78296930301287
ENSG00000166819	PLIN1	6.77195425165339
ENSG00000244734	HBB	6.77170719790353
ENSG00000111640	GAPDH	6.7638750311265
ENSG00000149591	TAGLN	6.75484395796803
ENSG00000187193	MT1X	6.72351380178572
ENSG00000135821	GLUL	6.69752046224925
ENSG00000096384	HSP90AB1	6.694258569745
ENSG00000171223	JUNB	6.69211362714536
ENSG00000198034	RPS4X	6.68922182940578
ENSG00000147604	RPL7	6.66636572398929
ENSG00000142156	COL6A1	6.65102584947379
ENSG00000163191	S100A11	6.61464565927198
ENSG00000008988	RPS20	6.60874079947279
ENSG00000181092	ADIPOQ	6.60828362648653
ENSG00000106211	HSPB1	6.59846919828397
ENSG00000187514	PTMA	6.59273410641256
ENSG00000168028	RPSA	6.59227226724579
ENSG00000004799	PDK4	6.59050712933446
ENSG00000204287	HLA-DRA	6.58743612166669
ENSG00000125730	C3	6.58020656393709
ENSG00000175899	A2M	6.57810160490261
ENSG00000089009	RPL6	6.57183986545036
ENSG00000101335	MYL9	6.5626173490494
ENSG00000104904	OAZ1	6.56016848198112
ENSG00000145741	BTF3	6.5572608889436
ENSG00000115461	IGFBP5	6.55159975541791
ENSG00000063177	RPL18	6.5471996554736
ENSG00000211592	IGKC	6.54636340340213
ENSG00000177469	PTRF	6.54009448865624
ENSG00000197958	RPL12	6.53668088590121
ENSG00000172809	RPL38	6.53358636872521
ENSG00000164111	ANXA5	6.53177039037923
ENSG00000164587	RPS14	6.518917571444
ENSG00000161970	RPL26	6.51393399623907
ENSG00000124614	RPS10	6.51248540759756
ENSG00000170345	FOS	6.5062204164055
ENSG00000107796	ACTA2	6.50055999292413
ENSG00000167526	RPL13	6.48021129945192
ENSG00000182774	RPS17	6.47744401398062
ENSG00000074800	ENO1	6.47268796308924
ENSG00000196154	S100A4	6.47261236230742
ENSG00000240583	AQP1	6.47124847522098
ENSG00000117984	CTSD	6.46728864895215
ENSG00000167468	GPX4	6.4663143119659
ENSG00000169710	FASN	6.46623480507608
ENSG00000188257	PLA2G2A	6.46574072620423
ENSG00000233927	RPS28	6.4610194424911
ENSG00000115268	RPS15	6.45272942075676
ENSG00000067560	RHOA	6.45203598654342
ENSG00000173812	EIF1	6.4480069256407
ENSG00000185201	IFITM2	6.44419833504051
ENSG00000135404	CD63	6.43325985072012
ENSG00000144713	RPL32	6.42581854147671
ENSG00000065978	YBX1	6.42563912151141
ENSG00000229117	RPL41	6.41792774544055
ENSG00000177606	JUN	6.38397442132561
ENSG00000164692	COL1A2	6.37645395598178
ENSG00000123349	PFDN5	6.37391773251219
ENSG00000138207	RBP4	6.36811520556832
ENSG00000130066	SAT1	6.3607842103078
ENSG00000135218	CD36	6.35953637932742
ENSG00000092841	MYL6	6.35464907337071
ENSG00000129538	RNASE1	6.35275866262949
ENSG00000110651	CD81	6.3492008479628
ENSG00000114942	EEF1B2	6.34759748547311
ENSG00000169692	AGPAT2	6.34562747404317
ENSG00000120738	EGR1	6.34263681540161
ENSG00000087245	MMP2	6.34070568036635
ENSG00000167588	GPD1	6.33985662302129
ENSG00000182326	C1S	6.33695495456694
ENSG00000175445	LPL	6.33542740764478
ENSG00000169100	SLC25A6	6.33253715694053
ENSG00000128272	ATF4	6.33000260822651
ENSG00000132386	SERPINF1	6.32674703556771
ENSG00000196924	FLNA	6.3191650372847
ENSG00000196126	HLA-DRB1	6.31090429331897
ENSG00000083845	RPS5	6.30363810565986
ENSG00000102265	TIMP1	6.29682060147849
ENSG00000150991	UBC	6.29415919210291
ENSG00000197747	S100A10	6.27545449936319
ENSG00000085063	CD59	6.27225749732645
ENSG00000168542	COL3A1	6.26493506750268
ENSG00000163220	S100A9	6.25884167530348
ENSG00000125691	RPL23	6.25192308871828
ENSG00000130255	RPL36	6.25056896982169
ENSG00000022267	FHL1	6.24857245016998
ENSG00000143933	CALM2	6.24588116959324
ENSG00000204628	RACK1	6.24318796991106
ENSG00000105373	GLTSCR2	6.24083037461705
ENSG00000100345	MYH9	6.23779954626423
ENSG00000182899	RPL35A	6.23441382193532
ENSG00000132475	H3F3B	6.22710985928915
ENSG00000109846	CRYAB	6.20388828989607
ENSG00000070756	PABPC1	6.20186966884349
ENSG00000169714	CNBP	6.19712729392058
ENSG00000110955	ATP5B	6.18099686066275
ENSG00000068697	LAPTM4A	6.16706053609624
ENSG00000011465	DCN	6.16680688322799
ENSG00000149806	FAU	6.16661447949147
ENSG00000166598	HSP90B1	6.16385800531831
ENSG00000171858	RPS21	6.16355275649457
ENSG00000184557	SOCS3	6.16162438710758
ENSG00000131981	LGALS3	6.15845043260881
ENSG00000080824	HSP90AA1	6.1549691669893
ENSG00000105640	RPL18A	6.14805434976735
ENSG00000111716	LDHB	6.14644451848576
ENSG00000145824	CXCL14	6.14012575602894
ENSG00000148175	STOM	6.13873972472598
ENSG00000105974	CAV1	6.13750602624584
ENSG00000108821	COL1A1	6.13428484276807
ENSG00000004776	HSPB6	6.13115213528892
ENSG00000138326	RPS24	6.12937976005672
ENSG00000118523	CTGF	6.1291578903419
ENSG00000130300	PLVAP	6.12757711001223
ENSG00000179914	ITLN1	6.12529441119927
ENSG00000166482	MFAP4	6.11675440643952
ENSG00000166794	PPIB	6.11001657679486
ENSG00000035862	TIMP2	6.10761914647769
ENSG00000161960	EIF4A1	6.10119252785984
ENSG00000179218	CALR	6.09486465214108
ENSG00000130203	APOE	6.09349042490719
ENSG00000149925	ALDOA	6.08988111952285
ENSG00000241343	RPL36A	6.08644282572775
ENSG00000116016	EPAS1	6.07950889214033
ENSG00000117592	PRDX6	6.07850387104306
ENSG00000185885	IFITM1	6.07840938555438
ENSG00000151726	ACSL1	6.07364919227163
ENSG00000147872	PLIN2	6.07222086645076
ENSG00000112936	C7	6.07168497896464
ENSG00000172270	BSG	6.05529138675626
ENSG00000099860	GADD45B	6.05248842711137
ENSG00000108654	DDX5	6.04391967905787
ENSG00000233276	GPX1	6.03844501671503
ENSG00000072778	ACADVL	6.03667331999099
ENSG00000143196	DPT	6.0321915229028
ENSG00000122566	HNRNPA2B1	6.03006893745905
ENSG00000158710	TAGLN2	6.02747565469895
ENSG00000170889	RPS9	6.01918231999311
ENSG00000156482	RPL30	6.00758822217925
ENSG00000187479	C11orf96	5.99694747672034
ENSG00000084207	GSTP1	5.99091601879516
ENSG00000139329	LUM	5.98530972974503
ENSG00000118680	MYL12B	5.98066138844813
ENSG00000243678	NME2	5.979940133801
ENSG00000130522	JUND	5.97865055326358
ENSG00000134333	LDHA	5.97672242569464
ENSG00000108518	PFN1	5.97530119332814
ENSG00000149273	RPS3	5.97394063640632
ENSG00000165502	RPL36AL	5.97265693796435
ENSG00000156976	EIF4A2	5.96675448780001
ENSG00000168653	NDUFS5	5.96044262611
ENSG00000109971	HSPA8	5.9559339366868
ENSG00000159335	PTMS	5.95266867984972
ENSG00000182718	ANXA2	5.9450323881665
ENSG00000185650	ZFP36L1	5.94085968767407
ENSG00000123358	NR4A1	5.93937837903694
ENSG00000167779	IGFBP6	5.93378703159403
ENSG00000174748	RPL15	5.92413698229227
ENSG00000122862	SRGN	5.92208235685569
ENSG00000174807	CD248	5.92192822263489
ENSG00000101439	CST3	5.90921069920688
ENSG00000221869	CEBPD	5.9035515055199
ENSG00000109099	PMP22	5.90232273382961
ENSG00000181163	NPM1	5.89355420268652
ENSG00000152518	ZFP36L2	5.89258274816293
ENSG00000106153	CHCHD2	5.89122173039211
ENSG00000089220	PEBP1	5.88885322791232
ENSG00000079435	LIPE	5.88125802742595
ENSG00000163430	FSTL1	5.87774171716874
ENSG00000146674	IGFBP3	5.87146868831157
ENSG00000159176	CSRP1	5.86587999761004
ENSG00000135046	ANXA1	5.86463480857834
ENSG00000100906	NFKBIA	5.86197961054623
ENSG00000143384	MCL1	5.85928381100117
ENSG00000162444	RBP7	5.85872432506096
ENSG00000135486	HNRNPA1	5.85764123053941
ENSG00000167460	TPM4	5.85581865473248
ENSG00000076706	MCAM	5.85561887728922
ENSG00000176340	COX8A	5.85330523674337
ENSG00000166741	NNMT	5.85280620211617
ENSG00000178719	GRINA	5.85194939089946
ENSG00000168209	DDIT4	5.84866305618748
ENSG00000120885	CLU	5.8473162230393
ENSG00000124942	AHNAK	5.84036004951308
ENSG00000106624	AEBP1	5.83915393979101
ENSG00000105372	RPS19	5.8380399147007
ENSG00000100243	CYB5R3	5.83619235975992
ENSG00000225972	MTND1P23	5.82853458240419
ENSG00000137801	THBS1	5.81799212513551
ENSG00000100201	DDX17	5.81523237214877
ENSG00000159377	PSMB4	5.8087262121219
ENSG00000157514	TSC22D3	5.80696678989736
ENSG00000164733	CTSB	5.80138716393312
ENSG00000148926	ADM	5.79607608160141
ENSG00000173511	VEGFB	5.78855016657944
ENSG00000163513	TGFBR2	5.78572218383654
ENSG00000100979	PLTP	5.78190663264759
ENSG00000169715	MT1E	5.77830018322748
ENSG00000163815	CLEC3B	5.7744302324043
ENSG00000024422	EHD2	5.77432376224217
ENSG00000169564	PCBP1	5.77181468124512
ENSG00000213088	ACKR1	5.76903949073945
ENSG00000170296	GABARAP	5.7609409993101
ENSG00000165810	BTNL9	5.76064267304074
ENSG00000154734	ADAMTS1	5.75888878135966
ENSG00000198242	RPL23A	5.75810170439699
ENSG00000111077	TNS2	5.75631879363194
ENSG00000107438	PDLIM1	5.74727911159845
ENSG00000211597	IGKJ1	5.74709056379961
ENSG00000197756	RPL37A	5.74354929793884
ENSG00000165119	HNRNPK	5.73566603871368
ENSG00000101955	SRPX	5.7304353805462
ENSG00000197728	RPS26	5.72844978158646
ENSG00000101160	CTSZ	5.72817998713317
ENSG00000088832	FKBP1A	5.72775041343284
ENSG00000177697	CD151	5.72419910034272
ENSG00000187498	COL4A1	5.72052285722033
ENSG00000134107	BHLHE40	5.71866787181984
ENSG00000109610	SOD3	5.71686023897854
ENSG00000101608	MYL12A	5.71161685291315
ENSG00000044574	HSPA5	5.70870605155343
ENSG00000108551	RASD1	5.70738900649523
ENSG00000106991	ENG	5.7062537574015
ENSG00000166033	HTRA1	5.70449816866332
ENSG00000240342	RPS2P5	5.70259265637218
ENSG00000175084	DES	5.70150888482134
ENSG00000213719	CLIC1	5.70097344221884
ENSG00000124762	CDKN1A	5.69780167177969
ENSG00000134871	COL4A2	5.69691947418672
ENSG00000163661	PTX3	5.69599082915781
ENSG00000162734	PEA15	5.69157846613402
ENSG00000130303	BST2	5.6907646687589
ENSG00000125534	PPDPF	5.69026730566125
ENSG00000106366	SERPINE1	5.68100562516618
ENSG00000174697	LEP	5.67887418925752
ENSG00000115380	EFEMP1	5.67645913933774
ENSG00000084234	APLP2	5.67528644147362
ENSG00000130402	ACTN4	5.66234183875453
ENSG00000110321	EIF4G2	5.65978317410192
ENSG00000111775	COX6A1	5.65699756955212
ENSG00000188536	HBA2	5.64969999423727
ENSG00000100650	SRSF5	5.64890387516218
ENSG00000104964	AES	5.6468326609182
ENSG00000196230	TUBB	5.64588216325501
ENSG00000179010	MRFAP1	5.64495489798176
ENSG00000009307	CSDE1	5.64457060900953
ENSG00000117450	PRDX1	5.64441006552968
ENSG00000108953	YWHAE	5.64341020895002
ENSG00000131471	AOC3	5.64001684399475
ENSG00000245532	NEAT1	5.63838895896469
ENSG00000142192	APP	5.63656922777449
ENSG00000251562	MALAT1	5.63574625626366
ENSG00000143387	CTSK	5.63275997071236
