number	name	logTPM
ENSG00000198938	MT-CO3	10.9175009851663
ENSG00000198886	MT-ND4	10.8900474470529
ENSG00000198899	MT-ATP6	10.8343735786209
ENSG00000198804	MT-CO1	10.8238806334718
ENSG00000198712	MT-CO2	10.8232289133041
ENSG00000210082	MT-RNR2	10.4543084105744
ENSG00000198727	MT-CYB	10.2919088831685
ENSG00000228253	MT-ATP8	10.2883543680872
ENSG00000198763	MT-ND2	10.2773633228422
ENSG00000198888	MT-ND1	10.1789616895605
ENSG00000198840	MT-ND3	10.1508864872353
ENSG00000212907	MT-ND4L	10.08118149339
ENSG00000148795	CYP17A1	8.94147959745189
ENSG00000198695	MT-ND6	8.92566916297269
ENSG00000198786	MT-ND5	8.84727963382263
ENSG00000211459	MT-RNR1	8.81551152120775
ENSG00000147465	STAR	8.69099991770929
ENSG00000160882	CYP11B1	8.68769843994575
ENSG00000248527	MTATP6P1	8.62192148884158
ENSG00000087086	FTL	8.32420095159692
ENSG00000130203	APOE	8.20147206082609
ENSG00000085662	AKR1B1	8.05481720412602
ENSG00000089220	PEBP1	7.8514343254145
ENSG00000142541	RPL13A	7.79489722108418
ENSG00000203859	HSD3B2	7.69767923471901
ENSG00000231500	RPS18	7.58760062187724
ENSG00000231852	CYP21A2	7.54611510445779
ENSG00000156508	EEF1A1	7.50115600105038
ENSG00000116133	DHCR24	7.4768208509486
ENSG00000167996	FTH1	7.45368492554399
ENSG00000117984	CTSD	7.32457684699648
ENSG00000112306	RPS12	7.31997375970484
ENSG00000142534	RPS11	7.31628493786678
ENSG00000075624	ACTB	7.30485630719287
ENSG00000137818	RPLP1	7.23777874993465
ENSG00000205542	TMSB4X	7.21114931676305
ENSG00000106538	RARRES2	7.20120209939782
ENSG00000197746	PSAP	7.20074533291526
ENSG00000147403	RPL10	7.19598691045102
ENSG00000100316	RPL3	7.12765543744479
ENSG00000140459	CYP11A1	7.12202328060646
ENSG00000166710	B2M	7.10871472849501
ENSG00000225630	MTND2P28	7.08288137300321
ENSG00000125148	MT2A	7.06274779791157
ENSG00000108298	RPL19	7.05983404729765
ENSG00000234745	HLA-B	7.05303785031699
ENSG00000143819	EPHX1	7.03556232544412
ENSG00000184009	ACTG1	7.03223727433747
ENSG00000089157	RPLP0	7.02218938941188
ENSG00000148303	RPL7A	7.01545491812141
ENSG00000167658	EEF2	6.99878676309299
ENSG00000118181	RPS25	6.97083961924853
ENSG00000122406	RPL5	6.9648270405722
ENSG00000161016	RPL8	6.9559516909023
ENSG00000120885	CLU	6.92832475102101
ENSG00000073060	SCARB1	6.90512585708806
ENSG00000105193	RPS16	6.89174760554168
ENSG00000206503	HLA-A	6.88027811585729
ENSG00000111640	GAPDH	6.87394995466523
ENSG00000163682	RPL9	6.86968265175197
ENSG00000265681	RPL17	6.85321273048572
ENSG00000096384	HSP90AB1	6.85019350168718
ENSG00000243955	GSTA1	6.84553192696698
ENSG00000140988	RPS2	6.82565739348456
ENSG00000177954	RPS27	6.81018262032101
ENSG00000072778	ACADVL	6.80540143710207
ENSG00000254772	EEF1G	6.78264459056606
ENSG00000111341	MGP	6.76254398207433
ENSG00000144381	HSPD1	6.75761946277628
ENSG00000167815	PRDX2	6.74605726304908
ENSG00000136999	NOV	6.73349292801275
ENSG00000142937	RPS8	6.7025296963989
ENSG00000136942	RPL35	6.69913654513273
ENSG00000143947	RPS27A	6.68910163418518
ENSG00000106153	CHCHD2	6.67222917906636
ENSG00000177600	RPLP2	6.65628751797295
ENSG00000034510	TMSB10	6.65425441031111
ENSG00000019582	CD74	6.63284096444491
ENSG00000023330	ALAS1	6.6295810942799
ENSG00000104904	OAZ1	6.62653908067824
ENSG00000130208	APOC1	6.62022151727854
ENSG00000137154	RPS6	6.61553060611803
ENSG00000112936	C7	6.56631328081975
ENSG00000204525	HLA-C	6.52934414672734
ENSG00000130303	BST2	6.51601933186679
ENSG00000185559	DLK1	6.51271241578991
ENSG00000265972	TXNIP	6.50741324790636
ENSG00000142089	IFITM3	6.5008944313407
ENSG00000110955	ATP5B	6.49700880863958
ENSG00000106211	HSPB1	6.49408303930395
ENSG00000110700	RPS13	6.49213705934929
ENSG00000102265	TIMP1	6.47552970234973
ENSG00000130255	RPL36	6.45619083243305
ENSG00000145425	RPS3A	6.41341829207571
ENSG00000143878	RHOB	6.41205500002569
ENSG00000162244	RPL29	6.4031929471916
ENSG00000114391	RPL24	6.399115251223
ENSG00000131469	RPL27	6.39529201176691
ENSG00000215187	FAM166B	6.38118372805843
ENSG00000171863	RPS7	6.38044832969135
ENSG00000080824	HSP90AA1	6.3791921361255
ENSG00000101335	MYL9	6.37284609654921
ENSG00000115541	HSPE1	6.34574719555387
ENSG00000063177	RPL18	6.34160676683521
ENSG00000067225	PKM	6.33180457282072
ENSG00000198755	RPL10A	6.32178974730748
ENSG00000169100	SLC25A6	6.31471577407317
ENSG00000100097	LGALS1	6.30170778083966
ENSG00000174444	RPL4	6.30065564081276
ENSG00000109475	RPL34	6.29735412741813
ENSG00000133112	TPT1	6.28918905026152
ENSG00000168028	RPSA	6.28818774906415
ENSG00000172270	BSG	6.27012201024373
ENSG00000143933	CALM2	6.25532739191446
ENSG00000124614	RPS10	6.2527220593541
ENSG00000197956	S100A6	6.25127038549554
ENSG00000089009	RPL6	6.24491547461569
ENSG00000122026	RPL21	6.23766504057082
ENSG00000229117	RPL41	6.23643937233782
ENSG00000126432	PRDX5	6.2289344438728
ENSG00000166598	HSP90B1	6.21822558044488
ENSG00000113140	SPARC	6.21694737767759
ENSG00000064601	CTSA	6.20316159817241
ENSG00000188488	SERPINA5	6.20226950134561
ENSG00000233927	RPS28	6.19304867508918
ENSG00000074800	ENO1	6.19227109690917
ENSG00000165672	PRDX3	6.18612839177651
ENSG00000225972	MTND1P23	6.18506507191466
ENSG00000135404	CD63	6.17331894261886
ENSG00000214548	MEG3	6.16693208290045
ENSG00000197728	RPS26	6.16448156706758
ENSG00000108654	DDX5	6.15041763253479
ENSG00000109971	HSPA8	6.14615495051076
ENSG00000125730	C3	6.13782223479926
ENSG00000138449	SLC40A1	6.13274752001287
ENSG00000250535	STK19B	6.12503076459365
ENSG00000182774	RPS17	6.12233470047358
ENSG00000142676	RPL11	6.12039708395612
ENSG00000152661	GJA1	6.11268808516007
ENSG00000149925	ALDOA	6.11167529891889
ENSG00000123349	PFDN5	6.09921899958669
ENSG00000176340	COX8A	6.09782775982147
ENSG00000137714	FDX1	6.0829296967685
ENSG00000115268	RPS15	6.07972030686255
ENSG00000172809	RPL38	6.07414063821001
ENSG00000083845	RPS5	6.06560795838595
ENSG00000185624	P4HB	6.06053439470972
ENSG00000158019	BRE	6.05641377838751
ENSG00000214435	AS3MT	6.03552872432959
ENSG00000120129	DUSP1	6.02470279017454
ENSG00000122566	HNRNPA2B1	6.02298105640422
ENSG00000100604	CHGA	6.02127056090659
ENSG00000164111	ANXA5	6.01591994360871
ENSG00000204287	HLA-DRA	6.00841008207528
ENSG00000198034	RPS4X	6.00154822790379
ENSG00000145741	BTF3	5.99609431952875
ENSG00000138356	AOX1	5.99498721369504
ENSG00000166794	PPIB	5.99238650819215
ENSG00000111716	LDHB	5.98275619913766
ENSG00000118680	MYL12B	5.9799410440085
ENSG00000147604	RPL7	5.97816722851128
ENSG00000161970	RPL26	5.97747273935948
ENSG00000111669	TPI1	5.96765921290584
ENSG00000068697	LAPTM4A	5.96528292207436
ENSG00000169714	CNBP	5.96081352327756
ENSG00000167526	RPL13	5.95685404589104
ENSG00000170315	UBB	5.95611839052418
ENSG00000164587	RPS14	5.95330273308742
ENSG00000179218	CALR	5.95016773722006
ENSG00000168653	NDUFS5	5.94934063409728
ENSG00000067560	RHOA	5.94541604528191
ENSG00000142168	SOD1	5.92987464874927
ENSG00000233276	GPX1	5.92969531722299
ENSG00000149806	FAU	5.92934583754817
ENSG00000104964	AES	5.92801071147084
ENSG00000170296	GABARAP	5.91503964399394
ENSG00000171858	RPS21	5.90593093875844
ENSG00000149809	TM7SF2	5.89739906989609
ENSG00000156976	EIF4A2	5.89635386565641
ENSG00000114942	EEF1B2	5.8960852785198
ENSG00000166681	BEX3	5.8945329884997
ENSG00000141753	IGFBP4	5.89272183837412
ENSG00000197958	RPL12	5.88856332465399
ENSG00000165502	RPL36AL	5.88624506648702
ENSG00000166917	MIR202HG	5.88603706385473
ENSG00000198258	UBL5	5.88570882263762
ENSG00000163453	IGFBP7	5.88060032918098
ENSG00000133872	SARAF	5.86993143190416
ENSG00000105398	SULT2A1	5.86912760718494
ENSG00000211445	GPX3	5.86303727413699
ENSG00000103018	CYB5B	5.85838931020713
ENSG00000142192	APP	5.85580586858606
ENSG00000219200	RNASEK	5.8554028269774
ENSG00000204628	RACK1	5.85266459629591
ENSG00000089199	CHGB	5.84393605202768
ENSG00000161203	AP2M1	5.84122288668273
ENSG00000159377	PSMB4	5.83874130699275
ENSG00000008988	RPS20	5.83715058167322
ENSG00000171223	JUNB	5.82445596295475
ENSG00000104823	ECH1	5.82116887993389
ENSG00000182899	RPL35A	5.81379957642902
ENSG00000182492	BGN	5.81069748213973
ENSG00000115461	IGFBP5	5.80602604766813
ENSG00000167468	GPX4	5.80474729989538
ENSG00000114771	AADAC	5.78368181198114
ENSG00000159403	C1R	5.78322476667208
ENSG00000243147	MRPL33	5.77782259046011
ENSG00000108679	LGALS3BP	5.7764475304798
ENSG00000141504	SAT2	5.77263459860905
ENSG00000204592	HLA-E	5.7721717390409
ENSG00000161513	FDXR	5.76974646017468
ENSG00000138326	RPS24	5.76764974654961
ENSG00000092841	MYL6	5.76764974654961
ENSG00000170899	GSTA4	5.7620220110115
ENSG00000084207	GSTP1	5.75655534892669
ENSG00000117450	PRDX1	5.7504978936898
ENSG00000144713	RPL32	5.74775485353753
ENSG00000137312	FLOT1	5.74528764980813
ENSG00000128272	ATF4	5.74524798620518
ENSG00000004799	PDK4	5.74136026991175
ENSG00000179010	MRFAP1	5.72850672798883
ENSG00000173812	EIF1	5.72301101839062
ENSG00000113013	HSPA9	5.7216712569496
ENSG00000072310	SREBF1	5.72119993536267
ENSG00000161960	EIF4A1	5.71409219877031
ENSG00000170889	RPS9	5.70898339998394
ENSG00000139644	TMBIM6	5.70732438921243
ENSG00000125691	RPL23	5.69395658387116
ENSG00000214736	TOMM6	5.69255560923181
ENSG00000165678	GHITM	5.68926861573033
ENSG00000117519	CNN3	5.68895880723526
ENSG00000100234	TIMP3	5.6821988937101
ENSG00000182196	ARL6IP4	5.67894424764609
ENSG00000111775	COX6A1	5.67475143061597
ENSG00000108828	VAT1	5.67025428628433
ENSG00000242265	PEG10	5.66870836006883
ENSG00000237973	MTCO1P12	5.66664955507049
ENSG00000243678	NME2	5.66445860719458
ENSG00000134333	LDHA	5.62620720200689
ENSG00000165629	ATP5C1	5.61711593260868
ENSG00000125356	NDUFA1	5.61602240672749
ENSG00000104852	SNRNP70	5.61099631978827
ENSG00000105372	RPS19	5.61004805893393
