number	name	logTPM
ENSG00000198886	MT-ND4	10.4955652623006
ENSG00000198899	MT-ATP6	10.4042310939433
ENSG00000198712	MT-CO2	10.378748172923
ENSG00000198938	MT-CO3	10.339834366198
ENSG00000198804	MT-CO1	10.2345232693555
ENSG00000198727	MT-CYB	10.0420209973894
ENSG00000198763	MT-ND2	9.85505482453128
ENSG00000228253	MT-ATP8	9.83421658121208
ENSG00000198840	MT-ND3	9.75399268430312
ENSG00000212907	MT-ND4L	9.72068588056533
ENSG00000198888	MT-ND1	9.71826178265496
ENSG00000210082	MT-RNR2	9.56692864556248
ENSG00000198695	MT-ND6	9.09344426442383
ENSG00000175084	DES	9.0616807001609
ENSG00000087086	FTL	8.91060499720589
ENSG00000198786	MT-ND5	8.9102791358638
ENSG00000075624	ACTB	8.76929249694114
ENSG00000133392	MYH11	8.40563467199806
ENSG00000101335	MYL9	8.17105438396097
ENSG00000231500	RPS18	8.14062092211148
ENSG00000142541	RPL13A	8.09482895137842
ENSG00000112306	RPS12	8.04714384715987
ENSG00000248527	MTATP6P1	8.04624633684094
ENSG00000156508	EEF1A1	8.03500130076954
ENSG00000196924	FLNA	7.94040750786023
ENSG00000147403	RPL10	7.88929856310225
ENSG00000211459	MT-RNR1	7.88888805772884
ENSG00000142534	RPS11	7.87223735669498
ENSG00000137818	RPLP1	7.84848772128345
ENSG00000163017	ACTG2	7.76399670013217
ENSG00000149591	TAGLN	7.75224921246638
ENSG00000107796	ACTA2	7.69456843168921
ENSG00000167996	FTH1	7.65550111899512
ENSG00000177954	RPS27	7.6499420261909
ENSG00000197956	S100A6	7.61197427400363
ENSG00000105193	RPS16	7.60040233500065
ENSG00000163682	RPL9	7.57765820285215
ENSG00000034510	TMSB10	7.56979257455603
ENSG00000108298	RPL19	7.56584260233875
ENSG00000122406	RPL5	7.53649091500296
ENSG00000118181	RPS25	7.53636393893784
ENSG00000100316	RPL3	7.53382102593509
ENSG00000211592	IGKC	7.50040312559987
ENSG00000159176	CSRP1	7.49668414901795
ENSG00000161016	RPL8	7.49458910968507
ENSG00000140988	RPS2	7.46649993986865
ENSG00000089157	RPLP0	7.44410940340587
ENSG00000137154	RPS6	7.43282187477284
ENSG00000106211	HSPB1	7.41960609194777
ENSG00000254772	EEF1G	7.40440953358288
ENSG00000184009	ACTG1	7.40196359753474
