number	name	logTPM
ENSG00000198938	MT-CO3	9.93022112475579
ENSG00000198899	MT-ATP6	9.89964292803388
ENSG00000198804	MT-CO1	9.80634480552219
ENSG00000198886	MT-ND4	9.77346929681215
ENSG00000198712	MT-CO2	9.7114658426413
ENSG00000198727	MT-CYB	9.54286147452516
ENSG00000228253	MT-ATP8	9.42862524169179
ENSG00000198763	MT-ND2	9.32627774381685
ENSG00000198888	MT-ND1	9.29756905690507
ENSG00000075624	ACTB	9.26294312709275
ENSG00000198840	MT-ND3	9.2354826286947
ENSG00000210082	MT-RNR2	9.06541903051755
ENSG00000087086	FTL	9.0031179068655
ENSG00000212907	MT-ND4L	8.9439863644315
ENSG00000111341	MGP	8.89207932748607
ENSG00000149591	TAGLN	8.87420394427338
ENSG00000107796	ACTA2	8.83824966403467
ENSG00000198695	MT-ND6	8.79227413481326
ENSG00000101335	MYL9	8.67598335239107
ENSG00000182492	BGN	8.5776048522136
ENSG00000198786	MT-ND5	8.48389486750019
ENSG00000163453	IGFBP7	8.46153778518124
ENSG00000196924	FLNA	8.3546948127247
ENSG00000133392	MYH11	8.27810627002174
ENSG00000198467	TPM2	8.22549591802859
ENSG00000106211	HSPB1	8.12237251104093
ENSG00000115414	FN1	8.07513232853918
ENSG00000026025	VIM	7.99358408397323
ENSG00000137818	RPLP1	7.98324690276471
ENSG00000156508	EEF1A1	7.97581779950173
ENSG00000142541	RPL13A	7.94910765529135
ENSG00000142534	RPS11	7.93038082063475
ENSG00000231500	RPS18	7.89803885636939
ENSG00000147403	RPL10	7.89396754600668
ENSG00000197956	S100A6	7.89381761363388
ENSG00000152583	SPARCL1	7.8705522494543
ENSG00000184009	ACTG1	7.86458909945418
ENSG00000205542	TMSB4X	7.84796584701754
ENSG00000143878	RHOB	7.82165027485732
ENSG00000112306	RPS12	7.77616979337527
ENSG00000125868	DSTN	7.75882988334363
ENSG00000175084	DES	7.70801316452298
ENSG00000142089	IFITM3	7.67251617373558
ENSG00000159176	CSRP1	7.67177774341431
ENSG00000113140	SPARC	7.64708101286825
ENSG00000167996	FTH1	7.63084641044534
ENSG00000248527	MTATP6P1	7.62007098715959
ENSG00000120129	DUSP1	7.60958971000829
ENSG00000118181	RPS25	7.58115352120226
ENSG00000105193	RPS16	7.55018038038927
ENSG00000108298	RPL19	7.54863376405258
ENSG00000163682	RPL9	7.54409919796254
ENSG00000106624	AEBP1	7.50743750265904
ENSG00000177954	RPS27	7.50649983088542
ENSG00000211459	MT-RNR1	7.50152016902683
ENSG00000111640	GAPDH	7.49879743856315
ENSG00000143248	RGS5	7.48026032989548
ENSG00000100097	LGALS1	7.46511328251567
ENSG00000122406	RPL5	7.43903024810116
ENSG00000148180	GSN	7.43762990899193
