number	name	logTPM
ENSG00000244734	HBB	12.3461152895889
ENSG00000188536	HBA2	11.1758519290249
ENSG00000163220	S100A9	10.4317022291914
ENSG00000206172	HBA1	9.63766195715482
ENSG00000223609	HBD	9.58675205642731
ENSG00000087086	FTL	9.40519527474721
ENSG00000198712	MT-CO2	9.14648246032581
ENSG00000234745	HLA-B	9.00018188767697
ENSG00000198804	MT-CO1	8.90290007955904
ENSG00000198938	MT-CO3	8.8963024327247
ENSG00000198899	MT-ATP6	8.87090972064137
ENSG00000198886	MT-ND4	8.86003799116411
ENSG00000075624	ACTB	8.7955529796067
ENSG00000210082	MT-RNR2	8.70507860984898
ENSG00000185201	IFITM2	8.54893261747846
ENSG00000204525	HLA-C	8.49178948665226
ENSG00000228253	MT-ATP8	8.37352252434806
ENSG00000205542	TMSB4X	8.30846591894059
ENSG00000143546	S100A8	8.2595998031511
ENSG00000198888	MT-ND1	8.24853476346926
ENSG00000211592	IGKC	8.22649558173007
ENSG00000163191	S100A11	8.21596662700363
ENSG00000166710	B2M	8.18031532707111
ENSG00000198727	MT-CYB	8.12884316041562
ENSG00000167996	FTH1	8.11515156019801
ENSG00000206503	HLA-A	8.05788287574132
ENSG00000198763	MT-ND2	8.03413612445647
ENSG00000163221	S100A12	7.96645995401933
ENSG00000111640	GAPDH	7.94346223467645
ENSG00000212907	MT-ND4L	7.92268229056262
ENSG00000122862	SRGN	7.85379980946997
ENSG00000204592	HLA-E	7.85090911442007
ENSG00000198840	MT-ND3	7.82411197248228
ENSG00000211459	MT-RNR1	7.7700458443322
ENSG00000231500	RPS18	7.73716679662306
ENSG00000142541	RPL13A	7.64943840150231
ENSG00000211597	IGKJ1	7.64303097292017
ENSG00000112306	RPS12	7.63395093893228
ENSG00000119535	CSF3R	7.62709806131151
ENSG00000142534	RPS11	7.62204091562188
ENSG00000198695	MT-ND6	7.61130970936897
ENSG00000034510	TMSB10	7.60182109071612
ENSG00000019582	CD74	7.54070823405153
ENSG00000147403	RPL10	7.53903261024196
ENSG00000104904	OAZ1	7.53191124167267
ENSG00000090382	LYZ	7.50517690797741
ENSG00000156508	EEF1A1	7.48893420270616
ENSG00000011600	TYROBP	7.46024160162364
ENSG00000184009	ACTG1	7.42707716408783
ENSG00000140988	RPS2	7.4115233121547
ENSG00000198786	MT-ND5	7.37543092536807
ENSG00000105701	FKBP8	7.36770157349222
ENSG00000137818	RPLP1	7.36377303832973
ENSG00000111348	ARHGDIB	7.33716544661672
ENSG00000211596	IGKJ2	7.30974185057826
ENSG00000077984	CST7	7.30830682135809
ENSG00000204287	HLA-DRA	7.29233173242376
ENSG00000108298	RPL19	7.28788874255642
ENSG00000239839	DEFA3	7.26916660231084
ENSG00000211594	IGKJ4	7.26344021452079
ENSG00000216490	IFI30	7.26306885065712
ENSG00000158869	FCER1G	7.26292288999509
ENSG00000086506	HBQ1	7.26051859326855
ENSG00000177600	RPLP2	7.25971574794891
ENSG00000211899	IGHM	7.24051108719017
ENSG00000197956	S100A6	7.23703556976938
ENSG00000162511	LAPTM5	7.19353451764743
ENSG00000074800	ENO1	7.1746675534688
ENSG00000105193	RPS16	7.16936269582182
ENSG00000188404	SELL	7.16268321176865
ENSG00000171051	FPR1	7.15956090154112
