number	name	logTPM
ENSG00000210082	MT-RNR2	11.1669694437701
ENSG00000198712	MT-CO2	11.0729400137221
ENSG00000198899	MT-ATP6	10.9471144131809
ENSG00000198938	MT-CO3	10.9430361401699
ENSG00000198804	MT-CO1	10.9365717482747
ENSG00000198886	MT-ND4	10.8637177135615
ENSG00000198763	MT-ND2	10.5392161494036
ENSG00000198888	MT-ND1	10.5242272911883
ENSG00000198727	MT-CYB	10.3907431209866
ENSG00000228253	MT-ATP8	10.3074212969647
ENSG00000198840	MT-ND3	10.0583309306856
ENSG00000212907	MT-ND4L	10.0534494945904
ENSG00000211459	MT-RNR1	10.0260652994566
ENSG00000198695	MT-ND6	9.18555131653353
ENSG00000198786	MT-ND5	9.17776576076755
ENSG00000248527	MTATP6P1	8.72876094678971
ENSG00000087086	FTL	7.95146824719174
ENSG00000131095	GFAP	7.61895462673119
ENSG00000197971	MBP	7.31271215113263
ENSG00000225630	MTND2P28	7.25350017819343
ENSG00000123560	PLP1	7.16883092825129
ENSG00000075624	ACTB	7.14643955058101
ENSG00000111640	GAPDH	7.08470268792348
ENSG00000120885	CLU	7.05364066319175
ENSG00000166165	CKB	7.028567505381
ENSG00000107317	PTGDS	7.027075597429
ENSG00000034510	TMSB10	7.00578110351846
ENSG00000167996	FTH1	6.97202448607666
ENSG00000130203	APOE	6.96005409359582
ENSG00000143933	CALM2	6.93761103654821
ENSG00000154146	NRGN	6.90000849614952
ENSG00000205542	TMSB4X	6.87762558736508
ENSG00000089220	PEBP1	6.8091294498552
ENSG00000132639	SNAP25	6.80640694667274
ENSG00000142534	RPS11	6.78898879357363
ENSG00000087250	MT3	6.78111696105643
ENSG00000231500	RPS18	6.77580157600163
ENSG00000142541	RPL13A	6.73699021675725
ENSG00000112306	RPS12	6.73274953184278
ENSG00000160014	CALM3	6.6476160102871
ENSG00000162734	PEA15	6.61973678993956
ENSG00000198668	CALM1	6.58909093376048
ENSG00000152583	SPARCL1	6.58283514531992
ENSG00000160307	S100B	6.57781749623813
ENSG00000184009	ACTG1	6.53905742545439
ENSG00000163682	RPL9	6.50020429670912
ENSG00000080824	HSP90AA1	6.4876107136906
ENSG00000156508	EEF1A1	6.4857754759429
ENSG00000197746	PSAP	6.48502646145356
ENSG00000109472	CPE	6.45858244766025
ENSG00000096384	HSP90AB1	6.45098724616115
ENSG00000154277	UCHL1	6.443777268198
ENSG00000118181	RPS25	6.43887098830707
ENSG00000167658	EEF2	6.43101356150271
ENSG00000180354	MTURN	6.4276103303923
ENSG00000100316	RPL3	6.40492653912254
ENSG00000108298	RPL19	6.37793405778231
ENSG00000165795	NDRG2	6.32265912870073
ENSG00000167552	TUBA1A	6.31058239777968
ENSG00000137818	RPLP1	6.30138427421533
ENSG00000074800	ENO1	6.29262547061483
ENSG00000177954	RPS27	6.28714414982209
ENSG00000135916	ITM2C	6.27708086318765
ENSG00000160781	PAQR6	6.27041373396889
ENSG00000104904	OAZ1	6.26097588154545
ENSG00000147403	RPL10	6.25999460543752
ENSG00000111775	COX6A1	6.24599250636341
ENSG00000109107	ALDOC	6.20517489800392
ENSG00000101439	CST3	6.1977874535195
ENSG00000156976	EIF4A2	6.18732570940837
ENSG00000105193	RPS16	6.18126949299667
ENSG00000143947	RPS27A	6.18105099599885
ENSG00000168309	FAM107A	6.16219352751917
ENSG00000254772	EEF1G	6.15872611978385
ENSG00000155980	KIF5A	6.15812271153571
ENSG00000101210	EEF1A2	6.15444605175098
ENSG00000114391	RPL24	6.15368497089697
ENSG00000161016	RPL8	6.14174911925813
ENSG00000136942	RPL35	6.14162763090672
ENSG00000108953	YWHAE	6.13776331975772
ENSG00000021300	PLEKHB1	6.13258763412849
ENSG00000122406	RPL5	6.1153509836944
ENSG00000111716	LDHB	6.11173797117399
ENSG00000127585	FBXL16	6.0888765652956
ENSG00000168653	NDUFS5	6.08752385495994
ENSG00000122026	RPL21	6.08408416772294
ENSG00000149925	ALDOA	6.08276053243274
ENSG00000109971	HSPA8	6.05080229471638
ENSG00000166681	BEX3	6.04847919877019
ENSG00000265681	RPL17	6.0364005437879
ENSG00000111674	ENO2	6.03583948902272
ENSG00000137154	RPS6	6.03073299270275
ENSG00000109846	CRYAB	6.02969720518623
ENSG00000131771	PPP1R1B	6.02112579355734
ENSG00000110700	RPS13	6.01492590649637
ENSG00000174444	RPL4	6.00197928742506
ENSG00000113140	SPARC	5.99826018995236
ENSG00000133169	BEX1	5.99799582381754
ENSG00000109475	RPL34	5.99587567115432
ENSG00000167815	PRDX2	5.98640100394395
ENSG00000104964	AES	5.96838483583497
ENSG00000176340	COX8A	5.96619349033775
ENSG00000177600	RPLP2	5.96359716185505
ENSG00000067225	PKM	5.96229664075159
ENSG00000063180	CA11	5.94405938975717
ENSG00000185883	ATP6V0C	5.93965471693431
ENSG00000126432	PRDX5	5.93438220952298
ENSG00000102109	PCSK1N	5.92970961489859
ENSG00000110955	ATP5B	5.92799065475426
ENSG00000145425	RPS3A	5.9207684063471
ENSG00000244734	HBB	5.91592575803322
ENSG00000172809	RPL38	5.9133448744321
ENSG00000156298	TSPAN7	5.90762040428586
ENSG00000018625	ATP1A2	5.89801201335593
ENSG00000134590	FAM127A	5.89509123226435
ENSG00000178980	SELENOW	5.8869618439289
ENSG00000168028	RPSA	5.88398029233904
ENSG00000123349	PFDN5	5.87764525827929
ENSG00000020129	NCDN	5.87359064064739
ENSG00000104833	TUBB4A	5.87347192083578
ENSG00000105696	TMEM59L	5.87344107965679
ENSG00000142192	APP	5.86307056006823
ENSG00000105701	FKBP8	5.86304513645707
ENSG00000148303	RPL7A	5.85587196674612
ENSG00000178531	CTXN1	5.85394135816877
ENSG00000104435	STMN2	5.84841324764774
ENSG00000171863	RPS7	5.84803971513232
ENSG00000128245	YWHAH	5.84516415649497
ENSG00000099194	SCD	5.84199630453767
ENSG00000118785	SPP1	5.82625578028199
ENSG00000172270	BSG	5.82463295458188
ENSG00000123416	TUBA1B	5.82037136574093
ENSG00000179010	MRFAP1	5.81059988761744
ENSG00000074317	SNCB	5.80887937340739
ENSG00000203879	GDI1	5.80885652533757
ENSG00000236824	BCYRN1	5.80859908047109
ENSG00000092096	SLC22A17	5.80205196125039
ENSG00000135821	GLUL	5.80049283064147
ENSG00000111897	SERINC1	5.78925465135247
ENSG00000108387	SEPT4	5.78308603150072
ENSG00000105290	APLP1	5.78121183939971
ENSG00000225972	MTND1P23	5.77867646170323
ENSG00000115268	RPS15	5.77606799973018
ENSG00000101200	AVP	5.7749083389302
ENSG00000189058	APOD	5.77130144839309
ENSG00000175130	MARCKSL1	5.76934739288628
ENSG00000125356	NDUFA1	5.76921551733731
ENSG00000106153	CHCHD2	5.76465785856588
ENSG00000159335	PTMS	5.7511708681302
ENSG00000162545	CAMK2N1	5.74103851555575
ENSG00000232112	TMA7	5.73706019172604
ENSG00000173812	EIF1	5.73608491668602
ENSG00000087460	GNAS	5.72765883209465
ENSG00000140988	RPS2	5.72143028890157
ENSG00000111669	TPI1	5.71012991583022
ENSG00000166710	B2M	5.70237122526462
ENSG00000133872	SARAF	5.69713307927997
ENSG00000198258	UBL5	5.69507009570576
ENSG00000220205	VAMP2	5.69144608604162
ENSG00000091513	TF	5.68937788711378
ENSG00000168490	PHYHIP	5.68821833010138
ENSG00000122566	HNRNPA2B1	5.68486400860089
ENSG00000170315	UBB	5.68411312196941
ENSG00000213760	ATP6V1G2	5.68317014734119
ENSG00000210151	MT-TS1	5.66801030506382
ENSG00000129244	ATP1B2	5.66511729864438
ENSG00000131469	RPL27	5.65807793084624
ENSG00000183036	PCP4	5.63957505609336
ENSG00000121905	HPCA	5.639055060776
ENSG00000143153	ATP1B1	5.6306219813533
ENSG00000171867	PRNP	5.62701796133485
ENSG00000234745	HLA-B	5.62435386831003
ENSG00000063177	RPL18	5.62346712429564
ENSG00000143878	RHOB	5.62062195264548
ENSG00000173660	UQCRH	5.62050499287261
ENSG00000233927	RPS28	5.61146358597695
ENSG00000187514	PTMA	5.60608156512999
ENSG00000089009	RPL6	5.60356011217266
ENSG00000159176	CSRP1	5.60263296508013
ENSG00000135940	COX5B	5.59539724820146
ENSG00000142937	RPS8	5.58289709096687
