number	name	logTPM
ENSG00000198938	MT-CO3	10.5585566784327
ENSG00000198899	MT-ATP6	10.4554116502743
ENSG00000198886	MT-ND4	10.4095313695387
ENSG00000198712	MT-CO2	10.3429266861239
ENSG00000198763	MT-ND2	10.176421949904
ENSG00000198888	MT-ND1	10.1521400047253
ENSG00000198804	MT-CO1	10.1387612440776
ENSG00000198727	MT-CYB	10.0907992703165
ENSG00000228253	MT-ATP8	10.0026361672118
ENSG00000198840	MT-ND3	9.898639217072
ENSG00000212907	MT-ND4L	9.63176166886926
ENSG00000210082	MT-RNR2	9.25817645535569
ENSG00000087086	FTL	8.78330474158567
ENSG00000170323	FABP4	8.75485550303538
ENSG00000198695	MT-ND6	8.45014357552335
ENSG00000198786	MT-ND5	8.42857143966155
ENSG00000231500	RPS18	8.37519731799564
ENSG00000248527	MTATP6P1	8.18389163904304
ENSG00000142541	RPL13A	8.1565427243357
ENSG00000112306	RPS12	8.10597496480552
ENSG00000075624	ACTB	8.09916717168465
ENSG00000142534	RPS11	8.00528055764913
ENSG00000211445	GPX3	7.99737130401644
ENSG00000156508	EEF1A1	7.9364366594404
ENSG00000147403	RPL10	7.9271923126049
ENSG00000034510	TMSB10	7.90168430219923
ENSG00000211592	IGKC	7.8708999180056
ENSG00000265972	TXNIP	7.83171820391745
ENSG00000189058	APOD	7.80821267810748
ENSG00000111341	MGP	7.79193837806956
ENSG00000211459	MT-RNR1	7.74404779790578
ENSG00000137818	RPLP1	7.71896054858931
ENSG00000163682	RPL9	7.71856493645152
ENSG00000167996	FTH1	7.66961170376821
ENSG00000205542	TMSB4X	7.65260796790772
ENSG00000234745	HLA-B	7.63873940239819
ENSG00000177954	RPS27	7.63421091283196
ENSG00000108298	RPL19	7.62803674630187
ENSG00000118181	RPS25	7.6255139810706
ENSG00000100316	RPL3	7.60174469785239
ENSG00000177600	RPLP2	7.60062017619517
ENSG00000105193	RPS16	7.59914579818989
ENSG00000122406	RPL5	7.51455800266556
ENSG00000161016	RPL8	7.5127655539091
ENSG00000211895	IGHA1	7.50568824116262
