number	name	logTPM
ENSG00000198899	MT-ATP6	9.89293469814734
ENSG00000198886	MT-ND4	9.88126885103812
ENSG00000198938	MT-CO3	9.83597478821105
ENSG00000198712	MT-CO2	9.66094320114085
ENSG00000198804	MT-CO1	9.55026903435615
ENSG00000198727	MT-CYB	9.52666360560347
ENSG00000198763	MT-ND2	9.45553788447901
ENSG00000228253	MT-ATP8	9.36400973306635
ENSG00000198840	MT-ND3	9.20325745258341
ENSG00000212907	MT-ND4L	9.08147716426052
ENSG00000198888	MT-ND1	9.04970820642862
ENSG00000210082	MT-RNR2	8.81726659444452
ENSG00000231500	RPS18	8.57338447125505
ENSG00000142541	RPL13A	8.55395136101875
ENSG00000142534	RPS11	8.48090039845252
ENSG00000163220	S100A9	8.43975282300556
ENSG00000112306	RPS12	8.36919372966815
ENSG00000087086	FTL	8.3600837530451
ENSG00000075624	ACTB	8.35975113627207
ENSG00000147403	RPL10	8.31935823776134
ENSG00000156508	EEF1A1	8.29241672893058
ENSG00000198695	MT-ND6	8.18572274104985
ENSG00000198786	MT-ND5	8.16743860763978
ENSG00000137818	RPLP1	8.10076824337504
ENSG00000177954	RPS27	8.0946033412647
ENSG00000171401	KRT13	8.05067420910266
ENSG00000163682	RPL9	8.03022114660449
ENSG00000105193	RPS16	8.02170547888308
ENSG00000100316	RPL3	7.9753656196548
ENSG00000122406	RPL5	7.95971721805692
ENSG00000108298	RPL19	7.94385739772908
ENSG00000115461	IGFBP5	7.8819955039012
ENSG00000118181	RPS25	7.87891291267578
ENSG00000161016	RPL8	7.86954253677887
ENSG00000184009	ACTG1	7.82537144826539
ENSG00000254772	EEF1G	7.79065249749023
ENSG00000143947	RPS27A	7.73364439632899
ENSG00000145425	RPS3A	7.72621265094864
ENSG00000141753	IGFBP4	7.72580628139076
ENSG00000205542	TMSB4X	7.72510693923208
ENSG00000142089	IFITM3	7.71835561667757
ENSG00000137154	RPS6	7.67769292129119
ENSG00000100097	LGALS1	7.6476629969658
ENSG00000163209	SPRR3	7.64591971571301
ENSG00000110700	RPS13	7.64551599440236
ENSG00000089157	RPLP0	7.62762125984987
ENSG00000140988	RPS2	7.61830282339782
ENSG00000265681	RPL17	7.59478907448315
ENSG00000108821	COL1A1	7.58951417478093
ENSG00000197956	S100A6	7.57474759468374
ENSG00000114391	RPL24	7.56769667354209
ENSG00000148303	RPL7A	7.5645387145176
ENSG00000177600	RPLP2	7.55766527060549
ENSG00000149591	TAGLN	7.54922127882833
ENSG00000124107	SLPI	7.54886595327922
ENSG00000167658	EEF2	7.5198636424228
ENSG00000136942	RPL35	7.5188357757271
ENSG00000265972	TXNIP	7.51590341107303
ENSG00000234745	HLA-B	7.51015108365876
ENSG00000142937	RPS8	7.50993494252653
ENSG00000107796	ACTA2	7.50459180629686
ENSG00000034510	TMSB10	7.50311553146685
ENSG00000248527	MTATP6P1	7.50146181427957
ENSG00000198755	RPL10A	7.48727688862365
ENSG00000109475	RPL34	7.45798277415725
ENSG00000205420	KRT6A	7.45012997823709
ENSG00000143546	S100A8	7.41801195205269
ENSG00000198034	RPS4X	7.40614814646258
ENSG00000142156	COL6A1	7.40114450591019
ENSG00000122026	RPL21	7.39539200173687
ENSG00000167996	FTH1	7.39050626236919
ENSG00000168542	COL3A1	7.37316944599563
ENSG00000174444	RPL4	7.36338304318053
ENSG00000106211	HSPB1	7.36015754122758
ENSG00000211592	IGKC	7.34990752973114
ENSG00000166710	B2M	7.31630334983804
ENSG00000164692	COL1A2	7.29093172548157
ENSG00000142173	COL6A2	7.2905513404271
ENSG00000111341	MGP	7.2365549240393
ENSG00000198959	TGM2	7.22454293469957
ENSG00000211459	MT-RNR1	7.21142466085209
ENSG00000196924	FLNA	7.21112937531682
ENSG00000171863	RPS7	7.21097004032644
ENSG00000063177	RPL18	7.20817561179566
ENSG00000107317	PTGDS	7.19890645944335
ENSG00000142676	RPL11	7.19366604750886
ENSG00000197746	PSAP	7.18512382381134
ENSG00000026025	VIM	7.18400647850811
ENSG00000162244	RPL29	7.12109089011315
ENSG00000131469	RPL27	7.11079064134748
ENSG00000096384	HSP90AB1	7.10910947368105
ENSG00000152583	SPARCL1	7.10789952092065
ENSG00000143878	RHOB	7.10256000019955
ENSG00000124614	RPS10	7.09256059163778
ENSG00000168028	RPSA	7.08630217768305
ENSG00000101335	MYL9	7.08424848119197
ENSG00000204525	HLA-C	7.07509232040684
ENSG00000147604	RPL7	7.05760801491915
ENSG00000133112	TPT1	7.04223556424587
ENSG00000159403	C1R	7.03537515489925
ENSG00000175084	DES	7.01659382438682
ENSG00000089009	RPL6	6.99964334298832
ENSG00000172809	RPL38	6.99821159346453
ENSG00000206503	HLA-A	6.99715809336685
ENSG00000167526	RPL13	6.96234812480784
ENSG00000077942	FBLN1	6.93176473241877
ENSG00000211445	GPX3	6.93072111369313
ENSG00000189058	APOD	6.92793967132246
ENSG00000105373	GLTSCR2	6.91033615717531
ENSG00000161970	RPL26	6.90656509831382
ENSG00000164587	RPS14	6.89883667987857
ENSG00000123349	PFDN5	6.89881012798691
ENSG00000187514	PTMA	6.87649814167884
ENSG00000115268	RPS15	6.87050693625631
ENSG00000163191	S100A11	6.86412232090083
ENSG00000083845	RPS5	6.86317623662976
ENSG00000197958	RPL12	6.86129240561936
ENSG00000133392	MYH11	6.85948621690753
ENSG00000008988	RPS20	6.8574144405043
ENSG00000163453	IGFBP7	6.85382693801199
ENSG00000169469	SPRR1B	6.83839239087079
ENSG00000145741	BTF3	6.83516194972811
ENSG00000182774	RPS17	6.81674741099486
ENSG00000144713	RPL32	6.81581887637008
ENSG00000113140	SPARC	6.81577271551107
ENSG00000130255	RPL36	6.80796983806058
ENSG00000233927	RPS28	6.79356053566461
ENSG00000229117	RPL41	6.79263383086104
ENSG00000111640	GAPDH	6.78764321858752
ENSG00000148180	GSN	6.78576604235615
ENSG00000100234	TIMP3	6.77983338794447
ENSG00000167779	IGFBP6	6.77435260102089
ENSG00000169474	SPRR1A	6.77344212636664
ENSG00000182899	RPL35A	6.77253825709906
ENSG00000149131	SERPING1	6.74132157718622
ENSG00000204592	HLA-E	6.73320763857292
ENSG00000132475	H3F3B	6.72928314694198
ENSG00000171858	RPS21	6.72058197266299
ENSG00000035862	TIMP2	6.71916569925872
ENSG00000138326	RPS24	6.71811012912237
ENSG00000087245	MMP2	6.71287881832648
ENSG00000084207	GSTP1	6.71185564126436
ENSG00000110651	CD81	6.71156750387881
ENSG00000114942	EEF1B2	6.69346061962996
ENSG00000197766	CFD	6.69184863709954
ENSG00000204628	RACK1	6.68974327681146
ENSG00000159176	CSRP1	6.67846789416514
ENSG00000149806	FAU	6.66975186602962
ENSG00000019582	CD74	6.66593176070143
ENSG00000132386	SERPINF1	6.65525270280968
ENSG00000149273	RPS3	6.644269334335
ENSG00000182492	BGN	6.64149131660417
ENSG00000143387	CTSK	6.63604048821365
ENSG00000198467	TPM2	6.63299636057566
ENSG00000181163	NPM1	6.61680471426292
ENSG00000158747	NBL1	6.61397041311809
ENSG00000106624	AEBP1	6.61360390593846
ENSG00000122566	HNRNPA2B1	6.6000208652077
ENSG00000211596	IGKJ2	6.59928314587386
ENSG00000068697	LAPTM4A	6.59330405482596
ENSG00000143536	CRNN	6.57791470297849
ENSG00000106483	SFRP4	6.57091613435315
ENSG00000165502	RPL36AL	6.55399338265891
ENSG00000092841	MYL6	6.54833220291133
ENSG00000105640	RPL18A	6.54381339459976
ENSG00000125691	RPL23	6.54255538027921
ENSG00000166794	PPIB	6.53433948334745
ENSG00000140519	RHCG	6.52547676955802
ENSG00000104904	OAZ1	6.52469776290517
ENSG00000241343	RPL36A	6.50467417049257
ENSG00000156976	EIF4A2	6.50391779444422
ENSG00000185201	IFITM2	6.50291629210863
ENSG00000159335	PTMS	6.49990575296028
ENSG00000120129	DUSP1	6.49881308166806
ENSG00000185650	ZFP36L1	6.48492446813054
ENSG00000135486	HNRNPA1	6.48127886758475
ENSG00000174748	RPL15	6.47136151129852
ENSG00000128016	ZFP36	6.46885856475476
ENSG00000169714	CNBP	6.45272944831777
ENSG00000186081	KRT5	6.45215144121583
ENSG00000156482	RPL30	6.44684700500928
ENSG00000100201	DDX17	6.44160946355221
ENSG00000170477	KRT4	6.43500742539477
ENSG00000183087	GAS6	6.43470702115505
ENSG00000105372	RPS19	6.43338846225224
ENSG00000166482	MFAP4	6.43016165691899
ENSG00000135404	CD63	6.42466427881449
ENSG00000104852	SNRNP70	6.41953193901953
ENSG00000170889	RPS9	6.41875122853464
ENSG00000004776	HSPB6	6.41791407609318
ENSG00000185885	IFITM1	6.41594077731825
ENSG00000164111	ANXA5	6.41202566293351
ENSG00000117984	CTSD	6.40326916875868
ENSG00000211597	IGKJ1	6.39523137351318
ENSG00000143933	CALM2	6.38083593259555
ENSG00000173812	EIF1	6.36396233298317
ENSG00000198242	RPL23A	6.35974686581824
ENSG00000169100	SLC25A6	6.3502149690803
ENSG00000070756	PABPC1	6.34778548277476
ENSG00000182326	C1S	6.33300474872596
ENSG00000167978	SRRM2	6.32975843357355
ENSG00000251562	MALAT1	6.32838781160609
ENSG00000090006	LTBP4	6.3164262438253
ENSG00000149451	ADAM33	6.31530184871328
ENSG00000177469	PTRF	6.31400560929465
ENSG00000074800	ENO1	6.29341928069491
ENSG00000065978	YBX1	6.28783899618642
ENSG00000179218	CALR	6.27567349183997
ENSG00000067560	RHOA	6.2544966066681
ENSG00000133142	TCEAL4	6.24901766332151
ENSG00000166598	HSP90B1	6.2293618839895
ENSG00000164733	CTSB	6.22356784177582
ENSG00000125534	PPDPF	6.20081872567826
ENSG00000197756	RPL37A	6.2002529246021
ENSG00000120885	CLU	6.19048256390476
ENSG00000172270	BSG	6.19047717221175
ENSG00000198832	SELENOM	6.18672289698921
ENSG00000125148	MT2A	6.18533104801855
ENSG00000166033	HTRA1	6.18513809429798
ENSG00000160213	CSTB	6.18305659834697
ENSG00000105427	CNFN	6.1828007247292
ENSG00000102265	TIMP1	6.18244369608478
ENSG00000132329	RAMP1	6.17698165267112
ENSG00000175899	A2M	6.17553457651575
ENSG00000106538	RARRES2	6.16633627567484
ENSG00000072778	ACADVL	6.16059643327531
ENSG00000108654	DDX5	6.16047421037418
ENSG00000163017	ACTG2	6.14464295206075
ENSG00000150991	UBC	6.14048555341735
ENSG00000149925	ALDOA	6.13998663628501
ENSG00000167615	LENG8	6.1366693184573
ENSG00000197728	RPS26	6.13328387036435
ENSG00000104964	AES	6.1281324652455
ENSG00000071082	RPL31	6.12514395728066
ENSG00000128272	ATF4	6.12483309971492
ENSG00000243678	NME2	6.12261976579028
ENSG00000170296	GABARAP	6.1173665833057
ENSG00000186395	KRT10	6.10432319938688
ENSG00000130176	CNN1	6.10221731643896
ENSG00000108518	PFN1	6.10205216933376
ENSG00000089220	PEBP1	6.09014225842228
ENSG00000080824	HSP90AA1	6.087133516487
ENSG00000100345	MYH9	6.08213479472635
ENSG00000244734	HBB	6.06125496245472
ENSG00000139329	LUM	6.06015070723048
ENSG00000196154	S100A4	6.05828664545156
ENSG00000011465	DCN	6.05425771611117
ENSG00000159840	ZYX	6.05003132781982
ENSG00000168209	DDIT4	6.04979427997097
ENSG00000131981	LGALS3	6.04887658611422
ENSG00000126432	PRDX5	6.04687435937262
ENSG00000123562	MORF4L2	6.04217017122618
ENSG00000129009	ISLR	6.0412053894402
ENSG00000106153	CHCHD2	6.04094369930924
ENSG00000186468	RPS23	6.04034242910929
ENSG00000109610	SOD3	6.03840714329361
ENSG00000110955	ATP5B	6.03765735849372
ENSG00000167768	KRT1	6.03559746067109
ENSG00000187479	C11orf96	6.02868680960229
ENSG00000125868	DSTN	6.02265717221175
ENSG00000234741	GAS5	6.01911811436106
ENSG00000118816	CCNI	6.01831145102438
ENSG00000146674	IGFBP3	6.01623161379436
ENSG00000241794	SPRR2A	6.01520470613005
ENSG00000182196	ARL6IP4	6.01335477957208
ENSG00000167460	TPM4	6.01229863645928
ENSG00000152661	GJA1	6.00936909180581
ENSG00000168653	NDUFS5	6.0088131878996
ENSG00000196683	TOMM7	6.00797228096638
ENSG00000118680	MYL12B	6.00688452203347
ENSG00000159377	PSMB4	6.00536745474246
ENSG00000213977	TAX1BP3	5.99543035957842
ENSG00000100650	SRSF5	5.99469616440869
ENSG00000134590	FAM127A	5.97937865060821
ENSG00000178035	IMPDH2	5.97607034883846
ENSG00000189060	H1F0	5.9708455365801
ENSG00000237550	RPL9P9	5.97049489955322
ENSG00000157227	MMP14	5.96543123611394
ENSG00000211594	IGKJ4	5.95713309618768
ENSG00000116251	RPL22	5.95594644709896
ENSG00000179010	MRFAP1	5.95045065081501
ENSG00000063046	EIF4B	5.95013529936775
ENSG00000225630	MTND2P28	5.94830306084551
ENSG00000124942	AHNAK	5.94040668469944
ENSG00000109099	PMP22	5.93814982305731
ENSG00000161960	EIF4A1	5.93561796858122
ENSG00000176340	COX8A	5.93461568552207
ENSG00000105404	RABAC1	5.93301273017037
ENSG00000165119	HNRNPK	5.9300789476883
ENSG00000221983	UBA52	5.92549342400537
ENSG00000143196	DPT	5.92533107316528
ENSG00000240342	RPS2P5	5.91955789789564
ENSG00000122786	CALD1	5.91874245897078
ENSG00000211593	IGKJ5	5.91808792957477
ENSG00000162407	PLPP3	5.91127292754718
ENSG00000177606	JUN	5.91011177385517
ENSG00000130522	JUND	5.90969776906791
ENSG00000107223	EDF1	5.90473064630727
ENSG00000171345	KRT19	5.89714085699687
ENSG00000169509	CRCT1	5.8908236250184
ENSG00000196230	TUBB	5.88995625400467
ENSG00000163431	LMOD1	5.88628091916717
ENSG00000165795	NDRG2	5.88544007116502
ENSG00000111676	ATN1	5.88446526528327
ENSG00000171223	JUNB	5.88235725774766
ENSG00000130811	EIF3G	5.88198738532111
ENSG00000197256	KANK2	5.87369697467086
ENSG00000113721	PDGFRB	5.8702940398341
ENSG00000143761	ARF1	5.86888053431028
ENSG00000221978	CCNL2	5.8656476845873
ENSG00000166441	RPL27A	5.86542382904844
ENSG00000184205	TSPYL2	5.86067076006008
ENSG00000198258	UBL5	5.85815869581402
ENSG00000204287	HLA-DRA	5.85779931379787
ENSG00000117450	PRDX1	5.84853575632731
ENSG00000240583	AQP1	5.84622579512325
ENSG00000188508	KRTDAP	5.84378753301403
ENSG00000158710	TAGLN2	5.84142164976486
ENSG00000111716	LDHB	5.84028970116623
ENSG00000111077	TNS2	5.83869668559312
ENSG00000185624	P4HB	5.83630239391835
ENSG00000109971	HSPA8	5.83579517370623
ENSG00000204387	C6orf48	5.83527231396066
ENSG00000211895	IGHA1	5.83511586425234
ENSG00000167815	PRDX2	5.83320896537576
ENSG00000121552	CSTA	5.8331580515698
ENSG00000123144	C19orf43	5.83300856302943
ENSG00000163479	SSR2	5.8266519704809
ENSG00000126458	RRAS	5.81571607999201
ENSG00000099622	CIRBP	5.81333210145972
ENSG00000182871	COL18A1	5.81094084987976
ENSG00000110321	EIF4G2	5.80399291229386
ENSG00000254999	BRK1	5.80097286645537
ENSG00000182718	ANXA2	5.79896505764416
ENSG00000152518	ZFP36L2	5.79890125161466
ENSG00000101443	WFDC2	5.79612909984371
ENSG00000175061	LRRC75A-AS1	5.79570574817023
ENSG00000085063	CD59	5.79237155683819
ENSG00000164687	FABP5	5.79062999624858
ENSG00000105701	FKBP8	5.78830098400531
ENSG00000106333	PCOLCE	5.78174204552309
ENSG00000135046	ANXA1	5.78076301186609
ENSG00000211595	IGKJ3	5.78041516738247
ENSG00000166165	CKB	5.78015530173024
ENSG00000067225	PKM	5.78010978985177
ENSG00000104408	EIF3E	5.77893877240027
ENSG00000130066	SAT1	5.77890622455504
ENSG00000140319	SRP14	5.77784784248132
ENSG00000100129	EIF3L	5.77763603157944
ENSG00000187193	MT1X	5.77262258904948
ENSG00000214736	TOMM6	5.76519110591964
ENSG00000108679	LGALS3BP	5.76042808962012
ENSG00000161203	AP2M1	5.75827066309684
ENSG00000189334	S100A14	5.75628434159231
ENSG00000266964	FXYD1	5.7546540166187
ENSG00000245532	NEAT1	5.75464234496244
ENSG00000129562	DAD1	5.75390842446211
ENSG00000232112	TMA7	5.75138563871323
ENSG00000198563	DDX39B	5.75051538946856
ENSG00000110492	MDK	5.75017210219763
ENSG00000178719	GRINA	5.74495809405433
ENSG00000211896	IGHG1	5.74446753668584
ENSG00000160014	CALM3	5.74156828889498
ENSG00000130203	APOE	5.72131214216635
ENSG00000134419	RPS15A	5.71751235177667
ENSG00000118523	CTGF	5.70295757645103
ENSG00000169564	PCBP1	5.7001795038504
ENSG00000108107	RPL28	5.69945734862852
ENSG00000184897	H1FX	5.69735837882914
ENSG00000204435	CSNK2B	5.69702284095108
ENSG00000137409	MTCH1	5.6938561819685
ENSG00000130402	ACTN4	5.69359036355725
ENSG00000100243	CYB5R3	5.69076833569223
ENSG00000140545	MFGE8	5.68641320353549
ENSG00000163359	COL6A3	5.68608290094966
ENSG00000100380	ST13	5.68284910645025
ENSG00000215021	PHB2	5.68270219280167
ENSG00000022267	FHL1	5.6826394791836
ENSG00000157514	TSC22D3	5.67573851035755
ENSG00000136235	GPNMB	5.67572407599516
ENSG00000197747	S100A10	5.67407719143597
ENSG00000162576	MXRA8	5.67158002659897
ENSG00000111775	COX6A1	5.66969942175518
ENSG00000115307	AUP1	5.66385555074918
