number	name	logTPM
ENSG00000198712	MT-CO2	10.7260136900829
ENSG00000198938	MT-CO3	10.6235394312
ENSG00000198886	MT-ND4	10.5538747525913
ENSG00000198899	MT-ATP6	10.5379088451178
ENSG00000198804	MT-CO1	10.4551755228997
ENSG00000198727	MT-CYB	10.1104937379598
ENSG00000198763	MT-ND2	10.0837645517102
ENSG00000228253	MT-ATP8	10.0307406078572
ENSG00000198888	MT-ND1	9.94508497526539
ENSG00000198840	MT-ND3	9.85817035261682
ENSG00000210082	MT-RNR2	9.77136151712266
ENSG00000212907	MT-ND4L	9.74770499319534
ENSG00000175084	DES	9.20231749264679
ENSG00000075624	ACTB	8.95797523431067
ENSG00000211592	IGKC	8.90611724633461
ENSG00000198695	MT-ND6	8.81509525563168
ENSG00000198786	MT-ND5	8.70540355838936
ENSG00000133392	MYH11	8.45158689994346
ENSG00000163017	ACTG2	8.45072962919531
ENSG00000101335	MYL9	8.3919180953107
ENSG00000211895	IGHA1	8.35745370396554
ENSG00000248527	MTATP6P1	8.27538403931513
ENSG00000211890	IGHA2	8.21836905939476
ENSG00000087086	FTL	8.15546460467414
ENSG00000149591	TAGLN	8.09569567481374
ENSG00000211459	MT-RNR1	8.07320007016098
ENSG00000211597	IGKJ1	8.06515155195439
ENSG00000211596	IGKJ2	7.92051960669955
ENSG00000196924	FLNA	7.90811550757077
ENSG00000142541	RPL13A	7.88890877376344
ENSG00000231500	RPS18	7.87968035741262
ENSG00000156508	EEF1A1	7.79172548524144
ENSG00000211594	IGKJ4	7.76479699150021
ENSG00000142534	RPS11	7.73295377837422
ENSG00000112306	RPS12	7.73072940654217
ENSG00000159176	CSRP1	7.6928880156129
ENSG00000198467	TPM2	7.62111884299421
ENSG00000137818	RPLP1	7.5895130062205
ENSG00000147403	RPL10	7.58107162825034
ENSG00000105193	RPS16	7.47288928191224
ENSG00000130176	CNN1	7.45637043112535
ENSG00000197956	S100A6	7.44135969098982
ENSG00000034510	TMSB10	7.43142317072936
ENSG00000163682	RPL9	7.36575567474579
ENSG00000108298	RPL19	7.36541319612574
ENSG00000122406	RPL5	7.35932585835317
ENSG00000100316	RPL3	7.34146055817265
ENSG00000177954	RPS27	7.32128550918416
ENSG00000161016	RPL8	7.30513947234814
ENSG00000265972	TXNIP	7.30486137203826
ENSG00000118181	RPS25	7.30253751224286
ENSG00000167996	FTH1	7.29115327291238
ENSG00000184009	ACTG1	7.28213678219388
ENSG00000167658	EEF2	7.2799655217387
ENSG00000142156	COL6A1	7.26388711981277
ENSG00000107796	ACTA2	7.23273767249577
ENSG00000106211	HSPB1	7.22833765275071
