number	name	logTPM
ENSG00000198712	MT-CO2	10.4947894083306
ENSG00000198886	MT-ND4	10.4399036825972
ENSG00000198938	MT-CO3	10.4290085030632
ENSG00000198899	MT-ATP6	10.3314599519222
ENSG00000198804	MT-CO1	10.2286314309475
ENSG00000198727	MT-CYB	10.0204792255958
ENSG00000198763	MT-ND2	9.86944403880167
ENSG00000228253	MT-ATP8	9.82339404777886
ENSG00000210082	MT-RNR2	9.69390197790663
ENSG00000198888	MT-ND1	9.68400179301938
ENSG00000212907	MT-ND4L	9.64076331089288
ENSG00000198840	MT-ND3	9.62256266805183
ENSG00000163220	S100A9	9.44835958741634
ENSG00000171401	KRT13	9.43943867839928
ENSG00000175084	DES	9.0441128245221
ENSG00000170477	KRT4	9.04160733990756
ENSG00000198695	MT-ND6	8.93296293867381
ENSG00000075624	ACTB	8.8456702895873
ENSG00000198786	MT-ND5	8.79582149549393
ENSG00000163209	SPRR3	8.59068206830107
ENSG00000143546	S100A8	8.55020033406524
ENSG00000133392	MYH11	8.47575699064053
ENSG00000101335	MYL9	8.28297904005415
ENSG00000205420	KRT6A	8.15007970291247
ENSG00000087086	FTL	8.12453493573545
ENSG00000211459	MT-RNR1	8.10314792582144
ENSG00000248527	MTATP6P1	8.05605810989037
ENSG00000231500	RPS18	8.02112167219082
ENSG00000143536	CRNN	8.01076325557666
ENSG00000186081	KRT5	8.00861888544269
ENSG00000163017	ACTG2	7.93123074985576
ENSG00000142541	RPL13A	7.931217097182
ENSG00000149591	TAGLN	7.93012691286988
ENSG00000106211	HSPB1	7.90450386614429
ENSG00000112306	RPS12	7.84787663710722
ENSG00000198467	TPM2	7.8179724181171
ENSG00000196924	FLNA	7.80008158462574
ENSG00000156508	EEF1A1	7.76723302769651
ENSG00000107796	ACTA2	7.69372339825158
ENSG00000160213	CSTB	7.67775542789155
ENSG00000140519	RHCG	7.66597159498981
ENSG00000142534	RPS11	7.62793251926692
ENSG00000137818	RPLP1	7.62640197122794
ENSG00000163191	S100A11	7.56885399050814
ENSG00000147403	RPL10	7.56735465800093
ENSG00000184009	ACTG1	7.51099357701779
ENSG00000105193	RPS16	7.4521684389241
ENSG00000169474	SPRR1A	7.44631686158273
ENSG00000100316	RPL3	7.40308546678325
ENSG00000089157	RPLP0	7.40063731873637
ENSG00000034510	TMSB10	7.39053012279514
ENSG00000159176	CSRP1	7.36372315496387
ENSG00000108298	RPL19	7.35803477848818
ENSG00000161016	RPL8	7.35546239500742
ENSG00000265972	TXNIP	7.34259589639896
ENSG00000189334	S100A14	7.33944351408649
ENSG00000163682	RPL9	7.32021167023065
ENSG00000111640	GAPDH	7.30527983295673
ENSG00000167658	EEF2	7.30422121594864
ENSG00000122406	RPL5	7.2993930492922
ENSG00000167996	FTH1	7.29924428268647
ENSG00000135046	ANXA1	7.29706590260747
ENSG00000121552	CSTA	7.28565743769127
ENSG00000254772	EEF1G	7.25862261699046
ENSG00000118181	RPS25	7.2575453592524
ENSG00000140988	RPS2	7.23282743811193
ENSG00000177954	RPS27	7.23001162387402
ENSG00000241794	SPRR2A	7.22865309356077
ENSG00000175793	SFN	7.19131727272273
ENSG00000205542	TMSB4X	7.14994682131209
ENSG00000197956	S100A6	7.14268810863744
ENSG00000137154	RPS6	7.13081605950485
ENSG00000136942	RPL35	7.11504853364562
ENSG00000148303	RPL7A	7.11135111720514
ENSG00000142089	IFITM3	7.10054738225063
ENSG00000084207	GSTP1	7.08392142569319
ENSG00000130176	CNN1	7.07338193592692
ENSG00000265681	RPL17	7.07042978546248
ENSG00000143947	RPS27A	7.0434286587952
ENSG00000177600	RPLP2	7.04057371942971
ENSG00000110700	RPS13	7.01982229467329
ENSG00000169469	SPRR1B	7.01693341079604
ENSG00000172005	MAL	7.00879637868817
ENSG00000105427	CNFN	6.97447282961561
ENSG00000142156	COL6A1	6.96739132125516
ENSG00000211445	GPX3	6.94999989665611
ENSG00000145425	RPS3A	6.92017308382241
ENSG00000125780	TGM3	6.91348999532974
ENSG00000148180	GSN	6.90207238085476
ENSG00000174444	RPL4	6.87060560003499
ENSG00000198755	RPL10A	6.86165409247531
ENSG00000074800	ENO1	6.85407057998322
ENSG00000171863	RPS7	6.85287515636497
ENSG00000125868	DSTN	6.85072266980773
ENSG00000142173	COL6A2	6.84750510282056
ENSG00000166165	CKB	6.84658742982459
ENSG00000092841	MYL6	6.83853529429591
ENSG00000152583	SPARCL1	6.80602885285666
ENSG00000168028	RPSA	6.79275242460567
ENSG00000142937	RPS8	6.79213112346378
ENSG00000122026	RPL21	6.78875046897658
ENSG00000114391	RPL24	6.78420064673579
ENSG00000167656	LY6D	6.77932368090999
ENSG00000234745	HLA-B	6.77506110490356
ENSG00000188643	S100A16	6.77258737762279
ENSG00000124102	PI3	6.75801806366737
ENSG00000143878	RHOB	6.73260784742465
ENSG00000166710	B2M	6.72628991038766
ENSG00000131469	RPL27	6.69750233532392
ENSG00000122786	CALD1	6.68150445825574
ENSG00000109475	RPL34	6.67661783853278
ENSG00000063177	RPL18	6.66825410198505
ENSG00000169509	CRCT1	6.66281939750018
ENSG00000149925	ALDOA	6.65171286616673
ENSG00000128016	ZFP36	6.63564158538061
ENSG00000225630	MTND2P28	6.62199594506789
ENSG00000140416	TPM1	6.62114680067469
ENSG00000124614	RPS10	6.59351596061076
ENSG00000100097	LGALS1	6.58743648063165
ENSG00000162244	RPL29	6.57676879989083
ENSG00000163431	LMOD1	6.57417997963859
ENSG00000089009	RPL6	6.56268755069867
ENSG00000133112	TPT1	6.56060566155695
ENSG00000141753	IGFBP4	6.55394306638215
ENSG00000198034	RPS4X	6.54532162176471
ENSG00000186847	KRT14	6.53281648448163
ENSG00000120129	DUSP1	6.52889914821934
ENSG00000142676	RPL11	6.5256867813308
ENSG00000136689	IL1RN	6.51575079729249
ENSG00000211592	IGKC	6.50719060849862
ENSG00000182253	SYNM	6.48907117793652
ENSG00000124107	SLPI	6.47971970334609
ENSG00000145741	BTF3	6.47607006767653
ENSG00000096384	HSP90AB1	6.45672098490549
ENSG00000147604	RPL7	6.45384010960754
ENSG00000115268	RPS15	6.44609301435768
ENSG00000143933	CALM2	6.44159279065152
ENSG00000164687	FABP5	6.4237847884176
ENSG00000229117	RPL41	6.41842962385897
ENSG00000172809	RPL38	6.41539570595581
ENSG00000165272	AQP3	6.40898303074541
ENSG00000167526	RPL13	6.40436732662695
ENSG00000182774	RPS17	6.3989362927574
ENSG00000233927	RPS28	6.39120928983685
ENSG00000108518	PFN1	6.39105302302426
ENSG00000183963	SMTN	6.38879401196453
ENSG00000083845	RPS5	6.38436185386091
ENSG00000111341	MGP	6.38158994889761
ENSG00000104904	OAZ1	6.38010470956943
ENSG00000164587	RPS14	6.37592654462227
ENSG00000110955	ATP5B	6.36406360283628
ENSG00000065978	YBX1	6.36163601397969
ENSG00000124466	LYPD3	6.35770919647437
ENSG00000196754	S100A2	6.35678767578678
ENSG00000022267	FHL1	6.35458725739669
ENSG00000169100	SLC25A6	6.35127647044202
ENSG00000197746	PSAP	6.34872101917818
ENSG00000189058	APOD	6.33541649102386
ENSG00000184292	TACSTD2	6.32569275919352
ENSG00000114942	EEF1B2	6.32438265205246
ENSG00000197747	S100A10	6.32414659153566
ENSG00000159335	PTMS	6.32219989634356
ENSG00000240583	AQP1	6.30657499507451
ENSG00000134531	EMP1	6.30496018704271
ENSG00000187514	PTMA	6.30002362554578
ENSG00000125534	PPDPF	6.29791612310298
ENSG00000161970	RPL26	6.29422126667455
ENSG00000159403	C1R	6.29339681787495
ENSG00000176340	COX8A	6.2894003167805
ENSG00000115414	FN1	6.28178572244242
ENSG00000070756	PABPC1	6.28059221101187
ENSG00000143320	CRABP2	6.27929021021683
ENSG00000197958	RPL12	6.27080330531808
ENSG00000204525	HLA-C	6.26827637842574
ENSG00000203785	SPRR2E	6.26588449189149
ENSG00000206503	HLA-A	6.26351662954545
ENSG00000177469	PTRF	6.26239719018473
ENSG00000112378	PERP	6.26172787693436
ENSG00000128272	ATF4	6.24883526452634
ENSG00000130255	RPL36	6.24816949729999
ENSG00000204592	HLA-E	6.24675501089898
ENSG00000136810	TXN	6.24520732600211
ENSG00000117450	PRDX1	6.22280527662062
ENSG00000197766	CFD	6.21022801666385
ENSG00000133710	SPINK5	6.20694757449734
ENSG00000008988	RPS20	6.19949530573851
ENSG00000168653	NDUFS5	6.18434193254704
ENSG00000143369	ECM1	6.18285393583283
ENSG00000144713	RPL32	6.1635442462156
ENSG00000067560	RHOA	6.15710844387165
ENSG00000067225	PKM	6.15348948909195
ENSG00000123349	PFDN5	6.15088456441141
ENSG00000109971	HSPA8	6.14601854862274
ENSG00000171223	JUNB	6.14045610083623
ENSG00000171858	RPS21	6.12830089839803
ENSG00000138326	RPS24	6.10959416083074
ENSG00000187193	MT1X	6.1080260672294
ENSG00000163453	IGFBP7	6.09797636740813
ENSG00000118898	PPL	6.09599248053962
ENSG00000173812	EIF1	6.09594628800289
ENSG00000149806	FAU	6.0864113413692
ENSG00000244734	HBB	6.08587369456319
ENSG00000108654	DDX5	6.08352347601555
ENSG00000171345	KRT19	6.07977553789785
ENSG00000100234	TIMP3	6.07700754059488
ENSG00000109610	SOD3	6.06987961432942
ENSG00000165474	GJB2	6.06583055361318
ENSG00000105640	RPL18A	6.06418957118859
ENSG00000105373	GLTSCR2	6.06174950393479
ENSG00000169714	CNBP	6.05445331931046
ENSG00000182899	RPL35A	6.04652386632578
ENSG00000150991	UBC	6.04163466403486
ENSG00000204628	RACK1	6.04100579089472
ENSG00000110651	CD81	6.04044892778443
ENSG00000149131	SERPING1	6.04012366206636
ENSG00000173801	JUP	6.03796942188785
ENSG00000186832	KRT16	6.03374079703416
ENSG00000105372	RPS19	6.0332471897245
ENSG00000156976	EIF4A2	6.02561102506734
ENSG00000166482	MFAP4	6.01966996550882
ENSG00000026025	VIM	6.01933753275517
ENSG00000149273	RPS3	6.01595881349516
ENSG00000072778	ACADVL	6.01523625549408
ENSG00000175899	A2M	6.00292425840916
ENSG00000019582	CD74	6.001547301693
ENSG00000272398	CD24	6.00092482118877
ENSG00000122566	HNRNPA2B1	5.9970532806655
ENSG00000124942	AHNAK	5.98909633237491
ENSG00000182718	ANXA2	5.98185655066113
ENSG00000132475	H3F3B	5.97984857302343
ENSG00000104964	AES	5.97391561617339
ENSG00000283992	LYNX1	5.97067457156449
ENSG00000118523	CTGF	5.96660507687987
ENSG00000188229	TUBB4B	5.96650710616843
ENSG00000080824	HSP90AA1	5.9555540610452
ENSG00000072110	ACTN1	5.95540197240919
ENSG00000126233	SLURP1	5.95333979448054
ENSG00000115461	IGFBP5	5.95130293037591
ENSG00000185479	KRT6B	5.94606530613224
ENSG00000152137	HSPB8	5.94585458287844
ENSG00000089220	PEBP1	5.94352965984837
ENSG00000204544	MUC21	5.93727450867603
ENSG00000165502	RPL36AL	5.9359950366166
ENSG00000171346	KRT15	5.93382612140725
ENSG00000135404	CD63	5.93133260068099
ENSG00000243678	NME2	5.9301628605559
ENSG00000111669	TPI1	5.93015995417277
ENSG00000143556	S100A7	5.92789694360763
ENSG00000125691	RPL23	5.91660564365217
ENSG00000111775	COX6A1	5.9135288192862
ENSG00000163216	SPRR2D	5.91280977375982
ENSG00000198832	SELENOM	5.90772279818903
ENSG00000116741	RGS2	5.90601647368463
ENSG00000189001	SBSN	5.90599748909468
ENSG00000179218	CALR	5.90458612405719
ENSG00000005022	SLC25A5	5.90386410979573
ENSG00000211895	IGHA1	5.90035382282154
ENSG00000113140	SPARC	5.89695089530154
ENSG00000117984	CTSD	5.89682030397794
ENSG00000069011	PITX1	5.89352400452841
ENSG00000170889	RPS9	5.89190818784915
ENSG00000167815	PRDX2	5.88560402458559
ENSG00000129116	PALLD	5.88291951497738
ENSG00000241343	RPL36A	5.88165404775932
ENSG00000135821	GLUL	5.88050706629713
ENSG00000100201	DDX17	5.86099082096515
ENSG00000136830	FAM129B	5.85547096898426
ENSG00000085063	CD59	5.85200791653177
ENSG00000134590	FAM127A	5.8497728142334
ENSG00000126432	PRDX5	5.83982135530789
ENSG00000106153	CHCHD2	5.83927229148594
ENSG00000161960	EIF4A1	5.83770470499838
ENSG00000079308	TNS1	5.8322898189299
ENSG00000181163	NPM1	5.83196984410488
ENSG00000118680	MYL12B	5.82847215208288
ENSG00000110321	EIF4G2	5.8151202839597
ENSG00000174748	RPL15	5.80977732495323
ENSG00000185624	P4HB	5.80057929437058
ENSG00000158710	TAGLN2	5.78965279256077
ENSG00000120885	CLU	5.78792856973124
ENSG00000172403	SYNPO2	5.78012175272484
ENSG00000068697	LAPTM4A	5.77761285989029
ENSG00000167779	IGFBP6	5.76514670797572
ENSG00000102007	PLP2	5.7644508031123
ENSG00000101439	CST3	5.76293380642427
ENSG00000134333	LDHA	5.76002827490343
ENSG00000125148	MT2A	5.75635748448751
ENSG00000198668	CALM1	5.75368906146409
ENSG00000117592	PRDX6	5.74817652649907
ENSG00000126458	RRAS	5.74723548296275
ENSG00000009307	CSDE1	5.74706044914284
ENSG00000004799	PDK4	5.74360099206513
ENSG00000170465	KRT6C	5.74271014548675
ENSG00000172270	BSG	5.74189588845017
ENSG00000137076	TLN1	5.73593041598435
ENSG00000156482	RPL30	5.73447404107578
ENSG00000196923	PDLIM7	5.7331447658269
ENSG00000159840	ZYX	5.73181486968915
ENSG00000198258	UBL5	5.73040307011224
ENSG00000182326	C1S	5.73029293927163
ENSG00000197728	RPS26	5.72909004189342
ENSG00000125356	NDUFA1	5.72853232013205
ENSG00000100300	TSPO	5.72795226557931
ENSG00000178980	SELENOW	5.72751382744362
ENSG00000197756	RPL37A	5.72594751143774
ENSG00000251562	MALAT1	5.72514098762785
ENSG00000131981	LGALS3	5.72153231783557
ENSG00000010278	CD9	5.72011444916981
ENSG00000167552	TUBA1A	5.71929200318766
ENSG00000159377	PSMB4	5.71584308873157
ENSG00000111716	LDHB	5.70349881607828
ENSG00000130402	ACTN4	5.69438119226276
ENSG00000164111	ANXA5	5.6884335652771
ENSG00000167978	SRRM2	5.68762969958551
ENSG00000135486	HNRNPA1	5.68238012482714
ENSG00000183087	GAS6	5.67950186306671
ENSG00000104419	NDRG1	5.6781937553329
ENSG00000182196	ARL6IP4	5.66957172698009
ENSG00000134107	BHLHE40	5.66918394334912
ENSG00000170423	KRT78	5.66878689047238
ENSG00000142657	PGD	5.66382240059086
ENSG00000166794	PPIB	5.66301589345306
ENSG00000196262	PPIA	5.66279164005906
ENSG00000167863	ATP5H	5.6602013221142
ENSG00000021355	SERPINB1	5.65425262768612
ENSG00000170345	FOS	5.65409058402422
ENSG00000126247	CAPNS1	5.65218381329438
ENSG00000254999	BRK1	5.65191596057346
ENSG00000165119	HNRNPK	5.65157724013155
ENSG00000104852	SNRNP70	5.64751067302075
ENSG00000100345	MYH9	5.64130999818836
ENSG00000100650	SRSF5	5.63751315599412
ENSG00000123416	TUBA1B	5.63699500794546
ENSG00000092295	TGM1	5.63450432260172
ENSG00000240342	RPS2P5	5.62257758937544
ENSG00000125730	C3	5.62087270525093
ENSG00000211597	IGKJ1	5.61968358467472
ENSG00000198242	RPL23A	5.61288364301099
ENSG00000125968	ID1	5.61170163912247
ENSG00000136238	RAC1	5.60528911531328
ENSG00000196230	TUBB	5.60472345571096
ENSG00000179010	MRFAP1	5.60360545503521
ENSG00000132507	EIF5A	5.60292514912712
ENSG00000105701	FKBP8	5.59825585894283
ENSG00000188257	PLA2G2A	5.59794458875084
ENSG00000185201	IFITM2	5.59640747825015
ENSG00000148175	STOM	5.59058737954535
ENSG00000100994	PYGB	5.58932886809292
ENSG00000099795	NDUFB7	5.58856865678252
ENSG00000060138	YBX3	5.58656107565986
ENSG00000030582	GRN	5.58618297261929
ENSG00000185873	TMPRSS11B	5.58614211362667
ENSG00000185650	ZFP36L1	5.58030695639164
ENSG00000154553	PDLIM3	5.57542536699825
ENSG00000107223	EDF1	5.57498450218968
ENSG00000159388	BTG2	5.57344011640389
ENSG00000143761	ARF1	5.5720539875587
ENSG00000164692	COL1A2	5.56845291185499
ENSG00000177156	TALDO1	5.56610972938414
ENSG00000130066	SAT1	5.56608717422455
ENSG00000164032	H2AFZ	5.56301810998155
ENSG00000125503	PPP1R12C	5.55950247306626
ENSG00000166598	HSP90B1	5.55535576611569
ENSG00000169564	PCBP1	5.55475029159824
ENSG00000065534	MYLK	5.55193505459648
ENSG00000143196	DPT	5.55179041493257
ENSG00000170296	GABARAP	5.55096865942574
ENSG00000167615	LENG8	5.54632765709606
ENSG00000189060	H1F0	5.54593011164385
ENSG00000057149	SERPINB3	5.54459499357038
ENSG00000167460	TPM4	5.5444675024487
ENSG00000173660	UQCRH	5.54311853421998
ENSG00000196683	TOMM7	5.54308475418074
ENSG00000166535	A2ML1	5.54124395181362
ENSG00000143384	MCL1	5.5398859808217
ENSG00000213719	CLIC1	5.53785635353685
ENSG00000095637	SORBS1	5.5362334336721
ENSG00000135940	COX5B	5.53540264606637
ENSG00000112936	C7	5.53536094960792
ENSG00000096696	DSP	5.53379813081246
ENSG00000168209	DDIT4	5.53346150617058
ENSG00000137699	TRIM29	5.5291995454769
ENSG00000211596	IGKJ2	5.52375196433722
ENSG00000162734	PEA15	5.52073844640971
ENSG00000133142	TCEAL4	5.51784031309219
ENSG00000158747	NBL1	5.51728290507114
ENSG00000011465	DCN	5.51469147812065
ENSG00000188505	NCCRP1	5.51429380847678
ENSG00000109846	CRYAB	5.51411486368764
ENSG00000092820	EZR	5.51333442718701
ENSG00000145879	SPINK7	5.51202885963445
ENSG00000197256	KANK2	5.50913903736839
ENSG00000166333	ILK	5.50564032288016
ENSG00000164733	CTSB	5.50381473490656
ENSG00000126267	COX6B1	5.50356843151765
ENSG00000214736	TOMM6	5.49968488523257
ENSG00000123144	C19orf43	5.49436963208598
ENSG00000164924	YWHAZ	5.49436684478145
ENSG00000167759	KLK13	5.48775978487958
ENSG00000161203	AP2M1	5.48652133264893
ENSG00000106682	EIF4H	5.48554704748171
ENSG00000115884	SDC1	5.48090104698632
ENSG00000245532	NEAT1	5.47853036234159
ENSG00000131236	CAP1	5.47533445691032
ENSG00000090006	LTBP4	5.47501211165961
ENSG00000146066	HIGD2A	5.47459671933078
ENSG00000127184	COX7C	5.47396276993907
ENSG00000118816	CCNI	5.46996279155653
ENSG00000140682	TGFB1I1	5.46473488503002
ENSG00000132002	DNAJB1	5.4626576406403
ENSG00000213639	PPP1CB	5.45785173326885
ENSG00000142192	APP	5.45008577883318
ENSG00000035862	TIMP2	5.44805280322223
ENSG00000071082	RPL31	5.44794884802339
ENSG00000169020	ATP5I	5.44577745352456
ENSG00000185883	ATP6V0C	5.44078784287193
ENSG00000196154	S100A4	5.44057884967011
ENSG00000075785	RAB7A	5.4369541130014
ENSG00000172757	CFL1	5.43348121496832
ENSG00000137440	FGFBP1	5.43326461507995
ENSG00000172354	GNB2	5.4325429386392
ENSG00000170315	UBB	5.43155723316871
ENSG00000213977	TAX1BP3	5.43123775945119
ENSG00000175416	CLTB	5.43094651841546
ENSG00000108953	YWHAE	5.42745046768553
ENSG00000120738	EGR1	5.4252812658914
ENSG00000157514	TSC22D3	5.42398044998522
ENSG00000142871	CYR61	5.41997763248622
ENSG00000221983	UBA52	5.41669876661662
ENSG00000130522	JUND	5.41598462909005
ENSG00000139644	TMBIM6	5.41164954741554
ENSG00000186468	RPS23	5.40849480991205
ENSG00000004776	HSPB6	5.40592053340451
ENSG00000126524	SBDS	5.40404799813531
ENSG00000084234	APLP2	5.40205903382502
ENSG00000103363	ELOB	5.4020202610155
ENSG00000081277	PKP1	5.39860711869651
ENSG00000140319	SRP14	5.3978241433601
ENSG00000100906	NFKBIA	5.39651990378873
ENSG00000105974	CAV1	5.39413078379964
ENSG00000166441	RPL27A	5.39064885034646
ENSG00000101421	CHMP4B	5.38559525239675
ENSG00000076706	MCAM	5.38270317370432
ENSG00000232112	TMA7	5.38138834499522
ENSG00000099875	MKNK2	5.38039814960476
ENSG00000154330	PGM5	5.37743668644922
ENSG00000148346	LCN2	5.37597219091004
ENSG00000233276	GPX1	5.37097308567755
ENSG00000105404	RABAC1	5.36954990578277
ENSG00000161638	ITGA5	5.36916293232363
ENSG00000077942	FBLN1	5.36912389115574
ENSG00000134308	YWHAQ	5.36792151143
ENSG00000168542	COL3A1	5.36772762317375
ENSG00000099624	ATP5D	5.36605650670518
ENSG00000135926	TMBIM1	5.36404731037483
ENSG00000130811	EIF3G	5.36370318686047
ENSG00000111676	ATN1	5.36195666682841
ENSG00000169504	CLIC4	5.35950904577807
ENSG00000134871	COL4A2	5.35826015025024
ENSG00000141522	ARHGDIA	5.35507946475748
ENSG00000109099	PMP22	5.35443754044324
ENSG00000024422	EHD2	5.34905196119905
ENSG00000108107	RPL28	5.34777197114075
ENSG00000225972	MTND1P23	5.3464679844982
ENSG00000179091	CYC1	5.34614529973913
ENSG00000016602	CLCA4	5.34580043795436
ENSG00000131143	COX4I1	5.34559784482091
ENSG00000116285	ERRFI1	5.34005015484512
ENSG00000196419	XRCC6	5.33504606132753
ENSG00000174903	RAB1B	5.33377799656659
ENSG00000204435	CSNK2B	5.3235223685467
ENSG00000087245	MMP2	5.3231415813992
ENSG00000215021	PHB2	5.32285167964878
ENSG00000125733	TRIP10	5.31743752831863
ENSG00000176014	TUBB6	5.31407652044291
ENSG00000111229	ARPC3	5.31309576261142
ENSG00000167641	PPP1R14A	5.30952144689564
ENSG00000152661	GJA1	5.30736150545739
ENSG00000228474	OST4	5.30317469057428
ENSG00000211594	IGKJ4	5.30099462566587
ENSG00000183347	GBP6	5.29833566893418
ENSG00000241837	ATP5O	5.29735957737425
ENSG00000104823	ECH1	5.29338390714624
ENSG00000221869	CEBPD	5.29337156258198
ENSG00000077549	CAPZB	5.2929050350072
ENSG00000113657	DPYSL3	5.29145314339678
ENSG00000109062	SLC9A3R1	5.28799758209007
ENSG00000100243	CYB5R3	5.28798787337019
ENSG00000092010	PSME1	5.28558334981471
ENSG00000087460	GNAS	5.28551399233151
