number	name	logTPM
ENSG00000198886	MT-ND4	10.1126673968735
ENSG00000198899	MT-ATP6	10.025852667054
ENSG00000198712	MT-CO2	9.92187305422864
ENSG00000198938	MT-CO3	9.91101470789482
ENSG00000198804	MT-CO1	9.89882670770417
ENSG00000198727	MT-CYB	9.70067753337608
ENSG00000198763	MT-ND2	9.67176564551008
ENSG00000228253	MT-ATP8	9.48211322803799
ENSG00000198840	MT-ND3	9.40545932142155
ENSG00000198888	MT-ND1	9.37886346267614
ENSG00000212907	MT-ND4L	9.29373131429701
ENSG00000198695	MT-ND6	9.25756423085984
ENSG00000210082	MT-RNR2	8.96995175347976
ENSG00000198786	MT-ND5	8.90896497252757
ENSG00000075624	ACTB	8.65855771388189
ENSG00000087086	FTL	8.38081330145666
ENSG00000231500	RPS18	8.34487476959944
ENSG00000142541	RPL13A	8.32120534170176
ENSG00000142534	RPS11	8.2606077531379
ENSG00000147403	RPL10	8.16927345958877
ENSG00000112306	RPS12	8.13293495324618
ENSG00000156508	EEF1A1	8.10611234482413
ENSG00000107796	ACTA2	7.96294574623684
ENSG00000142089	IFITM3	7.93511022978875
ENSG00000177954	RPS27	7.90560551669684
ENSG00000163682	RPL9	7.88766744530672
ENSG00000128016	ZFP36	7.83721491929941
ENSG00000149591	TAGLN	7.83462540712865
ENSG00000105193	RPS16	7.83293967842287
ENSG00000137818	RPLP1	7.80900005305709
ENSG00000118181	RPS25	7.79147690482763
ENSG00000122406	RPL5	7.78853396804716
ENSG00000170345	FOS	7.7882967766684
ENSG00000115461	IGFBP5	7.78567009673136
ENSG00000175084	DES	7.77871851182302
ENSG00000100316	RPL3	7.77237837782798
ENSG00000184009	ACTG1	7.76589887351973
ENSG00000108298	RPL19	7.75776374848972
ENSG00000120738	EGR1	7.74134822646173
ENSG00000248527	MTATP6P1	7.74115027463492
ENSG00000161016	RPL8	7.68299434872115
ENSG00000211592	IGKC	7.66896601092262
ENSG00000111341	MGP	7.66212298267602
ENSG00000171223	JUNB	7.60690054660938
ENSG00000141753	IGFBP4	7.54780637203478
ENSG00000254772	EEF1G	7.54732585916621
ENSG00000140988	RPS2	7.54079853600335
ENSG00000196924	FLNA	7.53621577981475
ENSG00000143947	RPS27A	7.52707649943974
ENSG00000137154	RPS6	7.50896990302395
ENSG00000089157	RPLP0	7.50200251143918
ENSG00000110700	RPS13	7.48642022081921
ENSG00000101335	MYL9	7.4682659050971
ENSG00000145425	RPS3A	7.46500000477323
ENSG00000265681	RPL17	7.44210209837552
ENSG00000211459	MT-RNR1	7.43975513856696
ENSG00000167658	EEF2	7.43162874218961
ENSG00000205542	TMSB4X	7.41876755259463
ENSG00000265972	TXNIP	7.41840088714629
ENSG00000148303	RPL7A	7.4111533875238
ENSG00000198755	RPL10A	7.40400857417368
ENSG00000136942	RPL35	7.38585107874517
ENSG00000177600	RPLP2	7.38129431858491
ENSG00000167996	FTH1	7.37588214884119
ENSG00000120129	DUSP1	7.37009769209365
ENSG00000234745	HLA-B	7.35393570989466
ENSG00000133392	MYH11	7.35369387708547
ENSG00000114391	RPL24	7.35326697058601
ENSG00000159176	CSRP1	7.32642906412268
ENSG00000152583	SPARCL1	7.31891525229718
ENSG00000034510	TMSB10	7.30302787943989
ENSG00000142937	RPS8	7.29522989534204
ENSG00000122026	RPL21	7.28792537155281
ENSG00000143878	RHOB	7.27191988373567
ENSG00000109475	RPL34	7.211220474161
ENSG00000198034	RPS4X	7.18539543381098
ENSG00000100097	LGALS1	7.17748551113937
ENSG00000211445	GPX3	7.17297870079346
ENSG00000166710	B2M	7.16019006785677
ENSG00000174444	RPL4	7.15397279018201
ENSG00000142156	COL6A1	7.13687206685645
ENSG00000171863	RPS7	7.13255079917741
ENSG00000106211	HSPB1	7.10624177344942
ENSG00000159403	C1R	7.10091602789233
ENSG00000189058	APOD	7.086598572236
ENSG00000142173	COL6A2	7.04996832210379
ENSG00000197956	S100A6	7.04507947071704
ENSG00000063177	RPL18	7.0345249747584
ENSG00000197746	PSAP	7.03205530534248
ENSG00000142676	RPL11	7.02732437389455
ENSG00000168028	RPSA	7.02316513138396
ENSG00000211596	IGKJ2	7.01822671251992
ENSG00000096384	HSP90AB1	7.00782180708363
ENSG00000149131	SERPING1	6.98975504564789
ENSG00000142871	CYR61	6.9794824837776
ENSG00000131469	RPL27	6.97147054560952
ENSG00000187479	C11orf96	6.97053392004298
ENSG00000162244	RPL29	6.96805566617485
ENSG00000204525	HLA-C	6.95658777125043
ENSG00000026025	VIM	6.94274697793869
ENSG00000125148	MT2A	6.93197623662096
ENSG00000148180	GSN	6.92862487597041
ENSG00000124614	RPS10	6.90806634270791
ENSG00000147604	RPL7	6.89555898440518
ENSG00000198467	TPM2	6.88364472021279
ENSG00000089009	RPL6	6.86688698813559
ENSG00000133112	TPT1	6.86592583375101
ENSG00000163453	IGFBP7	6.85237176072976
ENSG00000111640	GAPDH	6.85191364592337
ENSG00000100234	TIMP3	6.83742818555491
ENSG00000244734	HBB	6.8342534489504
ENSG00000172809	RPL38	6.80031853649332
ENSG00000211594	IGKJ4	6.7974715541939
ENSG00000167526	RPL13	6.79488515630588
ENSG00000185201	IFITM2	6.79067199956424
ENSG00000159388	BTG2	6.7871871195918
ENSG00000145741	BTF3	6.77461746083353
ENSG00000206503	HLA-A	6.75136134536738
ENSG00000083845	RPS5	6.7473256697783
ENSG00000115268	RPS15	6.74650352131559
ENSG00000229117	RPL41	6.73275353474164
ENSG00000187514	PTMA	6.7285488662846
ENSG00000120885	CLU	6.72312439227061
ENSG00000125730	C3	6.7221483324006
ENSG00000112936	C7	6.72043458181588
ENSG00000164587	RPS14	6.71816738740489
ENSG00000204592	HLA-E	6.71748219361014
ENSG00000163017	ACTG2	6.71219717217207
ENSG00000092841	MYL6	6.70099074633263
ENSG00000161970	RPL26	6.69531809952025
ENSG00000130176	CNN1	6.69419070368633
ENSG00000163220	S100A9	6.6759339075364
ENSG00000144713	RPL32	6.66875049081939
ENSG00000182774	RPS17	6.6643381574372
ENSG00000167779	IGFBP6	6.64472968607408
ENSG00000171858	RPS21	6.64335561245522
ENSG00000177606	JUN	6.64193761524521
ENSG00000130255	RPL36	6.64171872565268
ENSG00000233927	RPS28	6.63470635986919
ENSG00000019582	CD74	6.62970078768902
ENSG00000132475	H3F3B	6.62927518394958
ENSG00000132386	SERPINF1	6.62857033810635
ENSG00000105373	GLTSCR2	6.61796728826989
ENSG00000123349	PFDN5	6.61223516309173
ENSG00000182899	RPL35A	6.60729562485486
ENSG00000114942	EEF1B2	6.60531295752136
ENSG00000008988	RPS20	6.60368784619189
ENSG00000197958	RPL12	6.60257281729808
ENSG00000184557	SOCS3	6.58020292087423
ENSG00000110651	CD81	6.57279523315721
ENSG00000143933	CALM2	6.56169051556892
ENSG00000198959	TGM2	6.55766180560593
ENSG00000149806	FAU	6.55557814266085
ENSG00000084207	GSTP1	6.54872836641169
ENSG00000104904	OAZ1	6.54716793108623
ENSG00000173812	EIF1	6.52037563989347
ENSG00000122566	HNRNPA2B1	6.50458753141921
ENSG00000130522	JUND	6.50048855043005
ENSG00000204628	RACK1	6.4997202061752
ENSG00000125740	FOSB	6.49481925108759
ENSG00000156976	EIF4A2	6.49163359220151
ENSG00000159335	PTMS	6.48746414127771
ENSG00000102265	TIMP1	6.48137292415029
ENSG00000138326	RPS24	6.45411481924357
ENSG00000100201	DDX17	6.44453746441832
ENSG00000105640	RPL18A	6.44165513393038
ENSG00000149273	RPS3	6.43908409656805
ENSG00000118523	CTGF	6.43509924793785
ENSG00000185885	IFITM1	6.43156365624579
ENSG00000125691	RPL23	6.42744090000059
ENSG00000182326	C1S	6.42281397099626
ENSG00000169714	CNBP	6.42216412801982
ENSG00000166165	CKB	6.41954242060551
ENSG00000188229	TUBB4B	6.39698150739032
ENSG00000165502	RPL36AL	6.39542853075905
ENSG00000124107	SLPI	6.39406444497432
ENSG00000123358	NR4A1	6.39380255036077
