number	name	logTPM
ENSG00000198804	MT-CO1	11.1398692765481
ENSG00000198938	MT-CO3	11.1204264551821
ENSG00000198899	MT-ATP6	11.112003158599
ENSG00000198886	MT-ND4	11.0391138046053
ENSG00000198712	MT-CO2	10.8959186034386
ENSG00000198727	MT-CYB	10.6507067315655
ENSG00000228253	MT-ATP8	10.5463177637349
ENSG00000210082	MT-RNR2	10.5394657842814
ENSG00000198888	MT-ND1	10.5101390926151
ENSG00000198763	MT-ND2	10.4315564747689
ENSG00000198840	MT-ND3	10.3880800205722
ENSG00000212907	MT-ND4L	10.3462298338579
ENSG00000175206	NPPA	9.69766268985763
ENSG00000198695	MT-ND6	9.48107334481034
ENSG00000198786	MT-ND5	9.42732039169969
ENSG00000248527	MTATP6P1	8.96931919375887
ENSG00000111245	MYL2	8.95804646518732
ENSG00000211459	MT-RNR1	8.91510760383086
ENSG00000175084	DES	8.83921151161279
ENSG00000198125	MB	8.3706187438945
ENSG00000106631	MYL7	8.35921372347273
ENSG00000129991	TNNI3	8.18919343069087
ENSG00000159251	ACTC1	8.0645422357517
ENSG00000143632	ACTA1	8.02274208328898
ENSG00000104879	CKM	7.94283819181357
ENSG00000197616	MYH6	7.93182825631305
ENSG00000092054	MYH7	7.91348968163843
ENSG00000114854	TNNC1	7.86499199127258
ENSG00000148677	ANKRD1	7.8400062126982
ENSG00000118194	TNNT2	7.80346399714771
ENSG00000120937	NPPB	7.76486344716305
ENSG00000121769	FABP3	7.67661930894993
ENSG00000109846	CRYAB	7.59395908472502
ENSG00000160808	MYL3	7.5754023346091
ENSG00000107317	PTGDS	7.45369427840431
ENSG00000087086	FTL	7.34016950089066
ENSG00000173991	TCAP	7.3197334137202
ENSG00000173641	HSPB7	7.28906233069534
ENSG00000111640	GAPDH	7.27888788900092
ENSG00000225630	MTND2P28	7.26958622159358
ENSG00000156885	COX6A2	7.25046577049452
ENSG00000198336	MYL4	7.21451627475328
ENSG00000134571	MYBPC3	7.03104135283888
ENSG00000140416	TPM1	7.0200265372139
ENSG00000106211	HSPB1	6.98967857677713
ENSG00000110955	ATP5B	6.94477739507058
ENSG00000148180	GSN	6.94018947025045
ENSG00000075624	ACTB	6.87123629648395
ENSG00000077009	NMRK2	6.83195844042164
ENSG00000142541	RPL13A	6.81283382842941
ENSG00000137818	RPLP1	6.77776566837406
