number	name	logTPM
ENSG00000198938	MT-CO3	11.3775882695215
ENSG00000198712	MT-CO2	11.1655236046761
ENSG00000198899	MT-ATP6	11.0447430975841
ENSG00000198886	MT-ND4	10.9323026736631
ENSG00000210082	MT-RNR2	10.8195110577172
ENSG00000198727	MT-CYB	10.6742811406698
ENSG00000198804	MT-CO1	10.5752119513871
ENSG00000198840	MT-ND3	10.4125903447952
ENSG00000198763	MT-ND2	10.3990073110707
ENSG00000198888	MT-ND1	10.3721697332418
ENSG00000228253	MT-ATP8	10.3691048201613
ENSG00000212907	MT-ND4L	10.0218407128261
ENSG00000211459	MT-RNR1	9.18670366250051
ENSG00000087086	FTL	8.94001098697467
ENSG00000248527	MTATP6P1	8.85804305548605
ENSG00000198786	MT-ND5	8.85503687896471
ENSG00000198695	MT-ND6	8.83597651085237
ENSG00000211445	GPX3	8.5046303387403
ENSG00000118785	SPP1	8.05127028567536
ENSG00000136872	ALDOB	7.81452496806106
ENSG00000156508	EEF1A1	7.38293858909242
ENSG00000142541	RPL13A	7.29692123411209
ENSG00000231500	RPS18	7.2891855363386
ENSG00000112306	RPS12	7.25795152932543
ENSG00000075624	ACTB	7.25547144933388
ENSG00000211592	IGKC	7.24563095318912
ENSG00000167996	FTH1	7.23412934950439
ENSG00000234745	HLA-B	7.16862404449507
ENSG00000142534	RPS11	7.1614894995785
ENSG00000225630	MTND2P28	7.13544936058702
ENSG00000034510	TMSB10	7.08941931712062
ENSG00000244734	HBB	7.0683857390913
ENSG00000164825	DEFB1	7.05091544757241
ENSG00000117984	CTSD	7.03505196805792
ENSG00000147403	RPL10	6.98215478259872
ENSG00000125144	MT1G	6.9749056610533
ENSG00000137818	RPLP1	6.94561919579615
ENSG00000163453	IGFBP7	6.94051719372088
ENSG00000184009	ACTG1	6.9045614209984
ENSG00000108298	RPL19	6.90016248257624
ENSG00000142089	IFITM3	6.88026397946257
ENSG00000166710	B2M	6.86922233030464
ENSG00000100316	RPL3	6.8377124996608
ENSG00000111640	GAPDH	6.83544551729451
ENSG00000254772	EEF1G	6.83312011624224
ENSG00000205542	TMSB4X	6.82616615258351
ENSG00000177954	RPS27	6.81865756066827
ENSG00000197956	S100A6	6.81577550337622
ENSG00000161016	RPL8	6.77402354640648
ENSG00000105193	RPS16	6.77245924958247
ENSG00000163682	RPL9	6.76845059275001
ENSG00000118181	RPS25	6.76775550048745
ENSG00000206503	HLA-A	6.68618352670223
ENSG00000019582	CD74	6.67915444929506
ENSG00000204525	HLA-C	6.63841924129343
ENSG00000137154	RPS6	6.58945181884623
ENSG00000130203	APOE	6.58920617952265
ENSG00000122406	RPL5	6.58897129808293
ENSG00000074800	ENO1	6.57803949329713
ENSG00000089220	PEBP1	6.52469186461204
ENSG00000143947	RPS27A	6.50988875794017
ENSG00000111716	LDHB	6.50695232134946
ENSG00000109846	CRYAB	6.5027117127262
ENSG00000169344	UMOD	6.49779477421358
ENSG00000265681	RPL17	6.49481907468093
ENSG00000167658	EEF2	6.48944055277379
ENSG00000089157	RPLP0	6.48666251440508
ENSG00000197746	PSAP	6.46939663635794
ENSG00000111341	MGP	6.46564815853826
ENSG00000136942	RPL35	6.44536841270566
ENSG00000106211	HSPB1	6.43522802022226
ENSG00000177600	RPLP2	6.42722997529109
ENSG00000148303	RPL7A	6.42174649666602
ENSG00000110700	RPS13	6.40969982992816
ENSG00000145425	RPS3A	6.39031041972269
ENSG00000140988	RPS2	6.39015205913179
ENSG00000114391	RPL24	6.37459596400991
ENSG00000133112	TPT1	6.35614277417507
ENSG00000162366	PDZK1IP1	6.35132407952907
ENSG00000176340	COX8A	6.3466726872287
ENSG00000171863	RPS7	6.34194337013288
ENSG00000211596	IGKJ2	6.31984765171043
ENSG00000211597	IGKJ1	6.31500308329305
ENSG00000141753	IGFBP4	6.30785077139523
ENSG00000110955	ATP5B	6.30709099798142
ENSG00000163191	S100A11	6.29972555006879
ENSG00000174444	RPL4	6.28600855809942
ENSG00000265972	TXNIP	6.28262665458812
ENSG00000122026	RPL21	6.2801580479708
ENSG00000109475	RPL34	6.18917735035831
ENSG00000125148	MT2A	6.16960462295749
ENSG00000096384	HSP90AB1	6.15762389492161
ENSG00000198755	RPL10A	6.15477698404516
ENSG00000204592	HLA-E	6.10726059350367
ENSG00000104904	OAZ1	6.09904338922612
ENSG00000142937	RPS8	6.08261901730673
ENSG00000168028	RPSA	6.08183661189797
ENSG00000072778	ACADVL	6.08029309455922
ENSG00000101443	WFDC2	6.07797102366761
ENSG00000084207	GSTP1	6.07404595062761
ENSG00000142676	RPL11	6.0482961308797
ENSG00000169100	SLC25A6	6.0417517199224
ENSG00000163399	ATP1A1	6.03816049449402
ENSG00000188536	HBA2	6.03300891676035
ENSG00000175899	A2M	6.02722774740652
ENSG00000182492	BGN	6.02647535466234
ENSG00000272398	CD24	6.01531438452059
ENSG00000172270	BSG	6.00835481049346
ENSG00000211594	IGKJ4	6.00573160125047
ENSG00000166589	CDH16	5.9973209627854
ENSG00000115461	IGFBP5	5.99448946431141
ENSG00000147604	RPL7	5.99354384703895
ENSG00000131469	RPL27	5.98975803816975
ENSG00000162244	RPL29	5.98584768091272
ENSG00000198034	RPS4X	5.97740835744562
ENSG00000143153	ATP1B1	5.97482976460747
ENSG00000130066	SAT1	5.96182453627894
ENSG00000005022	SLC25A5	5.96040861606723
ENSG00000127884	ECHS1	5.95253098633374
ENSG00000125534	PPDPF	5.9434715396598
ENSG00000089009	RPL6	5.94292617970278
ENSG00000187514	PTMA	5.93460582662714
