number	name	logTPM
ENSG00000198886	MT-ND4	10.9690945158284
ENSG00000198899	MT-ATP6	10.8589806175636
ENSG00000198712	MT-CO2	10.8077044492096
ENSG00000198938	MT-CO3	10.7358013655878
ENSG00000198804	MT-CO1	10.7274576491822
ENSG00000198727	MT-CYB	10.390108839428
ENSG00000228253	MT-ATP8	10.2965360698654
ENSG00000163631	ALB	10.2666488042401
ENSG00000212907	MT-ND4L	10.1979146359429
ENSG00000198763	MT-ND2	10.0416454773863
ENSG00000198888	MT-ND1	9.99933660567121
ENSG00000173432	SAA1	9.94508806238975
ENSG00000198840	MT-ND3	9.92592725154521
ENSG00000210082	MT-RNR2	9.86482753531284
ENSG00000257017	HP	9.5312549505124
ENSG00000229314	ORM1	9.31045007764538
ENSG00000171564	FGB	9.22108063005459
ENSG00000087086	FTL	9.10575094549446
ENSG00000132693	CRP	9.07870536476642
ENSG00000171557	FGG	9.00681191965332
ENSG00000197249	SERPINA1	8.99706270489456
ENSG00000110245	APOC3	8.99492446293302
ENSG00000171560	FGA	8.89148588592485
ENSG00000118137	APOA1	8.79283582329191
ENSG00000198786	MT-ND5	8.78562749161386
ENSG00000198695	MT-ND6	8.75452028103298
ENSG00000158874	APOA2	8.70185919565113
ENSG00000248527	MTATP6P1	8.62106692909591
ENSG00000134339	SAA2	8.45921934317335
ENSG00000138207	RBP4	8.43615569728796
ENSG00000228278	ORM2	8.25756006151974
ENSG00000091583	APOH	8.15385564672918
ENSG00000211459	MT-RNR1	8.14249478650125
ENSG00000106927	AMBP	8.14149482882095
ENSG00000130203	APOE	8.12807210798248
ENSG00000118271	TTR	8.06778622461589
ENSG00000130208	APOC1	8.04831643175919
ENSG00000136872	ALDOB	7.98492093519057
ENSG00000130649	CYP2E1	7.92040248176521
ENSG00000109072	VTN	7.88438057536978
ENSG00000110169	HPX	7.73656327624837
ENSG00000125148	MT2A	7.73541977681886
ENSG00000196136	SERPINA3	7.70842262864436
ENSG00000125730	C3	7.68956468597733
ENSG00000091513	TF	7.57910330119051
ENSG00000234906	APOC2	7.56044567355092
ENSG00000132703	APCS	7.4815355103209
ENSG00000055955	ITIH4	7.4710089430185
ENSG00000172482	AGXT	7.44769277179199
ENSG00000125144	MT1G	7.34424087572703
ENSG00000145192	AHSG	7.33691784384128
ENSG00000104760	FGL1	7.33533135576762
ENSG00000145321	GC	7.21105789953508
ENSG00000159403	C1R	7.20911539308271
ENSG00000169136	ATF5	7.20411639425495
ENSG00000243649	CFB	7.20235078859048
ENSG00000135744	AGT	7.1606287673943
ENSG00000117601	SERPINC1	7.14784992133571
