number	name	logTPM
ENSG00000198886	MT-ND4	10.0782482304712
ENSG00000198712	MT-CO2	10.0247467385736
ENSG00000198899	MT-ATP6	9.99219387354163
ENSG00000198804	MT-CO1	9.93207030166009
ENSG00000198938	MT-CO3	9.88625462079342
ENSG00000198763	MT-ND2	9.55331269283523
ENSG00000228253	MT-ATP8	9.54035955362985
ENSG00000198888	MT-ND1	9.51469415789002
ENSG00000087086	FTL	9.50135779299375
ENSG00000198727	MT-CYB	9.43253814754576
ENSG00000212907	MT-ND4L	9.25324954332408
ENSG00000210082	MT-RNR2	9.23550379962983
ENSG00000198840	MT-ND3	9.08115562389942
ENSG00000198695	MT-ND6	8.96806025103939
ENSG00000198786	MT-ND5	8.6667108520271
ENSG00000168878	SFTPB	8.55450821544523
ENSG00000075624	ACTB	8.51887413098656
ENSG00000234745	HLA-B	8.47857810265593
ENSG00000211592	IGKC	8.34447489394527
ENSG00000168484	SFTPC	8.30643116339454
ENSG00000185303	SFTPA2	8.30558582978567
ENSG00000122852	SFTPA1	8.26415293427461
ENSG00000244734	HBB	8.24608119679451
ENSG00000034510	TMSB10	8.24309397791902
ENSG00000175899	A2M	8.19925184658147
ENSG00000166710	B2M	8.17168972158658
ENSG00000205542	TMSB4X	8.14585265538555
ENSG00000211445	GPX3	7.96720557514953
ENSG00000167996	FTH1	7.91664386547464
ENSG00000112306	RPS12	7.88897351379905
ENSG00000204525	HLA-C	7.8689565221866
ENSG00000231500	RPS18	7.86441897485762
ENSG00000019582	CD74	7.84838842327173
ENSG00000142541	RPL13A	7.83367562193534
ENSG00000204592	HLA-E	7.83217935098145
ENSG00000184009	ACTG1	7.82981466922579
ENSG00000163220	S100A9	7.81653992478481
ENSG00000211895	IGHA1	7.79861455792863
ENSG00000156508	EEF1A1	7.75316084138604
ENSG00000142534	RPS11	7.73958890319355
ENSG00000197956	S100A6	7.73019630772911
ENSG00000248527	MTATP6P1	7.70819574505463
ENSG00000147403	RPL10	7.68518397532217
ENSG00000206503	HLA-A	7.61922585757091
ENSG00000142089	IFITM3	7.60874309505436
ENSG00000128016	ZFP36	7.5863537128053
ENSG00000211597	IGKJ1	7.53861332780944
ENSG00000137818	RPLP1	7.52174081600463
ENSG00000211459	MT-RNR1	7.51812695597876
ENSG00000204287	HLA-DRA	7.50530200286739
