number	name	logTPM
ENSG00000198804	MT-CO1	10.8128677618009
ENSG00000198899	MT-ATP6	10.7168065005857
ENSG00000198938	MT-CO3	10.6565608471728
ENSG00000198886	MT-ND4	10.6494339291826
ENSG00000198712	MT-CO2	10.5789848679158
ENSG00000143632	ACTA1	10.4909458911223
ENSG00000198888	MT-ND1	10.3715788625904
ENSG00000198727	MT-CYB	10.317323504782
ENSG00000228253	MT-ATP8	10.2097918346361
ENSG00000104879	CKM	10.1592577510648
ENSG00000198763	MT-ND2	10.0599033754034
ENSG00000212907	MT-ND4L	9.88349671953653
ENSG00000210082	MT-RNR2	9.80104646021171
ENSG00000198840	MT-ND3	9.64599343955831
ENSG00000111245	MYL2	9.54090635206465
ENSG00000175084	DES	9.42953841658598
ENSG00000198695	MT-ND6	9.36960540190804
ENSG00000198786	MT-ND5	9.17062805118363
ENSG00000198125	MB	9.07178395744523
ENSG00000101470	TNNC2	8.93992277012977
ENSG00000114854	TNNC1	8.78194009666128
ENSG00000111640	GAPDH	8.67297342715151
ENSG00000105048	TNNT1	8.53260445336046
ENSG00000248527	MTATP6P1	8.51593234727302
ENSG00000092054	MYH7	8.41831377240901
ENSG00000198467	TPM2	8.32159236240516
ENSG00000168530	MYL1	8.22103998954692
ENSG00000196091	MYBPC1	8.20652601854561
ENSG00000130598	TNNI2	8.19110097104093
ENSG00000239474	KLHL41	8.18021691773344
ENSG00000211459	MT-RNR1	8.1536822688266
ENSG00000149925	ALDOA	8.13140067533991
ENSG00000180209	MYLPF	8.06997064236674
ENSG00000173991	TCAP	7.94034178563924
ENSG00000130595	TNNT3	7.93351634644598
ENSG00000101210	EEF1A2	7.80484658730925
ENSG00000068976	PYGM	7.79124417675142
ENSG00000156885	COX6A2	7.7849301155395
ENSG00000060138	YBX3	7.78196928636314
ENSG00000137818	RPLP1	7.76307949727809
ENSG00000164879	CA3	7.75587960177742
ENSG00000108515	ENO3	7.69263128818744
ENSG00000109061	MYH1	7.66274154846058
ENSG00000022267	FHL1	7.64553026427174
ENSG00000004799	PDK4	7.62793262453677
ENSG00000177791	MYOZ1	7.62737212771807
ENSG00000170290	SLN	7.58753481750408
ENSG00000187193	MT1X	7.57295998255147
ENSG00000254772	EEF1G	7.48877480669142
ENSG00000167658	EEF2	7.46346263895615
ENSG00000133112	TPT1	7.40455467531591
ENSG00000109846	CRYAB	7.38318771715101
ENSG00000125414	MYH2	7.37162241824286
ENSG00000196296	ATP2A1	7.36958412525044
ENSG00000142541	RPL13A	7.30034827418698
ENSG00000106211	HSPB1	7.28630216835326
ENSG00000147403	RPL10	7.28219484414543
ENSG00000231500	RPS18	7.26144212734296
ENSG00000197893	NRAP	7.24200818119421
ENSG00000077522	ACTN2	7.23674692890708
ENSG00000118181	RPS25	7.2296565650808
ENSG00000142534	RPS11	7.20171233060495
ENSG00000240045	RP11-451G4.2	7.14202507780428
ENSG00000154553	PDLIM3	7.11248868601595
ENSG00000105193	RPS16	7.08287725819931
ENSG00000185482	STAC3	7.06551902971024
ENSG00000265972	TXNIP	7.05567799553435
ENSG00000160808	MYL3	7.04754678917291
ENSG00000128591	FLNC	7.0290366033768
ENSG00000112306	RPS12	7.0244576709595
ENSG00000108298	RPL19	7.02177732908992
ENSG00000110955	ATP5B	7.01713973097911
ENSG00000158022	TRIM63	7.01064419695739
ENSG00000089157	RPLP0	7.00374891226484
ENSG00000173641	HSPB7	7.00276483713311
ENSG00000086967	MYBPC2	6.99616491972946
ENSG00000143318	CASQ1	6.98482461276808
ENSG00000174437	ATP2A2	6.96480367802922
ENSG00000121769	FABP3	6.9200280047607
ENSG00000136717	BIN1	6.90804515079214
