number	name	logTPM
ENSG00000198886	MT-ND4	10.1258560055178
ENSG00000198938	MT-CO3	10.0701570970548
ENSG00000198899	MT-ATP6	10.0238211292858
ENSG00000198712	MT-CO2	9.88934889507471
ENSG00000198763	MT-ND2	9.76085230205149
ENSG00000198727	MT-CYB	9.71036548878962
ENSG00000198804	MT-CO1	9.70343913700237
ENSG00000198888	MT-ND1	9.60418877836705
ENSG00000228253	MT-ATP8	9.58905738008116
ENSG00000189058	APOD	9.5857280372479
ENSG00000198840	MT-ND3	9.39836815369004
ENSG00000212907	MT-ND4L	9.33274527191171
ENSG00000210082	MT-RNR2	9.01579899608467
ENSG00000087086	FTL	8.84334067459867
ENSG00000158887	MPZ	8.66136226576102
ENSG00000198695	MT-ND6	8.47521773190387
ENSG00000198786	MT-ND5	8.44620559024311
ENSG00000211445	GPX3	8.23897554906236
ENSG00000034510	TMSB10	8.22298258486306
ENSG00000075624	ACTB	8.1465354123326
ENSG00000109099	PMP22	8.10944167532241
ENSG00000167996	FTH1	8.09065823046333
ENSG00000231500	RPS18	8.08432185307456
ENSG00000026025	VIM	8.01224578777114
ENSG00000107317	PTGDS	7.9349487815233
ENSG00000142541	RPL13A	7.93161906931755
ENSG00000142534	RPS11	7.91179352000103
ENSG00000112306	RPS12	7.87431396592662
ENSG00000197956	S100A6	7.81447923204357
ENSG00000113140	SPARC	7.79847532345875
ENSG00000156508	EEF1A1	7.79774980342701
ENSG00000147403	RPL10	7.77254863178568
ENSG00000142089	IFITM3	7.75490189365049
ENSG00000248527	MTATP6P1	7.73886631981856
ENSG00000205542	TMSB4X	7.73527588490939
ENSG00000211459	MT-RNR1	7.73051771310986
ENSG00000184009	ACTG1	7.70131050622397
ENSG00000265972	TXNIP	7.60587312295716
ENSG00000148180	GSN	7.57701910595165
ENSG00000137818	RPLP1	7.56555774731207
ENSG00000100097	LGALS1	7.52874459219494
ENSG00000105193	RPS16	7.52501238645037
ENSG00000177954	RPS27	7.48618353584036
ENSG00000108298	RPL19	7.48412265690592
ENSG00000118181	RPS25	7.45969617955021
ENSG00000163682	RPL9	7.45859069863347
ENSG00000019582	CD74	7.45217078123683
ENSG00000160307	S100B	7.44710778854039
ENSG00000100316	RPL3	7.42383557094257
ENSG00000167779	IGFBP6	7.39396840145714
ENSG00000234745	HLA-B	7.36436621297222
ENSG00000161016	RPL8	7.36385801217204
ENSG00000166710	B2M	7.33909291259966
ENSG00000122406	RPL5	7.33603293578736
ENSG00000137154	RPS6	7.22845492277059
ENSG00000140988	RPS2	7.20041778060443
ENSG00000141753	IGFBP4	7.19625737128767
ENSG00000128016	ZFP36	7.1952692443552
ENSG00000110700	RPS13	7.19217342879407
ENSG00000177600	RPLP2	7.17392786678845
ENSG00000136942	RPL35	7.17285731168731
ENSG00000254772	EEF1G	7.16593433516164
ENSG00000135821	GLUL	7.15880512448687
ENSG00000143947	RPS27A	7.15746506462171
ENSG00000197746	PSAP	7.1033437183729
ENSG00000089157	RPLP0	7.08422737084535
ENSG00000197766	CFD	7.0819668992448
ENSG00000149591	TAGLN	7.0799171623677
ENSG00000148303	RPL7A	7.0707437355953
ENSG00000145425	RPS3A	7.06842324047917
ENSG00000120129	DUSP1	7.0630940834768
ENSG00000125148	MT2A	7.05570361226991
ENSG00000111640	GAPDH	7.04303363111934
ENSG00000143933	CALM2	7.03532775789178
ENSG00000109846	CRYAB	7.02581528309164
ENSG00000163453	IGFBP7	7.01297914646251
ENSG00000265681	RPL17	7.00604691175766
ENSG00000171819	ANGPTL7	7.0039975409599
