number	name	logTPM
ENSG00000198886	MT-ND4	9.85022269606628
ENSG00000198899	MT-ATP6	9.84447704232407
ENSG00000198938	MT-CO3	9.70846156857228
ENSG00000198712	MT-CO2	9.50652205360037
ENSG00000198804	MT-CO1	9.43927057060766
ENSG00000198763	MT-ND2	9.40265644648167
ENSG00000198727	MT-CYB	9.39270563160219
ENSG00000228253	MT-ATP8	9.38282126050649
ENSG00000198840	MT-ND3	9.20131997703289
ENSG00000212907	MT-ND4L	9.06814853825309
ENSG00000231500	RPS18	9.04818934876645
ENSG00000198888	MT-ND1	9.02141593082775
ENSG00000142541	RPL13A	8.95220343765246
ENSG00000112306	RPS12	8.84970441912887
ENSG00000142534	RPS11	8.77659409525942
ENSG00000147403	RPL10	8.70655656316474
ENSG00000210082	MT-RNR2	8.70375574263341
ENSG00000156508	EEF1A1	8.54602141420666
ENSG00000177954	RPS27	8.54194975879615
ENSG00000122406	RPL5	8.51303232498285
ENSG00000105193	RPS16	8.48842327812596
ENSG00000100316	RPL3	8.48577934763234
ENSG00000118181	RPS25	8.45644953495018
ENSG00000087086	FTL	8.45221842720368
ENSG00000163682	RPL9	8.43138835920409
ENSG00000034510	TMSB10	8.40872786102785
ENSG00000137818	RPLP1	8.36102789124426
ENSG00000161016	RPL8	8.29655760389117
ENSG00000108298	RPL19	8.28862383615262
ENSG00000198695	MT-ND6	8.25154161881605
ENSG00000198786	MT-ND5	8.15178722721978
ENSG00000140988	RPS2	8.13832457372193
ENSG00000265681	RPL17	8.13371296856332
ENSG00000254772	EEF1G	8.13324818943525
ENSG00000184009	ACTG1	8.12320200567828
ENSG00000142937	RPS8	8.12143300480991
ENSG00000137154	RPS6	8.10617603279331
ENSG00000145425	RPS3A	8.10102433567741
ENSG00000148303	RPL7A	8.06625117455592
ENSG00000143947	RPS27A	8.05491431627059
ENSG00000089157	RPLP0	8.04550636893745
ENSG00000075624	ACTB	8.04533165988062
ENSG00000115461	IGFBP5	8.00312230781963
ENSG00000177600	RPLP2	7.99950705132923
ENSG00000167658	EEF2	7.99757158913117
ENSG00000110700	RPS13	7.99402879448233
ENSG00000141753	IGFBP4	7.93801556255027
ENSG00000114391	RPL24	7.90997291149174
ENSG00000198755	RPL10A	7.88882825266657
ENSG00000136942	RPL35	7.85282975592541
ENSG00000171863	RPS7	7.80627232427514
ENSG00000198034	RPS4X	7.78618906110416
ENSG00000026025	VIM	7.77248601466136
ENSG00000122026	RPL21	7.7711959502022
ENSG00000063177	RPL18	7.76140293709395
ENSG00000174444	RPL4	7.75803321875662
ENSG00000109475	RPL34	7.75189554077883
