number	name	logTPM
ENSG00000275896	PRSS2	11.5333051017666
ENSG00000204983	PRSS1	11.3177612443015
ENSG00000115386	REG1A	11.054336295875
ENSG00000091704	CPA1	10.8132635117465
ENSG00000137392	CLPS	10.7333169778555
ENSG00000175535	PNLIP	10.5087259413824
ENSG00000142789	CELA3A	10.2164948824856
ENSG00000168928	CTRB2	10.039141519455
ENSG00000172023	REG1B	10.020526638133
ENSG00000168925	CTRB1	9.83942290289689
ENSG00000170890	PLA2G1B	9.82358097640247
ENSG00000153002	CPB1	9.69818204761441
ENSG00000198899	MT-ATP6	9.57688631502614
ENSG00000198886	MT-ND4	9.56194728175307
ENSG00000170835	CEL	9.56133856293719
ENSG00000169347	GP2	9.5111949090574
ENSG00000198712	MT-CO2	9.45691958928294
ENSG00000198938	MT-CO3	9.38387547328089
ENSG00000158516	CPA2	9.29774605647066
ENSG00000198804	MT-CO1	9.26547684818523
ENSG00000219073	CELA3B	9.23167995729118
ENSG00000198763	MT-ND2	9.18561619649021
ENSG00000198727	MT-CYB	9.15680740847686
ENSG00000228253	MT-ATP8	9.14256670479985
ENSG00000198888	MT-ND1	9.06850280147983
ENSG00000179751	SYCN	9.0203381381777
ENSG00000198840	MT-ND3	9.01343864913822
ENSG00000212907	MT-ND4L	8.78018671392314
ENSG00000172016	REG3A	8.65527709481964
ENSG00000142615	CELA2A	8.63895114065201
ENSG00000164266	SPINK1	8.43754070252956
ENSG00000266200	PNLIPRP2	8.39758257233703
ENSG00000210082	MT-RNR2	8.39150413806454
ENSG00000243480	AMY2A	8.30123213119533
ENSG00000240338	RP11-331F4.4	8.22854707745662
ENSG00000162438	CTRC	8.19461049843443
ENSG00000254647	INS	8.03805923985869
ENSG00000187021	PNLIPRP1	7.94739240444262
ENSG00000142541	RPL13A	7.75629257173262
ENSG00000231500	RPS18	7.74800207631059
ENSG00000010438	PRSS3	7.7140452612955
ENSG00000147403	RPL10	7.69548648929985
ENSG00000143954	REG3G	7.69148592242998
ENSG00000198695	MT-ND6	7.6606486473384
ENSG00000112306	RPS12	7.57268050164569
ENSG00000198786	MT-ND5	7.53940500127218
ENSG00000138161	CUZD1	7.52112896159685
ENSG00000156508	EEF1A1	7.39470164740805
ENSG00000089157	RPLP0	7.35701512998408
ENSG00000248527	MTATP6P1	7.3070838742393
ENSG00000167658	EEF2	7.30278503076805
ENSG00000140988	RPS2	7.29093196613041
ENSG00000100316	RPL3	7.26096043035923
ENSG00000142534	RPS11	7.16956709333495
ENSG00000215704	CELA2B	7.16374561057198
ENSG00000161016	RPL8	7.14390076765288
ENSG00000141086	CTRL	7.12434837485097
ENSG00000167748	KLK1	7.11469161549421
ENSG00000196136	SERPINA3	7.11351524985429
ENSG00000087086	FTL	7.10669834741029
ENSG00000184009	ACTG1	7.02126143201206
ENSG00000163682	RPL9	7.00998492386529
ENSG00000122406	RPL5	7.00993950647329
ENSG00000105193	RPS16	7.00074347551208
ENSG00000185615	PDIA2	6.99292827602989
ENSG00000148303	RPL7A	6.9694178134242
ENSG00000108298	RPL19	6.93834332974595
ENSG00000265681	RPL17	6.93757541437133
ENSG00000185624	P4HB	6.90320469787304
ENSG00000118181	RPS25	6.87771369966713
ENSG00000177954	RPS27	6.87679022421694
ENSG00000137154	RPS6	6.84916650369294
ENSG00000254772	EEF1G	6.84612990993428
ENSG00000136942	RPL35	6.83161245287726
ENSG00000204787	REG1CP	6.80776786778422
ENSG00000137818	RPLP1	6.77540193896853
ENSG00000168028	RPSA	6.68123790372516
ENSG00000100219	XBP1	6.64952307683067
ENSG00000211459	MT-RNR1	6.64606658025165
ENSG00000145425	RPS3A	6.63945808488863
ENSG00000110700	RPS13	6.63814709798759
ENSG00000143947	RPS27A	6.61828502465318
ENSG00000250591	PRSS3P1	6.59827224378783
ENSG00000240038	AMY2B	6.58676164195551
ENSG00000177600	RPLP2	6.58120898405892
ENSG00000124232	RBPJL	6.57053788815369
ENSG00000109475	RPL34	6.52822843947209
ENSG00000114942	EEF1B2	6.51752400339516
ENSG00000114391	RPL24	6.5071816954348
ENSG00000102837	OLFM4	6.44149861682558
ENSG00000063177	RPL18	6.43283617552913
ENSG00000171863	RPS7	6.41645675998272
ENSG00000171766	GATM	6.40606463488458
ENSG00000174444	RPL4	6.39249453136693
ENSG00000122026	RPL21	6.39128622197649
ENSG00000162244	RPL29	6.38123756368276
ENSG00000083845	RPS5	6.36793614203977
ENSG00000167996	FTH1	6.36683079018442
ENSG00000198755	RPL10A	6.36560677930266
ENSG00000142937	RPS8	6.35718104025291
ENSG00000198034	RPS4X	6.34967505102567
ENSG00000129538	RNASE1	6.34497616395643
ENSG00000142102	PGGHG	6.31486127609291
ENSG00000133112	TPT1	6.26069309896615
ENSG00000142676	RPL11	6.25845575682395
ENSG00000233927	RPS28	6.25126984325586
ENSG00000229117	RPL41	6.23036141161509
ENSG00000272398	CD24	6.1750841706523
ENSG00000075624	ACTB	6.16614667194675
ENSG00000182774	RPS17	6.15132927347233
ENSG00000187193	MT1X	6.14764569459284
ENSG00000109971	HSPA8	6.1386652847789
ENSG00000147604	RPL7	6.13150415723953
ENSG00000089009	RPL6	6.13064440287136
ENSG00000197958	RPL12	6.12672472491062
ENSG00000124614	RPS10	6.1233388914198
ENSG00000164587	RPS14	6.12019355620012
ENSG00000096384	HSP90AB1	6.1163422767207
ENSG00000130255	RPL36	6.1152781450257
ENSG00000167526	RPL13	6.10153772345361
ENSG00000105373	GLTSCR2	6.09441288977167
ENSG00000131469	RPL27	6.03765479208016
ENSG00000166825	ANPEP	6.0278538806277
ENSG00000115263	GCG	6.01842325990285
ENSG00000115268	RPS15	5.99623895712278
ENSG00000169100	SLC25A6	5.99266733206961
ENSG00000225630	MTND2P28	5.98007067798937
ENSG00000124713	GNMT	5.9631364695908
ENSG00000034510	TMSB10	5.95263101768697
ENSG00000161970	RPL26	5.93262762973754
ENSG00000105640	RPL18A	5.91748403200012
ENSG00000172809	RPL38	5.90538220346646
ENSG00000204628	RACK1	5.9050527713194
ENSG00000163631	ALB	5.87116268156412
ENSG00000072778	ACADVL	5.86880330510918
ENSG00000164825	DEFB1	5.86817021353655
ENSG00000168209	DDIT4	5.86678769015387
ENSG00000144713	RPL32	5.86605859295821
ENSG00000170889	RPS9	5.86434980874128
ENSG00000159388	BTG2	5.86035061619921
ENSG00000205542	TMSB4X	5.85663178828273
ENSG00000125144	MT1G	5.85427008016167
ENSG00000165502	RPL36AL	5.85364741873659
ENSG00000005022	SLC25A5	5.84629822457756
ENSG00000182899	RPL35A	5.79755322483982
ENSG00000255026	RP11-326C3.2	5.7924510368748
ENSG00000166794	PPIB	5.78369581493775
ENSG00000105372	RPS19	5.7057186105982
ENSG00000106211	HSPB1	5.70541092776251
ENSG00000150593	PDCD4	5.6951276531634
ENSG00000265972	TXNIP	5.69302574589878
ENSG00000111057	KRT18	5.6887766508516
ENSG00000103375	AQP8	5.68302129393347
