number	name	logTPM
ENSG00000198886	MT-ND4	10.6093786930116
ENSG00000198899	MT-ATP6	10.6072618403648
ENSG00000198938	MT-CO3	10.5540105203436
ENSG00000198712	MT-CO2	10.5286104157595
ENSG00000198727	MT-CYB	10.15970533656
ENSG00000228253	MT-ATP8	10.1026274294388
ENSG00000198763	MT-ND2	10.0414260055465
ENSG00000198840	MT-ND3	9.92473851029613
ENSG00000198804	MT-CO1	9.82937056940664
ENSG00000212907	MT-ND4L	9.79816649193781
ENSG00000198888	MT-ND1	9.77534012435128
ENSG00000210082	MT-RNR2	9.76902254644473
ENSG00000263639	MSMB	9.03753208367314
ENSG00000142515	KLK3	8.74483971788345
ENSG00000198786	MT-ND5	8.4909103969943
ENSG00000175084	DES	8.34910833771058
ENSG00000248527	MTATP6P1	8.33792363887803
ENSG00000198695	MT-ND6	8.31556358761325
ENSG00000075624	ACTB	8.2705245729622
ENSG00000142541	RPL13A	8.14963121011874
ENSG00000087086	FTL	8.14429049412679
ENSG00000231500	RPS18	8.12356388578846
ENSG00000211459	MT-RNR1	8.06217111124589
ENSG00000142534	RPS11	7.92530654157407
ENSG00000112306	RPS12	7.92153563249639
ENSG00000156508	EEF1A1	7.82509688746343
ENSG00000167751	KLK2	7.81836197519926
ENSG00000137818	RPLP1	7.78415521570502
ENSG00000147403	RPL10	7.78000284796125
ENSG00000149591	TAGLN	7.65481186002526
ENSG00000101335	MYL9	7.62996599401316
ENSG00000100316	RPL3	7.62679693844193
ENSG00000163017	ACTG2	7.58695706116094
ENSG00000177954	RPS27	7.57916358801573
ENSG00000014257	ACPP	7.53440024824135
ENSG00000163682	RPL9	7.49245509886437
ENSG00000133392	MYH11	7.48662724697946
ENSG00000108298	RPL19	7.46723064946766
ENSG00000105193	RPS16	7.4579905311288
ENSG00000254772	EEF1G	7.45476081267544
ENSG00000161016	RPL8	7.43691210047157
ENSG00000118181	RPS25	7.42957316442378
ENSG00000122406	RPL5	7.39604327732315
ENSG00000111341	MGP	7.35499599761833
ENSG00000137154	RPS6	7.35272991317728
ENSG00000107796	ACTA2	7.32335710926016
ENSG00000089157	RPLP0	7.30694112253824
ENSG00000140988	RPS2	7.29621373380761
ENSG00000143947	RPS27A	7.22077296356239
ENSG00000234745	HLA-B	7.19498704673034
ENSG00000136942	RPL35	7.19234512720307
ENSG00000184009	ACTG1	7.19203002321638
ENSG00000196924	FLNA	7.19196161472161
ENSG00000166710	B2M	7.17636842506613
ENSG00000148303	RPL7A	7.164060724232
ENSG00000265681	RPL17	7.16277521511121
ENSG00000177600	RPLP2	7.1557059617488
ENSG00000198467	TPM2	7.13879184404397
ENSG00000167658	EEF2	7.13774197552226
ENSG00000205542	TMSB4X	7.13231888356775
ENSG00000034510	TMSB10	7.13223214591753
ENSG00000145425	RPS3A	7.12253250219901
ENSG00000110700	RPS13	7.07134049778421
ENSG00000159176	CSRP1	7.06897896269787
ENSG00000198755	RPL10A	7.05235483659113
ENSG00000142089	IFITM3	7.03278203896894
ENSG00000167996	FTH1	7.00958258149528
ENSG00000114391	RPL24	6.99347003432486
ENSG00000174444	RPL4	6.97963578768592
