number	name	logTPM
ENSG00000171195	MUC7	10.4978104937497
ENSG00000198938	MT-CO3	10.2022286186788
ENSG00000198886	MT-ND4	10.1863920267527
ENSG00000198804	MT-CO1	10.1700831183539
ENSG00000198712	MT-CO2	10.165913543532
ENSG00000198899	MT-ATP6	10.1040622838388
ENSG00000162078	ZG16B	10.0097179677388
ENSG00000090382	LYZ	9.88211765422607
ENSG00000198727	MT-CYB	9.76313364491816
ENSG00000159763	PIP	9.71161605616303
ENSG00000211592	IGKC	9.70179787587295
ENSG00000228253	MT-ATP8	9.67327237406584
ENSG00000124107	SLPI	9.64660966104534
ENSG00000198888	MT-ND1	9.59836371814013
ENSG00000198763	MT-ND2	9.59595124658632
ENSG00000211895	IGHA1	9.46224993064448
ENSG00000212907	MT-ND4L	9.41466800911427
ENSG00000198840	MT-ND3	9.33488513213806
ENSG00000181617	FDCSP	9.05521348889305
ENSG00000211597	IGKJ1	8.79222253721332
ENSG00000210082	MT-RNR2	8.74122128983489
ENSG00000211596	IGKJ2	8.7358800889677
ENSG00000163220	S100A9	8.71220121768439
ENSG00000171401	KRT13	8.62306222238268
ENSG00000211890	IGHA2	8.58072690716749
ENSG00000211594	IGKJ4	8.54046239235453
ENSG00000170477	KRT4	8.51538240500078
ENSG00000198786	MT-ND5	8.15248429817512
ENSG00000078898	BPIFB2	8.14447019727258
ENSG00000198695	MT-ND6	8.13339389783382
ENSG00000096006	CRISP3	8.05936783037488
ENSG00000160862	AZGP1	7.93008677101091
ENSG00000211593	IGKJ5	7.90579463917101
ENSG00000231500	RPS18	7.9035415606885
ENSG00000171201	SMR3B	7.89916578266048
ENSG00000163209	SPRR3	7.89589711339493
ENSG00000173432	SAA1	7.86644524777806
ENSG00000248527	MTATP6P1	7.85366316009992
ENSG00000142541	RPL13A	7.85274384125425
ENSG00000087086	FTL	7.80192006493009
ENSG00000112306	RPS12	7.79378278814139
ENSG00000164825	DEFB1	7.73384352793407
ENSG00000184530	C6orf58	7.68549553271821
ENSG00000156508	EEF1A1	7.68225854982674
ENSG00000143546	S100A8	7.65801452933045
ENSG00000211595	IGKJ3	7.651185542152
ENSG00000211675	IGLC1	7.59884180903844
ENSG00000147403	RPL10	7.59117630159615
ENSG00000075624	ACTB	7.586338273319
ENSG00000142534	RPS11	7.53755171062331
ENSG00000162896	PIGR	7.52086378184397
ENSG00000211459	MT-RNR1	7.41957226363935
ENSG00000184009	ACTG1	7.41037659915966
ENSG00000137818	RPLP1	7.40678006507256
ENSG00000034510	TMSB10	7.40181031921444
ENSG00000111215	PRR4	7.3956351705698
ENSG00000211677	IGLC2	7.33759101293733
ENSG00000132465	JCHAIN	7.32739255780357
ENSG00000189058	APOD	7.3095136084383
ENSG00000108298	RPL19	7.29565382651374
ENSG00000089157	RPLP0	7.29086116182749
ENSG00000161016	RPL8	7.28134827815869
ENSG00000100316	RPL3	7.26919195497843
ENSG00000254772	EEF1G	7.25980962681767
ENSG00000012223	LTF	7.23286988761134
ENSG00000126549	STATH	7.21190450328445
ENSG00000105193	RPS16	7.1916733327006
ENSG00000167996	FTH1	7.1853047084241
ENSG00000143536	CRNN	7.18461230265164
ENSG00000177954	RPS27	7.18442742776059
ENSG00000163191	S100A11	7.1798686381149
ENSG00000118181	RPS25	7.16993671649088
ENSG00000163682	RPL9	7.15266080605735
ENSG00000167658	EEF2	7.15137467640071
ENSG00000122406	RPL5	7.13954382435594
ENSG00000205420	KRT6A	7.13392133821992
ENSG00000171345	KRT19	7.11570602741512
ENSG00000240041	IGHJ4	7.10399591997468
ENSG00000148346	LCN2	7.09389592349012
ENSG00000186081	KRT5	7.09111559732132
ENSG00000140988	RPS2	7.02392439383015
ENSG00000111640	GAPDH	7.02029606668877
ENSG00000169474	SPRR1A	7.01263491293489
ENSG00000197956	S100A6	7.01146387631833
ENSG00000134827	TCN1	7.00971844831094
ENSG00000137154	RPS6	7.00304750218304
ENSG00000177600	RPLP2	6.98980565746798
ENSG00000166710	B2M	6.98418405778993
ENSG00000234745	HLA-B	6.96997166253703
ENSG00000148303	RPL7A	6.96472005362049
ENSG00000117983	MUC5B	6.95820422629234
ENSG00000186847	KRT14	6.93096615695945
ENSG00000143947	RPS27A	6.89994585329603
ENSG00000145425	RPS3A	6.88088133943475
ENSG00000110700	RPS13	6.87263331599811
ENSG00000265681	RPL17	6.86823259535443
ENSG00000160213	CSTB	6.85061568955324
ENSG00000136942	RPL35	6.84866951986769
ENSG00000169469	SPRR1B	6.83958439669911
ENSG00000239951	IGKV3-20	6.81367181343266
ENSG00000265972	TXNIP	6.79765584428418
ENSG00000211679	IGLC3	6.76254927633322
ENSG00000205542	TMSB4X	6.71623674574135
ENSG00000101443	WFDC2	6.71579668409534
ENSG00000106211	HSPB1	6.71331915598199
ENSG00000135046	ANXA1	6.7058062096714
ENSG00000100219	XBP1	6.69723259837929
ENSG00000198755	RPL10A	6.69631840060833
ENSG00000135480	KRT7	6.69387794700324
ENSG00000140519	RHCG	6.69182333242727
ENSG00000196136	SERPINA3	6.68554535930627
ENSG00000133112	TPT1	6.6833230903394
ENSG00000272398	CD24	6.67411859646681
ENSG00000197746	PSAP	6.65461935279658
ENSG00000184292	TACSTD2	6.65421385025171
ENSG00000143632	ACTA1	6.65412861654701
ENSG00000161055	SCGB3A1	6.6515003702678
ENSG00000109475	RPL34	6.65085703750961
ENSG00000114391	RPL24	6.65057127875068
ENSG00000171863	RPS7	6.64175577435315
ENSG00000174444	RPL4	6.63500560700902
ENSG00000074800	ENO1	6.62615345108803
ENSG00000241794	SPRR2A	6.62000990281478
ENSG00000122026	RPL21	6.60806476880457
ENSG00000130066	SAT1	6.60542487927633
ENSG00000204525	HLA-C	6.57530482209525
ENSG00000168028	RPSA	6.57299281583277
ENSG00000142937	RPS8	6.56487017956152
ENSG00000117984	CTSD	6.55373817694028
