number	name	logTPM
ENSG00000198938	MT-CO3	10.2952943587588
ENSG00000198804	MT-CO1	10.2832759745865
ENSG00000198712	MT-CO2	10.1935003644522
ENSG00000198886	MT-ND4	10.0932986359825
ENSG00000198899	MT-ATP6	10.0745001249463
ENSG00000186395	KRT10	9.73035614714577
ENSG00000198888	MT-ND1	9.71577307213522
ENSG00000198727	MT-CYB	9.69763073726701
ENSG00000228253	MT-ATP8	9.64131657238281
ENSG00000198763	MT-ND2	9.59866400756933
ENSG00000167768	KRT1	9.31420954903818
ENSG00000212907	MT-ND4L	9.2937162098463
ENSG00000210082	MT-RNR2	9.20585642596236
ENSG00000198840	MT-ND3	9.19977631064143
ENSG00000198695	MT-ND6	9.02676144139109
ENSG00000198786	MT-ND5	8.80384521462809
ENSG00000231500	RPS18	8.79498924453116
ENSG00000115414	FN1	8.72016255551561
ENSG00000186847	KRT14	8.69339010850715
ENSG00000087086	FTL	8.57525273667902
ENSG00000112306	RPS12	8.37866940670497
ENSG00000142541	RPL13A	8.35952781107537
ENSG00000172867	KRT2	8.3268010575346
ENSG00000186081	KRT5	8.31260270180405
ENSG00000137818	RPLP1	8.30155261378248
ENSG00000075624	ACTB	8.14574156764919
ENSG00000156508	EEF1A1	8.13950841305796
ENSG00000188508	KRTDAP	8.11751950738594
ENSG00000142534	RPS11	8.07787271375504
ENSG00000034510	TMSB10	8.02210526724047
ENSG00000147403	RPL10	7.98337761781776
ENSG00000178372	CALML5	7.97732747559726
ENSG00000089157	RPLP0	7.94022784424707
ENSG00000211459	MT-RNR1	7.93773984740759
ENSG00000184009	ACTG1	7.9112960754053
ENSG00000254772	EEF1G	7.84261352498608
ENSG00000140988	RPS2	7.82505001785198
ENSG00000100316	RPL3	7.8230578172389
ENSG00000248527	MTATP6P1	7.79229040952666
ENSG00000161016	RPL8	7.79150358588622
ENSG00000108298	RPL19	7.77155261385368
ENSG00000105193	RPS16	7.72518884077967
ENSG00000177954	RPS27	7.64384770465393
ENSG00000163682	RPL9	7.59863812390698
ENSG00000111640	GAPDH	7.59781666462218
ENSG00000189001	SBSN	7.59780535774807
ENSG00000137154	RPS6	7.56828935001611
ENSG00000167658	EEF2	7.5628922621423
ENSG00000177600	RPLP2	7.55713536807357
ENSG00000118181	RPS25	7.55701745981452
ENSG00000167996	FTH1	7.54697688929114
ENSG00000203782	LOR	7.53275540311133
ENSG00000136942	RPL35	7.52541519807063
ENSG00000148303	RPL7A	7.50750656627456
ENSG00000122406	RPL5	7.4905919639545
ENSG00000100097	LGALS1	7.46736345788885
ENSG00000125148	MT2A	7.45847000512434
ENSG00000197956	S100A6	7.44919825088043
ENSG00000110700	RPS13	7.43507317662909
ENSG00000164692	COL1A2	7.42421054290011
ENSG00000234745	HLA-B	7.39460348678288
ENSG00000265681	RPL17	7.37879502888724
ENSG00000178934	LGALS7B	7.37488102603136
ENSG00000174444	RPL4	7.36906948912108
ENSG00000161634	DCD	7.35149057118961
ENSG00000205542	TMSB4X	7.33300198706019
ENSG00000145425	RPS3A	7.33184143878553
ENSG00000112378	PERP	7.29689185744259
ENSG00000108821	COL1A1	7.28924164966698
ENSG00000143947	RPS27A	7.27380721092904
ENSG00000198755	RPL10A	7.27221714565053
ENSG00000106211	HSPB1	7.26083693746425
ENSG00000161249	DMKN	7.25947710540971
ENSG00000168028	RPSA	7.20150909735972
ENSG00000142937	RPS8	7.18417445341648
ENSG00000265972	TXNIP	7.18318573899779
ENSG00000171863	RPS7	7.18125849129166
ENSG00000074800	ENO1	7.17976160308412
ENSG00000175793	SFN	7.17303992074317
ENSG00000131469	RPL27	7.14890250981448
ENSG00000162244	RPL29	7.13429564245679
ENSG00000166710	B2M	7.13389899166919
ENSG00000120129	DUSP1	7.11246037248254
ENSG00000063177	RPL18	7.07327979030673
ENSG00000198034	RPS4X	7.07066248662124
ENSG00000026025	VIM	7.05432660517174
ENSG00000122026	RPL21	7.05376024590614
ENSG00000163191	S100A11	7.01183691842478
ENSG00000120708	TGFBI	7.00404219746641
ENSG00000124614	RPS10	6.99924491375139
ENSG00000142676	RPL11	6.99669150301535
