number	name	logTPM
ENSG00000198712	MT-CO2	10.6477970496788
ENSG00000198804	MT-CO1	10.622526105195
ENSG00000198938	MT-CO3	10.5620900648626
ENSG00000198886	MT-ND4	10.5131069265646
ENSG00000198899	MT-ATP6	10.4893351729584
ENSG00000198727	MT-CYB	10.1105545443562
ENSG00000228253	MT-ATP8	10.0213525813104
ENSG00000198763	MT-ND2	9.98574303034727
ENSG00000198888	MT-ND1	9.95694493412567
ENSG00000212907	MT-ND4L	9.68500524645033
ENSG00000198840	MT-ND3	9.67492426077421
ENSG00000210082	MT-RNR2	9.38164694054547
ENSG00000211592	IGKC	9.28549051525944
ENSG00000198695	MT-ND6	9.20533433333575
ENSG00000164816	DEFA5	9.11739608077074
ENSG00000198786	MT-ND5	8.94341276488655
ENSG00000115386	REG1A	8.87923407870425
ENSG00000211895	IGHA1	8.57979508400708
ENSG00000211597	IGKJ1	8.44611514308895
ENSG00000164822	DEFA6	8.37495430372941
ENSG00000087086	FTL	8.3082372880647
ENSG00000075624	ACTB	8.29194314517376
ENSG00000211596	IGKJ2	8.27549516878999
ENSG00000248527	MTATP6P1	8.25795585252863
ENSG00000211594	IGKJ4	8.11388838057029
ENSG00000211890	IGHA2	8.04920426231372
ENSG00000172023	REG1B	7.98826365320952
ENSG00000234745	HLA-B	7.98820359736202
ENSG00000231500	RPS18	7.92588186264492
ENSG00000142541	RPL13A	7.92587471447426
ENSG00000172016	REG3A	7.87760254223821
ENSG00000112306	RPS12	7.78698342970805
ENSG00000034510	TMSB10	7.78586713382886
ENSG00000211459	MT-RNR1	7.78019201847208
ENSG00000175084	DES	7.74791632758004
ENSG00000142534	RPS11	7.7260555368281
ENSG00000166710	B2M	7.71224603072868
ENSG00000233041	PHGR1	7.6862756134822
ENSG00000156508	EEF1A1	7.5935199285028
ENSG00000019582	CD74	7.56677370204697
ENSG00000147403	RPL10	7.52135619778799
ENSG00000137818	RPLP1	7.51223312217786
ENSG00000136872	ALDOB	7.50412063324117
ENSG00000177954	RPS27	7.49229782880417
ENSG00000110244	APOA4	7.48522276132017
ENSG00000205542	TMSB4X	7.45026578610515
ENSG00000211593	IGKJ5	7.44145826403017
ENSG00000105193	RPS16	7.36354947409711
ENSG00000108298	RPL19	7.34966335374255
ENSG00000102837	OLFM4	7.30925085469355
ENSG00000167996	FTH1	7.3014317443642
ENSG00000206503	HLA-A	7.2901393012881
ENSG00000211899	IGHM	7.2782602697517
ENSG00000204525	HLA-C	7.25998431241012
ENSG00000100316	RPL3	7.25992452670243
ENSG00000265972	TXNIP	7.25801288504042
ENSG00000118181	RPS25	7.24935985424664
ENSG00000184009	ACTG1	7.22699508972999
ENSG00000177600	RPLP2	7.22500069725192
ENSG00000163682	RPL9	7.22042429994021
ENSG00000254772	EEF1G	7.20413975055949
ENSG00000161016	RPL8	7.18899942716062
ENSG00000211595	IGKJ3	7.16520729317215
ENSG00000140988	RPS2	7.1472499809343
ENSG00000211675	IGLC1	7.13622172169366
ENSG00000089157	RPLP0	7.1335067643765
ENSG00000122406	RPL5	7.12912785207504
ENSG00000137154	RPS6	7.08298355686565
ENSG00000143947	RPS27A	7.06800891822352
ENSG00000204287	HLA-DRA	7.04016967186431
ENSG00000167658	EEF2	7.0055591878254
ENSG00000101335	MYL9	6.97132050001419
ENSG00000166825	ANPEP	6.95405642597258
ENSG00000110700	RPS13	6.95077891324512
ENSG00000145425	RPS3A	6.94917585463524
ENSG00000240041	IGHJ4	6.92610613569436
ENSG00000265681	RPL17	6.92305528276291
ENSG00000163017	ACTG2	6.91988410133407
ENSG00000133392	MYH11	6.91261095869633
ENSG00000171345	KRT19	6.9068697810927
ENSG00000197273	GUCA2A	6.89443606533915
ENSG00000136942	RPL35	6.87787587023209
ENSG00000148303	RPL7A	6.87012226836871
ENSG00000197956	S100A6	6.85562234250622
ENSG00000170231	FABP6	6.85455263706781
ENSG00000132465	JCHAIN	6.84144978154408
ENSG00000211677	IGLC2	6.8121350581024
ENSG00000122026	RPL21	6.80784276104251
ENSG00000111640	GAPDH	6.80687372661138
ENSG00000225630	MTND2P28	6.80050562522512
ENSG00000168028	RPSA	6.74352302468259
ENSG00000171863	RPS7	6.73989781016145
ENSG00000109475	RPL34	6.73460692171689
ENSG00000196924	FLNA	6.73078457984213
ENSG00000149591	TAGLN	6.71986008042732
ENSG00000142937	RPS8	6.69943579938794
ENSG00000198755	RPL10A	6.69894237642976
ENSG00000137077	CCL21	6.69872160776537
ENSG00000204592	HLA-E	6.67900513220241
ENSG00000188257	PLA2G2A	6.64978228519075
ENSG00000174444	RPL4	6.6252859791874
ENSG00000114391	RPL24	6.60974122844824
ENSG00000142676	RPL11	6.59508040765276
ENSG00000131469	RPL27	6.56254001485374
ENSG00000239951	IGKV3-20	6.56108857243347
ENSG00000171747	LGALS4	6.55418892226418
ENSG00000211445	GPX3	6.5516584733667
ENSG00000063177	RPL18	6.508816157926
ENSG00000196126	HLA-DRB1	6.50686171228448
ENSG00000142089	IFITM3	6.50036682660644
ENSG00000104904	OAZ1	6.488535040264
ENSG00000117984	CTSD	6.48129783768831
ENSG00000124614	RPS10	6.47259587436748
ENSG00000133112	TPT1	6.45901279293339
ENSG00000198034	RPS4X	6.45499758955091
ENSG00000163399	ATP1A1	6.45248754805525
ENSG00000110245	APOC3	6.44494685980915
ENSG00000162244	RPL29	6.4402307149508
ENSG00000114942	EEF1B2	6.43039804874984
ENSG00000197746	PSAP	6.43012305526779
ENSG00000111341	MGP	6.41262605308335
ENSG00000233927	RPS28	6.41105403546043
ENSG00000187514	PTMA	6.3766987561065
ENSG00000211896	IGHG1	6.36459062168059
ENSG00000172809	RPL38	6.35806189397906
ENSG00000089009	RPL6	6.35775792655366
ENSG00000164587	RPS14	6.35635180226458
ENSG00000143933	CALM2	6.3495511964064
ENSG00000159176	CSRP1	6.33986063832701
ENSG00000142156	COL6A1	6.32836831958625
ENSG00000115268	RPS15	6.31778805837734
ENSG00000211679	IGLC3	6.31695134024877
ENSG00000167526	RPL13	6.31417367579364
ENSG00000110955	ATP5B	6.31108920338371
ENSG00000229117	RPL41	6.29450501368655
ENSG00000142173	COL6A2	6.2899553424155
ENSG00000141753	IGFBP4	6.28857853814779
ENSG00000096384	HSP90AB1	6.28273942428135
ENSG00000147604	RPL7	6.28230573046319
ENSG00000108518	PFN1	6.27749351784682
ENSG00000198467	TPM2	6.26435538206895
ENSG00000182774	RPS17	6.25248484207999
ENSG00000074800	ENO1	6.24267989339933
ENSG00000161970	RPL26	6.23969713887568
ENSG00000015413	DPEP1	6.23716313063101
ENSG00000211666	IGLV2-14	6.22992560959512
ENSG00000008988	RPS20	6.22763201079165
ENSG00000122566	HNRNPA2B1	6.21634562747709
ENSG00000005022	SLC25A5	6.21350588893435
ENSG00000106211	HSPB1	6.20020562966447
ENSG00000145741	BTF3	6.19781222108677
ENSG00000171858	RPS21	6.18632525391372
ENSG00000107796	ACTA2	6.18604070182279
ENSG00000128016	ZFP36	6.17616184673449
ENSG00000160180	TFF3	6.15941845516835
ENSG00000083845	RPS5	6.15167741271726
ENSG00000169100	SLC25A6	6.14961029392785
ENSG00000092841	MYL6	6.14807286360364
ENSG00000130255	RPL36	6.14267661458998
ENSG00000197958	RPL12	6.12320557011089
ENSG00000144713	RPL32	6.12109395403905
ENSG00000162896	PIGR	6.11465793212241
ENSG00000148180	GSN	6.105927880034
ENSG00000108654	DDX5	6.10233844796266
ENSG00000123349	PFDN5	6.09071324402588
ENSG00000131981	LGALS3	6.08640823033672
ENSG00000152583	SPARCL1	6.07784484494777
ENSG00000105373	GLTSCR2	6.07664336592685
ENSG00000159403	C1R	6.0761953867632
ENSG00000100201	DDX17	6.07334883471217
ENSG00000016490	CLCA1	6.06524935278338
ENSG00000211598	IGKV4-1	6.05994803131955
ENSG00000072778	ACADVL	6.05942176896375
ENSG00000176340	COX8A	6.05431381037169
ENSG00000170421	KRT8	6.04369128975661
ENSG00000149273	RPS3	6.04293764053994
ENSG00000165828	PRAP1	6.0411967029999
ENSG00000118137	APOA1	6.04079113456541
ENSG00000149806	FAU	6.03669989245696
ENSG00000065978	YBX1	6.03494141245979
ENSG00000105640	RPL18A	6.03366057287683
ENSG00000100097	LGALS1	6.02991946664054
ENSG00000105372	RPS19	6.0176155998571
ENSG00000130176	CNN1	6.01713299992369
ENSG00000167978	SRRM2	6.00721420165654
ENSG00000099834	CDHR5	6.00114443830092
ENSG00000211893	IGHG2	5.98498364734818
ENSG00000182899	RPL35A	5.97948533043141
ENSG00000243466	IGKV1-5	5.97564745863096
ENSG00000070756	PABPC1	5.97512183902312
ENSG00000225972	MTND1P23	5.97215235208024
ENSG00000119888	EPCAM	5.97195051298751
ENSG00000026025	VIM	5.96678536947649
ENSG00000165502	RPL36AL	5.96327961608225
ENSG00000179218	CALR	5.96256842888739
ENSG00000156976	EIF4A2	5.9611183519675
ENSG00000204628	RACK1	5.95579026779033
ENSG00000211900	IGHJ6	5.94733963692513
ENSG00000143878	RHOB	5.9357572216144
ENSG00000241343	RPL36A	5.93389491579955
ENSG00000109971	HSPA8	5.93313558635495
ENSG00000135916	ITM2C	5.92515190679831
ENSG00000089220	PEBP1	5.92420718441962
ENSG00000275896	PRSS2	5.92115333449782
ENSG00000104852	SNRNP70	5.90478321074375
ENSG00000241351	IGKV3-11	5.90361586956338
ENSG00000121966	CXCR4	5.90347095022692
ENSG00000084207	GSTP1	5.89836515974426
ENSG00000067560	RHOA	5.89395636798672
ENSG00000166598	HSP90B1	5.87622173436211
ENSG00000128272	ATF4	5.875912646425
ENSG00000149925	ALDOA	5.86776548621108
ENSG00000167615	LENG8	5.86722068129227
ENSG00000173812	EIF1	5.86039155393085
ENSG00000135404	CD63	5.8562954534036
ENSG00000130066	SAT1	5.85534937917985
ENSG00000197728	RPS26	5.85504694888905
ENSG00000197766	CFD	5.85300660328871
ENSG00000138326	RPS24	5.8528876004102
ENSG00000118680	MYL12B	5.84333204366409
ENSG00000211949	IGHV3-23	5.83852958968631
ENSG00000111775	COX6A1	5.83762286879731
ENSG00000175899	A2M	5.83732407513638
ENSG00000125691	RPL23	5.83008353846047
ENSG00000156482	RPL30	5.82794559253944
ENSG00000152518	ZFP36L2	5.82438285198951
ENSG00000127324	TSPAN8	5.82050819079463
ENSG00000160868	CYP3A4	5.81717813962414
ENSG00000169714	CNBP	5.81559805034246
ENSG00000170889	RPS9	5.80797546710419
ENSG00000163586	FABP1	5.80630443312565
ENSG00000090382	LYZ	5.80007067526439
ENSG00000242887	IGHJ3	5.79540217104827
ENSG00000122711	SPINK4	5.79029287220599
ENSG00000166482	MFAP4	5.7785123725884
ENSG00000101160	CTSZ	5.77803635217107
ENSG00000132475	H3F3B	5.76427539333859
ENSG00000080824	HSP90AA1	5.76128157434502
ENSG00000171431	KRT20	5.76065601100322
ENSG00000135486	HNRNPA1	5.75741633753706
ENSG00000163453	IGFBP7	5.75619445996782
ENSG00000166794	PPIB	5.74938958297661
ENSG00000125730	C3	5.74931771121647
ENSG00000158710	TAGLN2	5.7464225406077
ENSG00000120129	DUSP1	5.74469533455823
ENSG00000112818	MEP1A	5.7355378262001
ENSG00000100650	SRSF5	5.72739977667832
ENSG00000149131	SERPING1	5.72363281300531
ENSG00000118523	CTGF	5.71088323278495
ENSG00000113140	SPARC	5.70860913532015
ENSG00000106153	CHCHD2	5.70423513844517
ENSG00000172757	CFL1	5.68360705400849
ENSG00000111669	TPI1	5.68005579810302
ENSG00000181163	NPM1	5.67767272991759
ENSG00000198242	RPL23A	5.6764070676884
ENSG00000100345	MYH9	5.67599716466909
ENSG00000134028	ADAMDEC1	5.67448260162774
ENSG00000168653	NDUFS5	5.67368706130976
ENSG00000278196	IGLV2-8	5.67002847593325
ENSG00000196616	ADH1B	5.66940174101434
ENSG00000185624	P4HB	5.66498420692125
ENSG00000242472	IGHJ5	5.66258377867816
ENSG00000197249	SERPINA1	5.66158714053355
ENSG00000166165	CKB	5.65599201999301
ENSG00000107223	EDF1	5.65341567067364
ENSG00000104964	AES	5.64662720998399
ENSG00000159335	PTMS	5.64588897196289
ENSG00000125356	NDUFA1	5.6454431219516
ENSG00000182326	C1S	5.64509385989766
ENSG00000117450	PRDX1	5.63850500319071
ENSG00000125868	DSTN	5.63787232162995
ENSG00000126432	PRDX5	5.6367643554042
ENSG00000004799	PDK4	5.63324276547293
ENSG00000110651	CD81	5.632747798695
ENSG00000165119	HNRNPK	5.62485308407841
ENSG00000159377	PSMB4	5.62270581378846
ENSG00000157514	TSC22D3	5.62193112469657
ENSG00000174748	RPL15	5.6218015000222
ENSG00000122786	CALD1	5.61899381154754
ENSG00000172270	BSG	5.6183663280031
ENSG00000106565	TMEM176B	5.60859719267927
ENSG00000163191	S100A11	5.60738484471381
ENSG00000158747	NBL1	5.60182298587832
ENSG00000101439	CST3	5.59993023248907
ENSG00000115461	IGFBP5	5.59673009856374
ENSG00000139644	TMBIM6	5.59507908701254
ENSG00000243955	GSTA1	5.5947401744281
ENSG00000150991	UBC	5.58913716200314
ENSG00000250722	SELENOP	5.58889484594114
ENSG00000092010	PSME1	5.5870764027231
ENSG00000125148	MT2A	5.58691353018873
ENSG00000092820	EZR	5.5860757098946
ENSG00000198788	MUC2	5.58566852115763
ENSG00000167815	PRDX2	5.57921511756028
ENSG00000168542	COL3A1	5.57699842656313
ENSG00000237973	MTCO1P12	5.57248160884339
ENSG00000170315	UBB	5.56445218090862
ENSG00000182196	ARL6IP4	5.56372102602621
ENSG00000130522	JUND	5.5580570500981
ENSG00000112936	C7	5.55613408294277
ENSG00000171223	JUNB	5.55558247772152
ENSG00000114113	RBP2	5.54431016063918
ENSG00000068697	LAPTM4A	5.54411572185616
ENSG00000245532	NEAT1	5.54133212175216
ENSG00000211668	IGLV2-11	5.54122787265471
ENSG00000173702	MUC13	5.53508914866327
ENSG00000211644	IGLV1-51	5.52993726383863
ENSG00000134333	LDHA	5.51873485659015
ENSG00000240342	RPS2P5	5.51828257145343
ENSG00000145824	CXCL14	5.51718655915097
ENSG00000188229	TUBB4B	5.51541272181932
ENSG00000172831	CES2	5.51306642822854
ENSG00000243678	NME2	5.50527088862142
ENSG00000170296	GABARAP	5.49942963121052
ENSG00000142102	PGGHG	5.49378520123653
ENSG00000110321	EIF4G2	5.49308719479701
ENSG00000198258	UBL5	5.48940387874936
ENSG00000115307	AUP1	5.48851557905922
ENSG00000161960	EIF4A1	5.48586544151484
ENSG00000107438	PDLIM1	5.48068950555199
ENSG00000067225	PKM	5.4763673395526
ENSG00000100234	TIMP3	5.4677710627577
ENSG00000123144	C19orf43	5.46715493196757
ENSG00000108679	LGALS3BP	5.46708988758632
ENSG00000143761	ARF1	5.46478983837421
ENSG00000164111	ANXA5	5.46272542386058
ENSG00000161547	SRSF2	5.46216496268179
ENSG00000251562	MALAT1	5.45549524405583
ENSG00000198668	CALM1	5.45107862138029
ENSG00000197756	RPL37A	5.4504424711562
ENSG00000205352	PRR13	5.44901925326205
ENSG00000185201	IFITM2	5.4478629639085
ENSG00000170345	FOS	5.44717062159034
ENSG00000111348	ARHGDIB	5.44510549013866
ENSG00000143384	MCL1	5.44110936112898
ENSG00000087245	MMP2	5.43592144152687
ENSG00000211892	IGHG4	5.43310482196389
ENSG00000095932	SMIM24	5.43293527768478
ENSG00000124942	AHNAK	5.43086221423787
ENSG00000140416	TPM1	5.42938198693406
ENSG00000211653	IGLV1-40	5.42788675940637
ENSG00000111057	KRT18	5.42702631197236
ENSG00000100906	NFKBIA	5.42372993231778
ENSG00000169045	HNRNPH1	5.4205463613534
ENSG00000002933	TMEM176A	5.41933130761387
ENSG00000196683	TOMM7	5.41867154880295
ENSG00000186468	RPS23	5.41846765596733
ENSG00000120885	CLU	5.41677611413301
ENSG00000130402	ACTN4	5.41635610776209
ENSG00000185885	IFITM1	5.41330243776515
ENSG00000232112	TMA7	5.41242163401095
ENSG00000065154	OAT	5.40937528871963
ENSG00000165215	CLDN3	5.40384884668953
ENSG00000141522	ARHGDIA	5.40313014314132
