number	name	logTPM
ENSG00000211592	IGKC	10.4253900118347
ENSG00000198712	MT-CO2	10.1090201743146
ENSG00000198804	MT-CO1	10.0153348136161
ENSG00000198899	MT-ATP6	9.97848724321968
ENSG00000198886	MT-ND4	9.97498282295968
ENSG00000198938	MT-CO3	9.90729295843759
ENSG00000211597	IGKJ1	9.56707089535321
ENSG00000211596	IGKJ2	9.46830627697785
ENSG00000198888	MT-ND1	9.38981091144003
ENSG00000228253	MT-ATP8	9.37171410250039
ENSG00000198727	MT-CYB	9.36844327896165
ENSG00000198763	MT-ND2	9.35010411851389
ENSG00000210082	MT-RNR2	9.25925619520968
ENSG00000087086	FTL	9.23718106552204
ENSG00000211594	IGKJ4	9.20259920006436
ENSG00000198840	MT-ND3	9.1561396010919
ENSG00000211895	IGHA1	9.12453499561162
ENSG00000212907	MT-ND4L	8.93610185790536
ENSG00000244734	HBB	8.86673349123105
ENSG00000163220	S100A9	8.79971005931995
ENSG00000234745	HLA-B	8.72907355061355
ENSG00000198695	MT-ND6	8.70805404899913
ENSG00000211899	IGHM	8.61565562152596
ENSG00000211593	IGKJ5	8.59437364926637
ENSG00000211896	IGHG1	8.50919113591736
ENSG00000211675	IGLC1	8.37116588688274
ENSG00000211595	IGKJ3	8.34541266258647
ENSG00000075624	ACTB	8.29820179658882
ENSG00000211893	IGHG2	8.22315339147839
ENSG00000198786	MT-ND5	8.22116133586607
ENSG00000205542	TMSB4X	8.18040920524137
ENSG00000166710	B2M	8.16480188736778
ENSG00000019582	CD74	8.16160017560513
ENSG00000142541	RPL13A	8.11021906179017
ENSG00000240041	IGHJ4	8.10796329613837
ENSG00000231500	RPS18	8.09922787387353
ENSG00000211677	IGLC2	8.0136610990391
ENSG00000204525	HLA-C	7.99492419502393
ENSG00000112306	RPS12	7.98505916027315
ENSG00000034510	TMSB10	7.9094193945984
ENSG00000142534	RPS11	7.89764810559523
ENSG00000206503	HLA-A	7.80552027793496
ENSG00000211459	MT-RNR1	7.80262908583977
ENSG00000248527	MTATP6P1	7.72584007103881
ENSG00000239951	IGKV3-20	7.72325985821374
ENSG00000177954	RPS27	7.69427885876608
ENSG00000137818	RPLP1	7.6629323912092
