number	name	logTPM
ENSG00000198886	MT-ND4	10.7224936441283
ENSG00000096088	PGC	10.7080996659837
ENSG00000198712	MT-CO2	10.6426640263191
ENSG00000198804	MT-CO1	10.6398776388796
ENSG00000198899	MT-ATP6	10.6188499265635
ENSG00000198938	MT-CO3	10.6141250325932
ENSG00000182333	LIPF	10.5396452145355
ENSG00000198727	MT-CYB	10.2387521362785
ENSG00000198763	MT-ND2	10.1748448982482
ENSG00000198888	MT-ND1	10.1462997990101
ENSG00000228253	MT-ATP8	10.1005733035888
ENSG00000198840	MT-ND3	9.93316682786761
ENSG00000212907	MT-ND4L	9.91783785316671
ENSG00000210082	MT-RNR2	9.83279456980031
ENSG00000198695	MT-ND6	9.25532103435327
ENSG00000198786	MT-ND5	9.06982596005228
ENSG00000169605	GKN1	8.82472492826005
ENSG00000248527	MTATP6P1	8.37885951210453
ENSG00000256713	PGA5	8.32194273850934
ENSG00000211592	IGKC	8.31297536353108
ENSG00000087086	FTL	8.26854897157361
ENSG00000075624	ACTB	8.26499333371209
ENSG00000211895	IGHA1	8.25180487742674
ENSG00000211459	MT-RNR1	8.23034991312023
ENSG00000229859	PGA3	8.07636726984536
ENSG00000175084	DES	8.07006115529467
ENSG00000142541	RPL13A	7.77042507233438
ENSG00000160182	TFF1	7.73403074164801
ENSG00000231500	RPS18	7.6895215272494
ENSG00000167653	PSCA	7.64623463474708
ENSG00000112306	RPS12	7.58202128830768
ENSG00000160181	TFF2	7.55420635582322
ENSG00000142534	RPS11	7.52106307435718
ENSG00000156508	EEF1A1	7.5152583930281
ENSG00000137818	RPLP1	7.51479900203734
ENSG00000211597	IGKJ1	7.48038130463659
ENSG00000147403	RPL10	7.4607066492616
ENSG00000211596	IGKJ2	7.40020442747122
ENSG00000133392	MYH11	7.3985365542612
ENSG00000184009	ACTG1	7.34660846808355
ENSG00000101335	MYL9	7.34390440968889
ENSG00000163017	ACTG2	7.3253703440398
ENSG00000205542	TMSB4X	7.26499582965193
ENSG00000105193	RPS16	7.26214541487665
ENSG00000134812	GIF	7.26124706189387
ENSG00000108298	RPL19	7.17233243572699
ENSG00000167658	EEF2	7.16461718304996
ENSG00000089157	RPLP0	7.1642497687902
ENSG00000177954	RPS27	7.1627150828144
ENSG00000100316	RPL3	7.15295463928539
ENSG00000211594	IGKJ4	7.14680828074426
ENSG00000149591	TAGLN	7.12735515579226
ENSG00000105675	ATP4A	7.12649817191828
ENSG00000186009	ATP4B	7.12159299845601
ENSG00000118181	RPS25	7.1155755648352
ENSG00000161016	RPL8	7.09754700825391
ENSG00000163682	RPL9	7.09302744677457
ENSG00000122406	RPL5	7.06510346852242
ENSG00000167996	FTH1	7.06262714801504
ENSG00000196924	FLNA	7.04552798571376
ENSG00000254772	EEF1G	6.96539199161969
ENSG00000265972	TXNIP	6.95955827726767
ENSG00000140988	RPS2	6.95315863029802
ENSG00000225630	MTND2P28	6.9505796618816
ENSG00000034510	TMSB10	6.94696099405584
ENSG00000137154	RPS6	6.94177823558237
ENSG00000234745	HLA-B	6.91737515550329
ENSG00000265681	RPL17	6.89342128247773
