number	name	logTPM
ENSG00000198938	MT-CO3	10.4951500555488
ENSG00000198886	MT-ND4	10.3592894538621
ENSG00000198899	MT-ATP6	10.3147250951795
ENSG00000198712	MT-CO2	10.2637164799012
ENSG00000198804	MT-CO1	10.0758858208409
ENSG00000198727	MT-CYB	9.88674425760306
ENSG00000228253	MT-ATP8	9.87119356904179
ENSG00000198763	MT-ND2	9.72497426346749
ENSG00000198840	MT-ND3	9.62929358463275
ENSG00000212907	MT-ND4L	9.58490855617544
ENSG00000198888	MT-ND1	9.47541066681493
ENSG00000210082	MT-RNR2	9.16876515879112
ENSG00000042832	TG	8.93914275011015
ENSG00000087086	FTL	8.70061799358496
ENSG00000211445	GPX3	8.45079985899851
ENSG00000198786	MT-ND5	8.44599411446975
ENSG00000198695	MT-ND6	8.4440504502766
ENSG00000211592	IGKC	8.1704463664454
ENSG00000248527	MTATP6P1	8.03255827473441
ENSG00000142541	RPL13A	8.01635125536473
ENSG00000231500	RPS18	7.89676011368754
ENSG00000156508	EEF1A1	7.86323974794364
ENSG00000112306	RPS12	7.82598758612803
ENSG00000142534	RPS11	7.81704983388092
ENSG00000075624	ACTB	7.78313085263771
ENSG00000147403	RPL10	7.6652430050058
ENSG00000211459	MT-RNR1	7.61992384658831
ENSG00000177954	RPS27	7.60274547733313
ENSG00000234745	HLA-B	7.53335093067433
ENSG00000184009	ACTG1	7.51819585132673
ENSG00000166710	B2M	7.48034728546743
ENSG00000118181	RPS25	7.47994985843953
ENSG00000100316	RPL3	7.47584592709185
ENSG00000122406	RPL5	7.441855022571
ENSG00000108298	RPL19	7.44037685837027
ENSG00000105193	RPS16	7.40287088591559
ENSG00000034510	TMSB10	7.38506665588568
ENSG00000137818	RPLP1	7.3624396389478
ENSG00000163453	IGFBP7	7.34034801184168
ENSG00000166598	HSP90B1	7.33703999895076
ENSG00000179218	CALR	7.32138158348831
ENSG00000161016	RPL8	7.31505199163168
ENSG00000254772	EEF1G	7.31220098115191
ENSG00000167996	FTH1	7.30130196733311
ENSG00000211597	IGKJ1	7.28148313202385
ENSG00000167658	EEF2	7.2803757838063
ENSG00000163682	RPL9	7.27741355280702
ENSG00000115705	TPO	7.26204721299991
ENSG00000111341	MGP	7.22468980646862
ENSG00000197956	S100A6	7.20660890570736
ENSG00000089157	RPLP0	7.20470556333799
ENSG00000137154	RPS6	7.20307685628629
ENSG00000189058	APOD	7.2023363305695
ENSG00000143947	RPS27A	7.19837735996412
ENSG00000142089	IFITM3	7.18730764974017
ENSG00000265681	RPL17	7.18364888315141
ENSG00000160180	TFF3	7.18346408046521
ENSG00000211596	IGKJ2	7.18309923418355
ENSG00000244734	HBB	7.15881920295616
ENSG00000089220	PEBP1	7.14157123375457
ENSG00000164733	CTSB	7.13390563842707
ENSG00000114391	RPL24	7.12329844385897
ENSG00000265972	TXNIP	7.12084540152176
ENSG00000136942	RPL35	7.11052059193581
ENSG00000125618	PAX8	7.10021163029674
ENSG00000177600	RPLP2	7.09537200630076
ENSG00000206503	HLA-A	7.07718267976766
ENSG00000141753	IGFBP4	7.06685405639903
ENSG00000148303	RPL7A	7.05202015222697
ENSG00000140988	RPS2	7.04839066714845
ENSG00000148180	GSN	7.03652514381252
ENSG00000145425	RPS3A	7.0158935878028
ENSG00000019582	CD74	6.96964442933441
ENSG00000120885	CLU	6.95955217872965
ENSG00000084207	GSTP1	6.95786143043432
ENSG00000240237	CTD-2182N23.1	6.9494838203618
ENSG00000026025	VIM	6.94066417882277
ENSG00000110700	RPS13	6.93827334481645
ENSG00000128016	ZFP36	6.93675364328319
ENSG00000204525	HLA-C	6.92229244000778
