number	name	logTPM
ENSG00000198938	MT-CO3	10.5285301195704
ENSG00000198886	MT-ND4	10.3613492059075
ENSG00000198899	MT-ATP6	10.2671096387781
ENSG00000198712	MT-CO2	10.2165679205936
ENSG00000198888	MT-ND1	10.0914264970939
ENSG00000122304	PRM2	9.98219251951266
ENSG00000198804	MT-CO1	9.94175932853054
ENSG00000175646	PRM1	9.93840326618595
ENSG00000210082	MT-RNR2	9.92700008938808
ENSG00000198763	MT-ND2	9.86636714747827
ENSG00000228253	MT-ATP8	9.78143666219878
ENSG00000198727	MT-CYB	9.69521930910241
ENSG00000212907	MT-ND4L	9.55314609108074
ENSG00000198840	MT-ND3	9.4850573890286
ENSG00000118245	TNP1	9.0566878627102
ENSG00000107317	PTGDS	8.27504738243031
ENSG00000211459	MT-RNR1	8.21549272817328
ENSG00000248527	MTATP6P1	7.96826823140563
ENSG00000198786	MT-ND5	7.91335463671136
ENSG00000010318	PHF7	7.72381136942291
ENSG00000198695	MT-ND6	7.56082897342898
ENSG00000203784	LELP1	7.56037654647538
ENSG00000188229	TUBB4B	7.48010750049812
ENSG00000167468	GPX4	7.3769505836316
ENSG00000163206	SMCP	7.3464585775452
ENSG00000140932	CMTM2	7.208933984755
ENSG00000065978	YBX1	7.18573279722688
ENSG00000006047	YBX2	7.13390870131871
ENSG00000034510	TMSB10	7.1104910035454
ENSG00000231500	RPS18	7.08174396889402
ENSG00000120885	CLU	7.06331233076826
ENSG00000112306	RPS12	7.05814464071399
ENSG00000129538	RNASE1	7.03941220207941
ENSG00000075624	ACTB	7.01225204311261
ENSG00000124490	CRISP2	6.9936242548275
ENSG00000142534	RPS11	6.89304343442749
ENSG00000166917	MIR202HG	6.88718891903114
ENSG00000198033	TUBA3C	6.84619903326565
ENSG00000219435	TEX40	6.8449771881302
ENSG00000080824	HSP90AA1	6.82249487490132
ENSG00000273313	RBAKDN	6.81419245641609
ENSG00000184009	ACTG1	6.80337028107633
ENSG00000163467	TSACC	6.7853968521583
ENSG00000142541	RPL13A	6.77873447510609
ENSG00000143933	CALM2	6.75102727448495
ENSG00000100316	RPL3	6.74278100048103
ENSG00000167658	EEF2	6.71098760745569
ENSG00000172270	BSG	6.70738878592872
ENSG00000087086	FTL	6.70552414967735
ENSG00000177954	RPS27	6.68183710759399
ENSG00000125652	ALKBH7	6.66865095878613
ENSG00000254772	EEF1G	6.65110077822792
ENSG00000108298	RPL19	6.62594513099802
ENSG00000155087	ODF1	6.61005003152683
ENSG00000185594	SPATA8	6.56384872969013
ENSG00000137818	RPLP1	6.56330995798899
ENSG00000099840	IZUMO4	6.55362541317512
ENSG00000156508	EEF1A1	6.54988175538352
ENSG00000225630	MTND2P28	6.54752111720599
ENSG00000228075	BOD1L2	6.54233201106942
ENSG00000118181	RPS25	6.52420560601129
ENSG00000136942	RPL35	6.50814598526704
ENSG00000148303	RPL7A	6.49843190781538
ENSG00000122406	RPL5	6.49453385397863
ENSG00000115255	REEP6	6.48585713312723
ENSG00000234186	C16orf82	6.47168993063141
ENSG00000161016	RPL8	6.46689361707788
ENSG00000185290	NUPR2	6.46570662930044
ENSG00000105193	RPS16	6.42817866314635
ENSG00000197746	PSAP	6.42564273314868
ENSG00000203942	C10orf62	6.41732088933099
ENSG00000111640	GAPDH	6.39628956287073
ENSG00000113140	SPARC	6.39622765615315
ENSG00000161036	LRWD1	6.38811548738614
ENSG00000170315	UBB	6.38616416009517
ENSG00000267857	RP5-1023B21.1	6.3820123757437
ENSG00000137154	RPS6	6.38118212070615
ENSG00000177600	RPLP2	6.37208809510717
ENSG00000115241	PPM1G	6.36286427486194
ENSG00000111644	ACRBP	6.34682280917695
ENSG00000163682	RPL9	6.33804186856569
ENSG00000159069	FBXW5	6.32689969271809
ENSG00000128040	SPINK2	6.32474501341623
ENSG00000103363	ELOB	6.32308828757071
ENSG00000105701	FKBP8	6.32305090781974
ENSG00000122566	HNRNPA2B1	6.31414103133741
ENSG00000096384	HSP90AB1	6.31393688813287
ENSG00000070756	PABPC1	6.29946850443834
ENSG00000147378	FATE1	6.28883317677491
ENSG00000124733	MEA1	6.27485070358589
ENSG00000204435	CSNK2B	6.27483609793333
ENSG00000188488	SERPINA5	6.2690684269901
ENSG00000145491	ROPN1L	6.26509617587274
ENSG00000105655	ISYNA1	6.26254735515613
ENSG00000187003	ACTL7A	6.25691758190781
ENSG00000112695	COX7A2	6.2549873154105
ENSG00000068697	LAPTM4A	6.24650233863655
ENSG00000172809	RPL38	6.24451162439865
ENSG00000106013	ANKRD7	6.24372357491834
ENSG00000265681	RPL17	6.24276312617665
ENSG00000132475	H3F3B	6.23838900771088
ENSG00000161798	AQP5	6.23746981013234
ENSG00000089157	RPLP0	6.22678572874619
ENSG00000171863	RPS7	6.22238773273935
ENSG00000160014	CALM3	6.21803159644058
ENSG00000110011	DNAJC4	6.19036212358139
ENSG00000140988	RPS2	6.18895612202231
ENSG00000187166	H1FNT	6.1886592531685
ENSG00000110700	RPS13	6.18565445581484
ENSG00000143947	RPS27A	6.18151814029367
ENSG00000109971	HSPA8	6.18149351579584
ENSG00000176256	HMGB4	6.18145972770735
ENSG00000104901	DKKL1	6.17482267613016
ENSG00000178719	GRINA	6.16256806289893
ENSG00000178057	NDUFAF3	6.16131110887419
ENSG00000118137	APOA1	6.16008170953422
ENSG00000248099	INSL3	6.15172695755874
ENSG00000124196	GTSF1L	6.13674106090041
ENSG00000147081	AKAP4	6.12794186676459
ENSG00000124678	TCP11	6.1170393111414
ENSG00000123349	PFDN5	6.10742629062918
ENSG00000075886	TUBA3D	6.09968219144503
ENSG00000105679	GAPDHS	6.09737399881038
ENSG00000124702	KLHDC3	6.09060439243784
ENSG00000145425	RPS3A	6.08588727936278
ENSG00000178093	TSSK6	6.08512176470199
ENSG00000234745	HLA-B	6.06456343031305
ENSG00000163453	IGFBP7	6.05790206275622
ENSG00000186118	TEX38	6.05360633819042
ENSG00000110955	ATP5B	6.05148869772769
ENSG00000170296	GABARAP	6.04957860841001
ENSG00000166165	CKB	6.047121991311
ENSG00000005189	AC004381.6	6.04380979037824
ENSG00000184205	TSPYL2	6.02435199067525
ENSG00000142089	IFITM3	6.0159650620717
ENSG00000111305	GSG1	6.01014185623538
ENSG00000167671	UBXN6	6.00407336595853
ENSG00000167996	FTH1	6.00196531721674
ENSG00000196419	XRCC6	5.99709341460922
ENSG00000131462	TUBG1	5.99433894641727
ENSG00000179218	CALR	5.98918841547825
ENSG00000124614	RPS10	5.98209111605303
ENSG00000177938	CAPZA3	5.97977807932489
ENSG00000074800	ENO1	5.9793232747129
ENSG00000114391	RPL24	5.97015531709154
ENSG00000198258	UBL5	5.96127802969386
