number	name	logTPM
ENSG00000198886	MT-ND4	10.0298977428338
ENSG00000198899	MT-ATP6	9.99213312757983
ENSG00000198938	MT-CO3	9.89526226819606
ENSG00000198712	MT-CO2	9.79153257120895
ENSG00000198804	MT-CO1	9.72489506235154
ENSG00000198727	MT-CYB	9.62462469228484
ENSG00000228253	MT-ATP8	9.53188228755988
ENSG00000198763	MT-ND2	9.50681867915869
ENSG00000198888	MT-ND1	9.26459178690282
ENSG00000212907	MT-ND4L	9.24085796517735
ENSG00000198840	MT-ND3	9.2303183499166
ENSG00000075624	ACTB	9.00193625126442
ENSG00000210082	MT-RNR2	8.74522169347521
ENSG00000107796	ACTA2	8.544118829583
ENSG00000175084	DES	8.52507109338477
ENSG00000198695	MT-ND6	8.51545463895582
ENSG00000149591	TAGLN	8.44255008173447
ENSG00000231500	RPS18	8.39513218045498
ENSG00000198786	MT-ND5	8.39334100122128
ENSG00000142541	RPL13A	8.32909724866026
ENSG00000142534	RPS11	8.29096213242292
ENSG00000156508	EEF1A1	8.25119910794272
ENSG00000112306	RPS12	8.20808125321266
ENSG00000147403	RPL10	8.14467918373803
ENSG00000087086	FTL	8.09517779552617
ENSG00000196924	FLNA	8.08231283515565
ENSG00000137818	RPLP1	7.99220436133822
ENSG00000105193	RPS16	7.91826725007215
ENSG00000163682	RPL9	7.90451159805362
ENSG00000184009	ACTG1	7.90098879450181
ENSG00000100316	RPL3	7.88195344026646
ENSG00000122406	RPL5	7.88076974532511
ENSG00000101335	MYL9	7.87412200163006
ENSG00000100097	LGALS1	7.85466209656381
ENSG00000177954	RPS27	7.84083388055446
ENSG00000106211	HSPB1	7.83293651419665
ENSG00000108298	RPL19	7.80187528646356
ENSG00000161016	RPL8	7.78918917100899
ENSG00000133392	MYH11	7.77773391500284
ENSG00000159176	CSRP1	7.75450057267413
ENSG00000142089	IFITM3	7.73528868079595
ENSG00000248527	MTATP6P1	7.72042460848644
ENSG00000118181	RPS25	7.71958337099202
ENSG00000205542	TMSB4X	7.70630874925015
ENSG00000163017	ACTG2	7.70435573901662
ENSG00000111341	MGP	7.70242537499384
ENSG00000152583	SPARCL1	7.66144886833144
ENSG00000234745	HLA-B	7.64049925358644
ENSG00000254772	EEF1G	7.6400012805905
ENSG00000115461	IGFBP5	7.6393604229849
ENSG00000137154	RPS6	7.6082661266458
ENSG00000143947	RPS27A	7.58613444063624
ENSG00000142156	COL6A1	7.57242038779231
ENSG00000141753	IGFBP4	7.5477059472594
ENSG00000145425	RPS3A	7.54197707595185
ENSG00000089157	RPLP0	7.53884648866117
ENSG00000167658	EEF2	7.53517562754227
ENSG00000265681	RPL17	7.51406686790284
ENSG00000130176	CNN1	7.49932998765121
ENSG00000265972	TXNIP	7.48830454996696
ENSG00000198467	TPM2	7.47424757125291
ENSG00000142173	COL6A2	7.47013103795869
ENSG00000177600	RPLP2	7.46977060079046
ENSG00000110700	RPS13	7.46203856508038
ENSG00000148303	RPL7A	7.44398092624749
ENSG00000140988	RPS2	7.40714035704837
ENSG00000034510	TMSB10	7.3887880920566
ENSG00000114391	RPL24	7.38379260605261
ENSG00000198755	RPL10A	7.38359527716763
ENSG00000136942	RPL35	7.37966510147497
ENSG00000142937	RPS8	7.37648300720907
ENSG00000166710	B2M	7.35580218500052
ENSG00000197956	S100A6	7.34825258324608
ENSG00000174444	RPL4	7.32954925400308
ENSG00000167996	FTH1	7.31534020508206
ENSG00000198034	RPS4X	7.29390834434319
ENSG00000122026	RPL21	7.27389766003744
ENSG00000109475	RPL34	7.26706681517726
ENSG00000197746	PSAP	7.15688226255406
ENSG00000204525	HLA-C	7.14271661253857
ENSG00000063177	RPL18	7.12007881514314
ENSG00000171863	RPS7	7.10732280617658
ENSG00000148180	GSN	7.10608418291102
ENSG00000108821	COL1A1	7.09910985939328
ENSG00000096384	HSP90AB1	7.07977335068997
ENSG00000168028	RPSA	7.0734994603554
ENSG00000159335	PTMS	7.06980586023537
ENSG00000206503	HLA-A	7.04676494913898
ENSG00000131469	RPL27	7.04529921006268
ENSG00000110651	CD81	7.0247329835106
ENSG00000142676	RPL11	7.01512434044096
ENSG00000089009	RPL6	6.97037955809262
ENSG00000162244	RPL29	6.95638580694963
ENSG00000124614	RPS10	6.95595103541965
ENSG00000211459	MT-RNR1	6.94298918308529
ENSG00000147604	RPL7	6.93251316008486
ENSG00000113140	SPARC	6.93231871897038
ENSG00000133112	TPT1	6.92429520296421
ENSG00000092841	MYL6	6.92398206560274
ENSG00000172809	RPL38	6.86692154834548
ENSG00000111640	GAPDH	6.86083565404527
ENSG00000100234	TIMP3	6.85008513628433
ENSG00000026025	VIM	6.84970906542974
ENSG00000132329	RAMP1	6.83881421808961
ENSG00000204592	HLA-E	6.83809568736417
ENSG00000168542	COL3A1	6.83807605638137
ENSG00000167526	RPL13	6.83776492935932
ENSG00000187514	PTMA	6.82067424636815
ENSG00000149131	SERPING1	6.80437871060285
ENSG00000083845	RPS5	6.80369517049557
