number	name	logTPM
ENSG00000198938	MT-CO3	9.99204362267074
ENSG00000198899	MT-ATP6	9.94379464533447
ENSG00000198886	MT-ND4	9.92032008724534
ENSG00000198712	MT-CO2	9.91476443400135
ENSG00000163220	S100A9	9.82838376376951
ENSG00000198804	MT-CO1	9.69162072424012
ENSG00000171401	KRT13	9.56277299827852
ENSG00000198727	MT-CYB	9.55089264395653
ENSG00000228253	MT-ATP8	9.48612989222068
ENSG00000198763	MT-ND2	9.42561664709348
ENSG00000198840	MT-ND3	9.20486902124114
ENSG00000198888	MT-ND1	9.12015403015479
ENSG00000212907	MT-ND4L	9.09740644987757
ENSG00000210082	MT-RNR2	8.96939344365992
ENSG00000143546	S100A8	8.9276715320402
ENSG00000205420	KRT6A	8.89874054949014
ENSG00000163209	SPRR3	8.76575802071753
ENSG00000231500	RPS18	8.41427982172512
ENSG00000075624	ACTB	8.28653590589496
ENSG00000142541	RPL13A	8.28609662443618
ENSG00000186081	KRT5	8.19083170897973
ENSG00000112306	RPS12	8.16128718282588
ENSG00000106211	HSPB1	8.13413064638469
ENSG00000087086	FTL	8.12533641497014
ENSG00000142534	RPS11	8.08573943923141
ENSG00000198786	MT-ND5	8.08295243040325
ENSG00000198695	MT-ND6	8.0742522472829
ENSG00000140519	RHCG	8.06060549357233
ENSG00000143536	CRNN	8.05054966294179
ENSG00000170477	KRT4	8.04801827948123
ENSG00000169474	SPRR1A	8.01468592898526
ENSG00000156508	EEF1A1	8.00434843689325
ENSG00000147403	RPL10	7.99143396516656
ENSG00000137818	RPLP1	7.98519194728826
ENSG00000169469	SPRR1B	7.97685220695374
ENSG00000184009	ACTG1	7.84566950364376
ENSG00000167768	KRT1	7.80059024953045
ENSG00000105193	RPS16	7.70852004194192
ENSG00000100316	RPL3	7.70838188302447
ENSG00000177954	RPS27	7.6969408128467
ENSG00000108298	RPL19	7.69664086977554
ENSG00000163191	S100A11	7.69153183009119
ENSG00000248527	MTATP6P1	7.67503980672864
ENSG00000124102	PI3	7.65963417527349
ENSG00000163682	RPL9	7.65780856282434
ENSG00000118181	RPS25	7.64069315370412
ENSG00000161016	RPL8	7.63653253830455
ENSG00000254772	EEF1G	7.62931547291967
ENSG00000089157	RPLP0	7.59468735288366
ENSG00000122406	RPL5	7.56170841321991
ENSG00000034510	TMSB10	7.54579826970955
ENSG00000211459	MT-RNR1	7.51370540152459
ENSG00000140988	RPS2	7.50023532921021
ENSG00000137154	RPS6	7.49757335550884
