number	name	logTPM
ENSG00000259384	GH1	11.2138213562317
ENSG00000172179	PRL	11.1234330543783
ENSG00000115138	POMC	10.6420476505792
ENSG00000198938	MT-CO3	10.2476236830891
ENSG00000198899	MT-ATP6	10.2052891730433
ENSG00000198712	MT-CO2	10.1359303464361
ENSG00000198886	MT-ND4	10.0829023564649
ENSG00000198727	MT-CYB	9.92382665342747
ENSG00000198763	MT-ND2	9.75067443484025
ENSG00000228253	MT-ATP8	9.71556638963295
ENSG00000210082	MT-RNR2	9.54623091503534
ENSG00000198888	MT-ND1	9.45894021222312
ENSG00000198840	MT-ND3	9.42069607516454
ENSG00000198804	MT-CO1	9.31904137980068
ENSG00000212907	MT-ND4L	9.2691258478638
ENSG00000104826	LHB	8.41145263754047
ENSG00000135346	CGA	8.33615201990743
ENSG00000211459	MT-RNR1	8.03581452478983
ENSG00000087086	FTL	8.03373063281775
ENSG00000198786	MT-ND5	8.02510424477781
ENSG00000053438	NNAT	7.94757267139542
ENSG00000248527	MTATP6P1	7.887902705455
ENSG00000134200	TSHB	7.79539976118192
ENSG00000198695	MT-ND6	7.73104693974046
ENSG00000142534	RPS11	7.72647260802279
ENSG00000176840	MIR7-3HG	7.67692976964263
ENSG00000142541	RPL13A	7.64282728083426
ENSG00000100316	RPL3	7.44665766515103
ENSG00000231500	RPS18	7.44438502414328
ENSG00000102109	PCSK1N	7.43820642079041
ENSG00000089199	CHGB	7.39986053953347
ENSG00000156508	EEF1A1	7.38874996374538
ENSG00000118181	RPS25	7.35766639414972
ENSG00000177954	RPS27	7.26466069176053
ENSG00000112306	RPS12	7.25498619285138
ENSG00000184009	ACTG1	7.2543122836762
ENSG00000108298	RPL19	7.2141377301423
ENSG00000075624	ACTB	7.20026507922347
ENSG00000087460	GNAS	7.18845517120503
ENSG00000167658	EEF2	7.16595786572383
ENSG00000161016	RPL8	7.15688723394907
ENSG00000163682	RPL9	7.1359995810395
ENSG00000122406	RPL5	7.1356789077356
ENSG00000114391	RPL24	6.96898931899989
ENSG00000137818	RPLP1	6.96223074963818
ENSG00000147403	RPL10	6.95702925772155
ENSG00000265681	RPL17	6.94554319219033
ENSG00000096384	HSP90AB1	6.94146648370989
ENSG00000148303	RPL7A	6.92852674423411
ENSG00000143947	RPS27A	6.91627051236348
ENSG00000254772	EEF1G	6.91089698276801
ENSG00000105193	RPS16	6.90627786405364
ENSG00000137154	RPS6	6.8774071734198
ENSG00000140988	RPS2	6.8770767486355
ENSG00000069482	GAL	6.87493180522464
ENSG00000136942	RPL35	6.87211821565692
ENSG00000111640	GAPDH	6.86151299799196
ENSG00000105223	PLD3	6.83754018290336
ENSG00000034510	TMSB10	6.79714307143753
ENSG00000089157	RPLP0	6.79390971211827
ENSG00000211445	GPX3	6.79272055801137
ENSG00000167996	FTH1	6.78485071539182
ENSG00000214548	MEG3	6.77310993058342
ENSG00000234745	HLA-B	6.75992118108522
ENSG00000174444	RPL4	6.74654872960373
ENSG00000145425	RPS3A	6.72785524143929
ENSG00000198034	RPS4X	6.71445094739265
ENSG00000177600	RPLP2	6.70655688369569
ENSG00000206503	HLA-A	6.69190266482799
ENSG00000100604	CHGA	6.68602291911448
ENSG00000166710	B2M	6.68401879698552
ENSG00000197746	PSAP	6.66976083216273
ENSG00000244734	HBB	6.66876999164943
ENSG00000109475	RPL34	6.662844735382
ENSG00000110700	RPS13	6.62959008695417
ENSG00000122026	RPL21	6.62029367825766
ENSG00000171863	RPS7	6.61377497031834
ENSG00000007516	BAIAP3	6.59358270327315
ENSG00000124107	SLPI	6.5927888079626
ENSG00000072778	ACADVL	6.58758262574162
ENSG00000111341	MGP	6.57433652554243
ENSG00000089009	RPL6	6.56080823265058
ENSG00000130066	SAT1	6.55355178773957
ENSG00000063177	RPL18	6.54735001543882
ENSG00000171223	JUNB	6.54172163724704
ENSG00000108551	RASD1	6.53478159773198
ENSG00000184205	TSPYL2	6.53134831751406
ENSG00000133169	BEX1	6.51990322905944
ENSG00000080824	HSP90AA1	6.50800683990917
ENSG00000154277	UCHL1	6.50771641305652
ENSG00000104904	OAZ1	6.50572173365223
ENSG00000142937	RPS8	6.50136447903579
ENSG00000120129	DUSP1	6.50015180997055
ENSG00000156976	EIF4A2	6.49966960387653
ENSG00000123349	PFDN5	6.49294630071088
ENSG00000115268	RPS15	6.49265307162561
ENSG00000168028	RPSA	6.47942653992425
ENSG00000100201	DDX17	6.4713425210159
ENSG00000204525	HLA-C	6.46412971679532
ENSG00000225630	MTND2P28	6.46399333287129
ENSG00000143933	CALM2	6.46039262179954
ENSG00000142089	IFITM3	6.44102262096077
ENSG00000198755	RPL10A	6.44028977033764
ENSG00000229117	RPL41	6.40473831242316
